objectid(long),rockname,rocktype(long),aqname,aqcode(long),shapeleng(double precision),shapearea(double precision)
1.0,Unconsolidated sand and gravel aquifers,999.0,Other rocks,999.0,111.200919008,46.2714378139
2.0,Unconsolidated sand and gravel aquifers,999.0,Other rocks,999.0,0.1789423274,46.2714378139
3.0,Unconsolidated sand and gravel aquifers,100.0,Puget Sound aquifer system,112.0,35.2860867019,1.61985191315
4.0,Unconsolidated sand and gravel aquifers,999.0,Other rocks,999.0,0.53610562106,0.01167720722
5.0,Unconsolidated sand and gravel aquifers,999.0,Other rocks,999.0,45.3865380162,5.03036146227
6.0,Sandstone aquifers,300.0,Northern Rocky Mountains Intermontane Basins aquifer system,315.0,0.64274561535,0.01167720722
7.0,Sandstone aquifers,300.0,Lower Tertiary aquifers,314.0,51.7024711845,22.5365375988
8.0,Unconsolidated sand and gravel aquifers,100.0,Northern Rocky Mountains Intermontane Basins aquifer system,105.0,1.29540404009,0.031690302
9.0,Sandstone aquifers,300.0,Lower Tertiary aquifers,314.0,2.62787756083,0.07438600542
10.0,Unconsolidated sand and gravel aquifers,100.0,Northern Rocky Mountains Intermontane Basins aquifer system,105.0,12.2975702626,0.40330982137
7.0,Unconsolidated sand and gravel aquifers,999.0,Northern Rocky Mountains Intermontane Basins aquifer system,999.0,271.57011945,0.00030307168
12.0,Unconsolidated sand and gravel aquifers,999.0,Other rocks,999.0,2.62787756083,0.0037268627
45.0,Unconsolidated sand and gravel aquifers,100.0,Northern Rocky Mountains Intermontane Basins aquifer system,105.0,1.44439297495,22.5365375988
7.0,Sandstone aquifers,300.0,Lower Tertiary aquifers,314.0,0.23195370575,0.00030307168
79.0,Unconsolidated sand and gravel aquifers,600.0,Other rocks,999.0,7.60187630707,0.40330982137
16.0,Sandstone aquifers,300.0,Other rocks,315.0,61.2794868582,0.07438600542
16.0,Sandstone aquifers,300.0,Lower Tertiary aquifers,314.0,0.98458395081,1.61985191315
18.0,Unconsolidated sand and gravel aquifers,300.0,Other rocks,999.0,12.2975702626,0.00023833903
19.0,Unconsolidated sand and gravel aquifers,100.0,Pacific Northwest basin-fill aquifers,104.0,271.57011945,0.39830744027
20.0,Unconsolidated sand and gravel aquifers,100.0,Pacific Northwest basin-fill aquifers,104.0,0.98458395081,0.01778996879
79.0,Unconsolidated sand and gravel aquifers,100.0,Pacific Northwest basin-fill aquifers,104.0,3.54928840901,0.07438600542
22.0,Unconsolidated sand and gravel aquifers,999.0,Lower Tertiary aquifers,999.0,1.29540404009,0.39830744027
23.0,Unconsolidated sand and gravel aquifers,999.0,Pacific Northwest basin-fill aquifers,999.0,0.23195370575,0.0037268627
24.0,Unconsolidated sand and gravel aquifers,999.0,Northern Rocky Mountains Intermontane Basins aquifer system,999.0,0.98458395081,0.00279542612
25.0,Unconsolidated sand and gravel aquifers,100.0,Pacific Northwest basin-fill aquifers,104.0,0.97729814604,0.01141123046
26.0,Unconsolidated sand and gravel aquifers,100.0,Pacific Northwest basin-fill aquifers,104.0,0.26394875869,0.00279542612
2.0,Unconsolidated sand and gravel aquifers,100.0,Lower Tertiary aquifers,104.0,0.65177688421,1.61985191315
28.0,Sandstone aquifers,999.0,Lower Cretaceous aquifers,304.0,1.44439297495,0.01499092116
46.0,Sandstone and carbonate-rock aquifers,500.0,Puget Sound aquifer system,504.0,1.31336979544,5.03036146227
30.0,Unconsolidated sand and gravel aquifers,300.0,Silurian-Devonian aquifers,105.0,51.7024711845,0.031690302
26.0,Unconsolidated sand and gravel aquifers,999.0,Northern Rocky Mountains Intermontane Basins aquifer system,999.0,0.77807671368,0.00030307168
32.0,Unconsolidated sand and gravel aquifers,178.0,Northern Rocky Mountains Intermontane Basins aquifer system,104.0,12.2975702626,0.01141123046
