131.objectid,190.0,131
3571.rockname,Semiconsolidtaed sand aquifers,Semiconsolidated sand aquifers
4213.rockname,Igneous and metamorphic-rock afquifers,Igneous and metamorphic-rock aquifers
532.shapearea,0.00381309877,4.733234E-5
3862.rockname,Carbnoate-rock aquifers,Carbonate-rock aquifers
15.shapearea,0.40330982137,0.53594453015
2530.rocktype,486,400
1663.aqname,Pennsylvanianaquifers,Pennsylvanian aquifers
3093.rockname,Unconsolidated shand and gravel aquifers,Unconsolidated sand and gravel aquifers
411.shapearea,5.03036146227,1.7537518E-4
303.shapeleng,1.31336979544,0.79019352585
4296.aqname,Hawaiian Sedimbentary deposit aquifers,Hawaiian Sedimentary deposit aquifers
2388.aqcode,444,401
3293.rockname,Unconsolidataed sand and gravel aquifers,Unconsolidated sand and gravel aquifers
225.aqname,Lower Tertiary aquifers,Paleozoic aquifers
571.aqcode,105.0,115
31.shapearea,3.0307168E-4,0.01725540916
1641.aqname,Other rcoks,Other rocks
3168.rockname,Unconsoliadted sand and gravel aquifers,Unconsolidated sand and gravel aquifers
692.rockname,Unxconsolidated sand and gravel aquifers,Unconsolidated sand and gravel aquifers
3042.aqname,Seymouraquifer,Seymour aquifer
1560.aqcode,449,401
2015.rockname,Unconsolidated sand and grave aquifers,Unconsolidated sand and gravel aquifers
2753.rockname,Unconsolidated sand and graevl aquifers,Unconsolidated sand and gravel aquifers
114.shapeleng,271.57011945,13.7512360235
163.shapeleng,0.64274561535,11.0342005444
1887.rocktype,422,400
3170.aqcode,162,101
112.aqname,Northern Rocky Mountains Intermontane Basins aquifer system,Other rocks
2628.aqname,Northern Atlantic CoastalP lain aquifer system,Northern Atlantic Coastal Plain aquifer system
1225.aqname,Lower Cretaceou saquifers,Lower Cretaceous aquifers
323.shapearea,5.03036146227,0.00219169658
339.shapearea,2.5446207E-4,6.83107E-5
553.shapeleng,1.29540404009,0.16194278486
171.aqname,Lower Tertiary aquifers,Other rocks
496.objectid,113.0,427
3012.aqname,California Coastal Basin aqufers,California Coastal Basin aquifers
1345.rockname,Sandstone and carbonate-rock aqifers,Sandstone and carbonate-rock aquifers
521.rocktype,300.0,999
141.shapearea,0.031690302,3.133003E-5
4499.rockname,Igneous and metamorphic-rock maquifers,Igneous and metamorphic-rock aquifers
272.shapearea,46.2714378139,0.00137010185
1801.rockname,Carbonate-rockaquifers,Carbonate-rock aquifers
228.shapeleng,0.64274561535,0.26154500414
2481.aqcode,476,401
133.aqname,Silurian-Devonian aquifers,Puget Sound aquifer system
414.shapeleng,111.200919008,3.88739068606
2404.rocktype,142,100
3128.rocktype,125,100
3466.aqname,Basin and Rane carbonate-rock aquifers,Basin and Range carbonate-rock aquifers
1765.rockname,Carbonate-roc aquifers,Carbonate-rock aquifers
88.shapearea,0.40330982137,0.00818002441
2840.rockname,eSmiconsolidated sand aquifers,Semiconsolidated sand aquifers
3849.rockname,Carbonate-rck aquifers,Carbonate-rock aquifers
475.objectid,25.0,406
4040.rockname,Semiconsolidaetd sand aquifers,Semiconsolidated sand aquifers
3823.rockname,aCrbonate-rock aquifers,Carbonate-rock aquifers
3503.rockname,Unconsolidated sand and grael aquifers,Unconsolidated sand and gravel aquifers
41.aqname,Silurian-Devonian aquifers,Pacific Northwest basin-fill aquifers
328.objectid,10.0,3016
1780.aqname,Paciic Northwest basin-fill aquifers,Pacific Northwest basin-fill aquifers
281.shapearea,1.2065144E-4,0.00478730406
559.aqcode,104.0,410
1492.rockname,Unconsoliadted sand and gravel aquifers,Unconsolidated sand and gravel aquifers
544.rocktype,999.0,400
205.shapearea,0.00279542612,0.00302030304
2744.rockname,Carbonate-rock auifers,Carbonate-rock aquifers
1329.rockname,Unconsolidated sand eand gravel aquifers,Unconsolidated sand and gravel aquifers
2642.aqcode,184,101
37.rocktype,300.0,999
1110.rockname,Unconsolidated sand and gravel aquifes,Unconsolidated sand and gravel aquifers
3108.rockname,Unconsoldated sand and gravel aquifers,Unconsolidated sand and gravel aquifers
468.objectid,10.0,399
1184.rockname,Igeous and metamorphic-rock aquifers,Igneous and metamorphic-rock aquifers
188.objectid,4.0,188
81.objectid,4.0,81
392.shapearea,0.01778996879,0.40441274885
2607.rocktype,484,400
236.rocktype,999.0,500
3688.aqname,Coastal lowlands alquifer system,Coastal lowlands aquifer system
66.aqname,Other rocks,Lower Cretaceous aquifers
171.rocktype,300.0,999
210.shapeleng,1.31336979544,0.82104187866
172.shapearea,9.587113E-5,0.00775143666
95.shapearea,9.137092E-5,0.01988473969
463.aqname,Other rocks,Pacific Northwest basaltic-rock aquifers
361.shapeleng,0.98458395081,0.01205525355
