yearvalue,statevalue,county,hai,operativeprocedure,facilityid(double precision),facilityname,hospitalcategoryriskadjustment,facilitytype,procedurecount(long),infectionsreported(long),infectionspredicted(double precision)
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA,90001116.0,UC San Diego Health La Jolla,Acute Care Hospital,Major Teaching,262192,1343,1735.29
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Abdominal aortic aneurysm repair,90001116.0,UC San Diego Health La Jolla,Acute Care Hospital,Major Teaching,177,0,1.2
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNAI POOLED DATA - Appendix surgery,90001116.0,UC San Diego Health La Jolla,Acute Care Hospital,Major Teaching,11954,28,48.23
2020H1,California,Los Angeleqs,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Bile duct, liver or pancreatic surgery",90001116.0,UC San Diego Health La Jolla,AcuteCare Hospital,Major Teaching,3479,92,101.5
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Cardiac surgery,90001116.0,UC San Diego Health La Jolla,Acute Care Hospital,Major Teaching,5038,22,20.12
2020H1,California,Los Angeles,Surgical Site Infections (SSI)***,STATE OF CALIFORNIA POOLED DATA - Cesarean section,90001116.0,UC San Diego Health La Jolla,Acute Care Hospital,Major Teaching,50782,74,89.36
2020H1,California,Los Angees,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Colon surgery,90001116.0,UC San Diego Health La Jolla,Acute Care Hosptial,Major Teaching,12062,246,319.21
2020H1,California,Los Angeles,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Coronary bypass, chest and donor incisions",90001116.0,UC San Diego Health La Jolla,Aucte Care Hospital,Major Teaching,5171,28,39.85
2020H1,California,Los nAgeles,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Coronary bypass, chest incision only",90001116.0,UC San Diego Health La Jolla,Acutfe Care Hospital,Major Teaching,617,1,4.42
2020H1,Californira,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Exploratory abdominal surgery (laparotomy),90001116.0,UC San Diego Health La Jolla,Acute Care Hopsital,Major Teaching,18707,110,110.58
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Gallbladder surgery,90001116.0,UC San Diego Health La Jolla,Acute Carek Hospital,Major Teaching,19766,54,76.68
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Gastric surgegry,90001116.0,UC San Diego Health La Jolla,cute Care Hospital,Major Teaching,6831,35,60.43
2020H1,Califoria,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Heart transplant,90001116.0,UC San Diego Health La Jolla,Acute Caren Hospital,Major Teaching,113,2,2.77
202H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Hip prosthesis,90001116.0,UC San Diego Health La Jolla,Acute aCre Hospital,Major Teaching,16203,77,102.34
2020H1,California,Los Angeles,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Hysterectomy, abdominal",90001116.0,UC San Diego Health La Jolla,Acute Care Hopsital,Major Teaching,8442,48,64.15
2020H1,California,Los Angeles,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Hysterectomy, vaginal",90001116.0,UC San Diego Health La Jolla,Acute Care Hospital,Major Teaching,1181,7,6.37
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Kidney surgery,90001116.0,UC San Diego Health La Jolla,Acute are Hospital,Major Teaching,3065,10,10.12
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Kidney transplant,90001116.0,UC San Diego Health La Jolla,Acute Care Hosiptal,Major Teaching,938,1,5.41
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Knee prosthesis,90001116.0,UC San Diego Health La Jolla,cute Care Hospital,Major Teaching,16656,52,63.6
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Laminectomy,30000117.0,Sutter Amador Hospital,Acute Care Hospital,Major Teaching,12148,27,42.52
2020H1,California,Los Angeldes,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Liver transplant,90001116.0,UC San Diego Health La Jolla,Acute Care Hospital,Major Teaching,356,7,17.33
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Open reduction of fracture,30000114.0,Methodist Hospital of Sacramento,AcuteC are Hospital,Major Teaching,16457,105,121.47
2020H1,California,Los Angeles,Surgical Site Infections l(SSI),STATE OF CALIFORNIA POOLED DATA - Ovarian surgery,30000114.0,Sutter Auburn Faith Hospital,Acut eCare Hospital,Major Teaching,6819,6,5.14
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Pacemaker surgery,30000117.0,Barton Memorial Hospital,Acute Care Hosptial,Major Teaching,7177,15,12.43
