OBJECTID,BSA,WAFWAMgtZn,STATE,Shape__Area,Shape__Length,GlobalID
1,Likely Tables PMU,V,CA,1896354697.90424,281953.890848632,{3A7A3056-2637-4588-B89B-71D2F56AB913}
2,Black Rock,V,NV,1842559235.14452,364987.854011067,{1CDBD05E-A1CB-4408-89D7-6E6561222518}
3,Butte/Buck/White Pine,III,NV,11395481231.5081,711015.953634686,{F2095A76-E456-4F2E-BA7B-D8EBA2372BF8}
4,Central Elko,IV,NV,14394813277.1805,669274.515345606,{5EC9517F-DB5D-45E2-833F-08ABCB739F53}
5,Central Great Basin,III,NV,16279089463.902,682764.684720678,{C44F5C8B-94D2-4ACE-8D6F-FCF53AB0B44D}
6,East High Desert,III,NV,11452254885.5166,687526.573997715,{C607A366-42BF-4A97-9BD3-BDFBA58D397B}
7,Lassen/South Washoe,V,CA NV,8786003708.90559,906119.659152631,{71A0542F-6B09-4F62-BDA3-BEEC32ED81AB}
8,Lone Willow,V,NV,2054337279.07624,270558.353509615,{4B58585D-9059-476E-8483-F77C6C5EF289}
9,Monitor,III,NV,14573988943.6669,686724.65976722,{B9A135D8-325B-436C-87DE-6D6AAAD1DBF6}
10,Northeast Elko,IV,NV,3823085761.80962,308403.954529797,{B32FBB39-D59A-4377-988A-FB4763739F61}
11,Northwest Great Basin (NV),V,CA NV,9314699668.69816,674041.098731526,{4D6D54F9-0A28-4A3F-BEA8-1153899E1366}
12,Northwest Interior,III,NV,5597505831.96277,838535.647315925,{7CC91DCA-D6D9-4558-826D-8FBD4716391A}
13,Owyhee,IV,NV,14403279758.5582,734092.970208229,{0CD9F255-A35B-4A33-8DD8-71EF691D041D}
14,Quinn,III,NV,8035952700.17118,530024.516735999,{7B725256-89CD-45D5-9318-F3D8816E2A4A}
15,Ruby,III,NV,11262658661.5312,600445.305119965,{E8F01636-2902-4119-8B96-7C3BEDB0E534}
16,Smith/Reese,III,NV,9539459104.05007,675481.186591864,{0E70CEEE-51CC-4901-8783-40114AC24FBF}
17,Southeastern Nevada,III,NV,13644167109.291,597943.840292383,{2B6105C7-996B-4A5D-80E4-30E8F1AD113D}
18,Western Pershing,III,NV,1633167006.64034,470762.103055331,{D4370B97-AAE8-4A9E-AC38-8CEC74CB8B9F}
19,Pueblo Range,V,NV,44812850.0061033,30035.9154451856,{11A5EB64-3130-4DF1-8A01-9D00561E9AD0}
