indicatorvalue,unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue(long),yearnum(long),age,agenum(double precision),estimate(double precision),flagvalue
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,0.0,1950.0,1.0,All ages,2.0,13.2,.f..
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,0.0,1960.0,2.0,All ages,0.0,12.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,0.0,1970.0,3.0,All ages,0.0,13.1,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,0.0,1980.0,4.0,All ages,0.0,12.2,...
Death rates for suicidpe,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,0.0,1981.0,5.0,All ages,84.0,12.3,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,0.0,1982.0,6.0,All ages,0.0,12.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,0.0,1983.0,7.0,Alla ges,74.0,12.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,0.0,1984.0,8.0,All ages,38.0,12.6,...***
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,0.0,1960.0,9.0,All ages,0.0,12.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,0.0,1986.0,10.0,All ages,0.0,13.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,0.0,1987.0,11.0,All ages,56.0,12.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,0.0,1984.0,12.0,All ages***,19.0,12.5,...
Death rates for suicdie,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,0.0,1989.0,13.0,All awges,84.0,12.3,...
Death artes for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,0.0,1981.0,14.0,Alwl ages,10.0,12.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,0.0,1991.0,15.0,All ages,57.0,12.3,..u.
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,0.0,1992.0,16.0,All ages,96.0,12.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,0.0,1993.0,17.0,All ages,44.0,12.1,...
Death rates for usicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,0.0,1994.0,18.0,All ages,80.0,11.9,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,0.0,1995.0,19.0,All ages,27.0,11.8,...
Death rates for sicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,3.0,1996.0,20.0,All tages,84.0,11.5,...
Death rtes for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,51.0,1991.0,21.0,All agse,52.0,11.2,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,56.0,1995.0,22.0,All ages,75.0,11.1,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,28.0,1999.0,23.0,All ages,25.0,10.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,94.0,1991.0,24.0,All ages,21.0,10.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,60.0,2001.0,25.0,Al lages,41.0,10.7,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,70.0,1960.0,26.0,Al ages,50.0,10.9,...
Deathr ates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,86.0,1996.0,27.0,Al ages,74.0,10.8,..
Death rtaes for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,100.0,2004.0,28.0,All ages,76.0,11.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,89.0,2005.0,23.0,All agezs,78.0,10.9,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,84.0,2006.0,16.0,All gaes,76.0,11.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,42.0,1980.0,31.0,All ages,48.0,11.3,...***
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,11.0,1983.0,32.0,All ags,95.0,11.6,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,4.0,1992.0,33.0,All agets,53.0,11.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,96.0,1982.0,34.0,All ages,71.0,12.1,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,72.0,2011.0,35.0,Allages,76.0,12.3,..x.
Death rate sfor suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,86.0,1981.0,36.0,Aull ages,0.0,12.6,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Age,0.0,All persons,11.0,1987.0,37.0,All ages,1.0,12.6,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,74.0,1981.0,38.0,All agers,42.0,13.0,..n.
