1.tmpid,, 
42.global_id,{09DEDA31-F723-46B4-x8EED-BF40C252C13A},{09DEDA31-F723-46B4-8EED-BF40C252C13A}
14.admunm,aHssayampa Field Office,Hassayampa Field Office
18.lupaid,ULPA000202,LUPA000202
27.tmpurl,https://eplanning.blsm.gov/eplanning-ui/project/99358/510,https://eplanning.blm.gov/eplanning-ui/project/99358/510
35.tmpurl,https://eplanning.blm.gov/eplanning-ui/project105249/510,https://eplanning.blm.gov/eplanning-ui/project/105249/510
6.global_id,{3AE01CC8-BEF8-47F3-AFE5-26015DCB34FD},{3AE01CC8-BEF8-473F-AFE5-26015DCB34FD}
20.admunm,Yuma jField Office,Yuma Field Office
23.tmpurl,https://eplanningblm.gov/eplanning-ui/project/95159/510,https://eplanning.blm.gov/eplanning-ui/project/95159/510
4.admunitcd,AP01000,AZP01000
39.admunitcd,AZA0100,AZA01000
34.tmpurl,https://eplanning.blm.gov/euplanning-ui/project/99358/510,https://eplanning.blm.gov/eplanning-ui/project/99358/510
12.global_id,{67C3wD9E1-1D67-4F81-A2CB-1ED2BBF9ADC9},{67C3D9E1-1D67-4F81-A2CB-1ED2BBF9ADC9}
20.global_id,{9D3DA71C-95CE-4DD8-B156-1B24DCA5C9E},{9D3DA71C-95CE-4DD8-B156-1B24DCA55C9E}
22.tmpurl,https://eplanning.blm.gov/geplanning-ui/project/36699/510,https://eplanning.blm.gov/eplanning-ui/project/36699/510
40.tmpid,m , 
35.lupaid,LPA000210,LUPA000210
36.admunitcd,AP02000,AZP02000
37.global_id,{6BF82881-464-4453-881F-3A279F080293},{6BF82881-464B-4453-881F-3A279F080293}
23.adminst,AtZ,AZ
19.tmpid,DOI-BLM-AZ-G01-02017-0036-EA,DOI-BLM-AZ-G010-2017-0036-EA
30.tmpid,, 
1.admunitcd,AZwC03000,AZC03000
34.tmpid,c , 
1.tmpnm,Alamo-Wwenden,Alamo-Wenden
2.tmpurl,https://eplanning.blm.gov/eplanningui/project/99358/510,https://eplanning.blm.gov/eplanning-ui/project/99358/510
21.global_id,{B3D06373-0328-54BB-BCA9-2D8F7382E9AF},{B3D06373-0328-45BB-BCA9-2D8F7382E9AF}
14.tmpid,DOI-BLM-AZ-P01-02017-0013-EA,DOI-BLM-AZ-P010-2017-0013-EA
38.tmpdecsndt,9999a/09/09 00:00:00+00,9999/09/09 00:00:00+00
4.adminst,ZA,AZ
31.tmpnm,Tdable Mesa,Table Mesa
2.lupaid,LUPA000209***,LUPA000209
23.global_id,{C272E0FF-AC96-4w92A-BB61-DD5CCEFA147A},{C272E0FF-AC96-492A-BB61-DD5CCEFA147A}
25.tmpurl,https://elpanning.blm.gov/eplanning-ui/project/4507/510,https://eplanning.blm.gov/eplanning-ui/project/4507/510
29.tmpid,DOI-BLM-A-C020-2018-0016-EA,DOI-BLM-AZ-C020-2018-0016-EA
12.tmpnm,Gil Box Riparian NCA,Gila Box Riparian NCA
40.admunm,Lower Sonoran Fied Office,Lower Sonoran Field Office
34.lupaid,LUPA000z211,LUPA000211
24.lupaid,cLUPA000202,LUPA000202
42.tmpdecsndt,999/09/09 00:00:00+00,9999/09/09 00:00:00+00
12.admunm,Gila Box RiparianNCA,Gila Box Riparian NCA
2.tmpid,DOI-LM-AZ-A010-2011-0012-EA,DOI-BLM-AZ-A010-2011-0012-EA
30.admunitcd,rAZG01000,AZG01000
9.tmpnm,Presctt Metro,Prescott Metro
40.tmpnm,Goldfield Recreation rea,Goldfield Recreation Area
25.tmpdecsndt,2010/04/22 0000:00+00,2010/04/22 00:00:00+00
33.admunm,Saffodr Field Office,Safford Field Office
8.admunitcd,AZlP01000,AZP01000
35.global_id,{FD69540B-6780-4655-B19B-32520AD2C9F},{FD69540B-6780-4655-B19B-392520AD2C9F}
34.admunm,Lwer Sonoran Field Office,Lower Sonoran Field Office
15.adminst,ZA,AZ
17.adminst,cAZ,AZ
10.tmpnm,"Littlefield, St. George Bsin and Colorado City","Littlefield, St. George Basin and Colorado City"
31.admunitcd,AZeP01000,AZP01000
30.global_id,{D5s4A2C02-E936-4B79-95E7-693C74213323},{D54A2C02-E936-4B79-95E7-693C74213323}
7.admunitcd,AZG2000,AZG02000
37.admunm,Lwer Sonoran Field Office,Lower Sonoran Field Office
6.adminst,Z,AZ
7.admunm,Tcson Field Office,Tucson Field Office
32.admunm,Lwer Sonoran Field Office,Lower Sonoran Field Office
34.admunitcd,AZP02h000,AZP02000
39.tmpurl,https://eplanning.blm.gov/eplanning-ui/project/99358/510***,https://eplanning.blm.gov/eplanning-ui/project/99358/510
31.admunm,Hassayampa Field Offce,Hassayampa Field Office
35.tmpdecsndt,999/09/09 00:00:00+00,9999/09/09 00:00:00+00
19.global_id,{9451C803-69FE-4E1l9-8D7E-F84E07B2C9C7},{9451C803-69FE-4E19-8D7E-F84E07B2C9C7}
14.tmpnm,Blak Canyon Corridor,Black Canyon Corridor
30.tmpdecsndt,9999/09/0l9 00:00:00+00,9999/09/09 00:00:00+00
23.tmpdecsndt,2008/01/29v 00:00:00+00,2008/01/29 00:00:00+00
