objectid,cyclevalue,id_three_zero_five_b,namevalue,locationvalue,milessquare,marineaquaticlife,recreation,fishconsumption,shellfish,shape_length,shape_area
1,2008,CT-E1_017,"LIS EB Inner - Alewife Cove, Waterford/New London","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Alewife Cove from outlet at Waterford Beach Park Picnic Area, US to Saltwater limit at Niles Hill Road crossing, Waterford.",0.06301777,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,18206.973821278,1756834.61613291
2,2008,CT-E1_018-SB,"LIS EB Inner - Goshen Cove, Waterford","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Goshen Cove from outlet at Goshen Point (Includes western side of Harkness Memorial State Park), US to Saltwater limit at Route 213 crossing, Waterford.",0.04400874,Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,11313.4517978807,1226893.42780065
3,2008,CT-W1_003-SB,"LIS WB Inner - Ash Creek, Fairfield","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth near South Benson Road, US to saltwater limit at I95, Fairfield/Bridgeport.",0.15690629,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,53973.6698434639,4374296.52055561
4,2008,CT-W1_002-SB,"LIS WB Inner - Black Rock Harbor, Bridgeport","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth at Fayerweather Island area, US to saltwater limit at I95 (includes Burr Creek, Cedar Creek, all SB water of Harbor area), Bridgeport.",0.44217637,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,33356.4149221285,12327169.8568497
5,2008,CT-W1_022-SB,"LIS WB Inner - Byram River (CT), Greenwich","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Byram River, US to saltwater limit just above Route 1 crossing, out to CT/NY border (includes CT half of Rivr), I95 crosses river in seg, Greenwich.",0.03711888,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,22885.8049632469,1034815.00071598
6,2008,CT-E1_004-SB,"LIS EB Inner - Outer Stonington Harbor, Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Outer Stonington Harbor from SB/SA water quality boundary near Wamphassuc Point to offshore Stonington Point, US to RR crossing, Stonington.",0.63756137,Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,26713.4531176767,17774190.9364025
7,2008,CT-E1_009,"LIS EB Inner - Beebe Cove (Mystic Harbor), Groton","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Beebe Cove (Mystic Harbor) waters west of two RR crossings along shore, Groton.",0.20650815,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,16817.537988165,5757117.02160636
8,2008,CT-E1_022,"LIS EB Inner - Bride Brook, East Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Bride Brook from outlet at RR crossing, Eastern end of Rocky Neck State Park Beach, US to saltwater limit at Route 156 crossing, East Lyme.",0.02935303,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,16954.2219209858,818315.725527776
9,2008,CT-E1_026-SB,"LIS EB Inner - Black Hall River (upper), Old Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Black Hall River from Route 156 crossing, US to saltwater limit at Mile Creek Road crossing, Old Lyme.",0.041089,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,17338.915334929,1145495.85403456
10,2008,CT-C1_010,"LIS CB Inner - Branford River, Branford","See Map for Boundaries. Central portion of LIS, Inner Estuary, SA water from SA/SB water quality line at RR crossing above Route 146 crossing, US to saltwater limit near Route 1, Branford.",0.02598032,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,16372.4488744129,724289.916398992
11,2008,CT-C1_009-SB,"LIS CB Inner - Inner Branford Harbor, Branford","See Map for Boundaries. Central portion of LIS, Inner Estuary, from Branford Point, US to SA/SB water quality line at RR crossing above Route 146 crossing, Branford.",0.31409882,Insufficient Information,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,48802.7672828632,8756572.60549157
12,2008,CT-C1_018-SB,"LIS CB Inner - Milford Harbor & Gulf Pond, Milford","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth at Burns Point, The Gulf, US Milford Harbor to New Haven Avenue crossing (saltwater limit), & US Indian River (through Gulf Pond) to saltwater limit US of I95 crossing, Milford.",0.2720746,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,57721.0406811826,7585004.57051666
13,2008,CT-W1_007,"LIS WB Inner - Sasco Brook, Westport","See Map for Boundaries. Western portion of LIS, Inner Estuary, from mouth DS of Pequot Avenue crossing, US to saltwater limit at Route 1 crossing, Westport/Fairfield.",0.02177376,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,17920.6845387681,607017.854141229
14,2008,CT-W1_006,"LIS WB Inner - Mill River, Fairfield","See Map for Boundaries. Western portion of LIS, Inner Estuary, from Harbor Road crossing, US to saltwater limit at Sturges Road crossing (includes Mill Pond section of Mill River), Fairfield.",0.03275425,Not Supporting,Not Supporting,Not Supporting,Not Supporting Harvesting for Direct Consumption,12504.3614815708,913136.136813695
15,2008,CT-W1_010-SB,"LIS WB Inner - Saugatuck River (mouth), Westport","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Saugatuck River Estuary (at Bluff Point across to Owenoke), US to RR crossing, DS of I95 crossing (includes Kitts Island, Burritt Cove), Westport.",0.64457425,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,40307.273199612,17969699.0227031
16,2008,CT-W1_014-SB,"LIS WB Inner - Fivemile River (mouth), Norwalk","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Harbor (Butlers Island to Roton Point), US to saltwater limit at Cudlipp Street Crossing (Route 136), Norwalk.",0.16422125,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,24288.2450545868,4578225.93515677
17,2008,CT-W1_017-SB,"LIS WB Inner - Stamford Harbor (mouth), Stamford","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Harbor (Davenport Point to Shippan Point), up to Cook Road and across to Yacht Club, Stamford.",0.43553692,Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,16857.7380421662,12142072.6694931
18,2008,CT-W1_021-SB,"LIS WB Inner - Greenwich Harbor, Greenwich","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Greenwich Harbor (Round Island to Smith Cove), US to saltwater limit just below I95 (mouth of Horseneck Brook), Greenwich.",0.10355516,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,13565.6756802289,2886952.34577173
19,2008,CT-E1_001-SB,"LIS EB Inner - Pawcatuck River (01), Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary in Pawcatuck River from Stanton Weir Point US to Saltwater limit, parallel to RR and Mechanic Street, Clarks Village, (Stonington).",0.10260275,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,18240.6604460157,2860400.67157374
20,2008,CT-E1_002-SB,"LIS EB Inner - Pawcatuck River (02), Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary in Pawcatuck River from mouth at Pawcatuck Point, US to Stanton Weir Point.",0.31280284,Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,34675.4515805169,8720442.76308569
21,2008,CT-E1_005,"LIS EB Inner - Inner Stonongton Harbor, Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Inner Stonington Harbor from SB/SA water quality boundary at RR crossing, US to Saltwater limit near Route 1 crossing, Stonington.",0.22608703,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,26569.7945215565,6302944.70794886
22,2008,CT-E1_025-SB,"LIS EB Inner - Black Hall River (mouth), Old Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Black Hall River from outlet southest of Great Island, US to Route 156 crossing, Old Lyme.",0.11546758,Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,23211.7382205628,3219051.4642989
23,2008,CT-W1_004,"LIS WB Inner - Pine Creek, Fairfield","See Map for Boundaries. Western portion of LIS, Inner Estuary, from mouth at Pine Creek Point, US to saltwater limit at Oldfield Road crossing, Fairfield.",0.06010024,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,32505.3262816607,1675498.77688769
24,2008,CT-C2_002,"LIS CB Shore - Westbrook Harbor (West), Westbrook","See Map for Boundaries. Central portion of LIS from Portside Drive near Patchogue River outlet to Fiske Lane (includes Westbrook Town Beach), out approximately 1000 ft offshore, Westbrook.",0.23066178,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,14980.2404509242,6430481.45745087
25,2008,CT-C2_003,"LIS CB Shore - Clinton Beach, Clinton","See Map for Boundaries. Central portion of LIS from Kelsey Point to Grove Beach Point area (to Portside Drive, includes Patchogue River outlet), out approximately 1000 ft offshore, Clinton/Westbrook.",0.51580599,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,32526.4247364012,14379845.9508928
26,2008,CT-C2_022-SB,"LIS CB Shore - The Gulf, Milford","See Map for Boundaries. Central portion of LIS from SA/SB WQ line at Western end of Silver Sands State Park Beach to SA/SB WQ line at Welches Point area (includes Silver Sands & Gulf Beaches) all SB water in The Gulf out to Charles Island, Milford.",0.59345761,Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,28336.8415486107,16544648.7813266
27,2008,CT-W2_013,"LIS WB Shore - Outer Norwalk Harbor(West), Norwalk","See Map for Boundaries. Western portion of LIS from just west of Hoyt Island to midpoint of outer Norwalk Harbor (includes Hickory Bluff Beach, Hoyt Island, Keyser Point) out approximately 1000 ft offshore, Norwalk.",0.36539041,Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,35295.4720114574,10186500.1933295
28,2008,CT-C2_005,"LIS CB Shore - Hammonasset Beach, Madison","See Map for Boundaries. Central portion of LIS from Webster Point to West Rock area (includes Hammonasset State Park Beach), out approximately 1000 ft offshore, Madison.",0.58325977,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,45849.5071753142,16260349.2561152
29,2008,CT-E3_001,LIS EB Midshore - Stonington,"See Map for Boundaries. Eastern portion of LIS from approximately 1000 ft offshore (Little Narragansett Bay), out to CT/NY State line.",0.58491497,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,20298.6332629908,16306493.5964242
30,2008,CT-E2_001,"LIS EB Shore - Wequetequock Cove, Stonington","See Map for Boundaries. Eastern portion of LIS from RR crossing on east side of Wequetequock cove to mouth of Pawcatuck River, out approximately 1000 ft offshore (Little Narragansett Bay).",0.61929586,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,59702.8831910893,17264977.8424755
31,2008,CT-W2_010,"LIS WB Shore - Compo Beach, Cedar Point, Westport","See Map for Boundaries. Western portion of LIS from Saugatuck Shores area to Compo Cove (includes Compo Beach, Cedar Point, Saugatuck River outlet, Owenoke) out approximately 1000 ft offshore, Westport.",0.41875298,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,25238.8473509162,11674163.2915251
32,2008,CT-W3_006,"LIS WB Midshore - Sherwood Point, Westport","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Saugatuck River mouth, Compo Cove, Sherwood Island Sate Park area), out to 50 ft contour, Westport.",9.68987591,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,75378.0956925817,270138236.835778
