OBJECTID,STATEABBR,PRINMERCD,PRINMER,TWNSHPNO,TWNSHPFRAC,TWNSHPDIR,RANGENO,RANGEFRAC,RANGEDIR,TWNSHPDPCD,PLSSID,TWNSHPLAB,SRVNAME,SURVTYP,SURVTYPTXT,SOURCEDATE,SOURCEREF,SHAPE_Length,SHAPE_Area
1,OK,17,Indian Meridian,026,0,N,020,0,W,0,OK170260N0200W0,26N 20W,,,,,,38733.7261762204,93167712.7271219
2,OK,17,Indian Meridian,002,0,S,006,0,W,0,OK170020S0060W0,2S 6W,,,,,,38727.222218238,93484380.8292783
3,OK,17,Indian Meridian,003,0,N,004,0,W,0,OK170030N0040W0,3N 4W,,,,,,38680.4578808783,93222729.328452
4,OK,17,Indian Meridian,029,0,N,015,0,W,0,OK170290N0150W0,29N 15W,,,,,,31515.7173219943,60677036.2261432
5,OK,17,Indian Meridian,025,0,N,025,0,W,0,OK170250N0250W0,25N 25W,,,,,,38853.4368759391,93928847.57227
6,OK,17,Indian Meridian,011,0,N,009,0,W,0,OK170110N0090W0,11N 9W,,,,,,38557.8474800529,92231807.3605298
7,OK,17,Indian Meridian,014,0,N,010,0,W,0,OK170140N0100W0,14N 10W,,,,,,38548.2078935792,92604307.7803291
8,OK,17,Indian Meridian,029,0,N,008,0,W,0,OK170290N0080W0,29N 8W,,,,,,31470.5741198044,60323578.4194165
9,OK,17,Indian Meridian,015,0,N,018,0,W,0,OK170150N0180W0,15N 18W,,,,,,38579.1478650738,92727234.2467621
10,OK,17,Indian Meridian,003,0,N,006,0,E,0,OK170030N0060E0,3N 6E,,,,,,38612.4218783515,92908127.8166481
11,OK,17,Indian Meridian,006,0,N,005,0,W,0,OK170060N0050W0,6N 5W,,,,,,38704.0622367854,93349795.3858179
12,OK,17,Indian Meridian,021,0,N,012,0,W,0,OK170210N0120W0,21N 12W,,,,,,38561.5990165975,92699231.5425012
13,OK,17,Indian Meridian,005,0,S,003,0,E,0,OK170050S0030E0,5S 3E,,,,,,38716.2702630616,93465948.5697866
14,OK,17,Indian Meridian,005,0,N,002,0,W,0,OK170050N0020W0,5N 2W,,,,,,38728.457996694,93474213.1031072
15,OK,17,Indian Meridian,020,0,N,018,0,W,0,OK170200N0180W0,20N 18W,,,,,,38751.0123197017,93599974.1554859
16,OK,17,Indian Meridian,007,0,S,006,0,E,0,OK170070S0060E0,7S 6E,,,,,,41517.1062792596,84954433.235003
17,OK,17,Indian Meridian,005,0,S,007,0,W,0,OK170050S0070W0,5S 7W,,,,,,38750.435447717,93619026.7994306
18,OK,17,Indian Meridian,002,0,S,001,0,E,0,OK170020S0010E0,2S 1E,,,,,,38584.3957002279,92767732.361768
19,OK,17,Indian Meridian,008,0,N,020,0,W,0,OK170080N0200W0,8N 20W,,,,,,38782.3743056657,93620162.3352606
20,OK,17,Indian Meridian,027,0,N,022,0,W,0,OK170270N0220W0,27N 22W,,,,,,38815.0097276077,93656908.1423296
21,OK,17,Indian Meridian,002,0,N,006,0,W,0,OK170020N0060W0,2N 6W,,,,,,38686.2021133151,93297364.9846628
22,OK,17,Indian Meridian,002,0,S,002,0,W,0,OK170020S0020W0,2S 2W,,,,,,38759.1174720075,93671530.1416316
23,OK,17,Indian Meridian,013,0,N,020,0,W,0,OK170130N0200W0,13N 20W,,,,,,38680.3856441839,93121982.3808375
24,OK,17,Indian Meridian,011,0,N,016,0,W,0,OK170110N0160W0,11N 16W,,,,,,38575.1004706063,92646563.5181425
25,OK,17,Indian Meridian,029,0,N,002,0,W,0,OK170290N0020W0,29N 2W,,,,,,31613.5319751068,61126544.5922416
26,OK,17,Indian Meridian,022,0,N,012,0,W,0,OK170220N0120W0,22N 12W,,,,,,38552.0660634957,92539047.3659121
27,OK,17,Indian Meridian,022,0,N,005,0,W,0,OK170220N0050W0,22N 5W,,,,,,38645.1989607557,93184523.4219845
28,OK,17,Indian Meridian,009,0,N,003,0,W,0,OK170090N0030W0,9N 3W,,,,,,38612.6422229255,92765856.0192543
