OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MCDName,TotalStructures_072014,LikelyOccupied_072014,PotentiallyVacant_072014,LikelyVacant_072014,VeryLikelyVacant_072014,TotalStructures_112014,LikelyOccupied_112014,PotentiallyVacant_112014,LikelyVacant_112014,VeryLikelyVacant_112014,TotalStructures_052015,LikelyOccupied_052015,PotentiallyVacant_052015,LikelyVacant_052015,VeryLikelyVacant_052015,GlobalID,Shape_STArea__,Shape_STLength__
1,26,163,507800,2004,261635078002004,Block 2004,Detroit,6,6,0,0,0,6,6,0,0,0,6,5,1,0,0,782cd5ac-d8f3-4db7-bcfa-41ccb8289f4b,739302.661072848,4666.48589365771
2,26,163,531700,2005,261635317002005,Block 2005,Detroit,3,0,0,0,3,3,0,0,0,3,3,0,0,0,3,624faf52-64a5-4973-a96f-b8364106dbbc,87161.584002042,1244.06779341368
3,26,163,542700,1017,261635427001017,Block 1017,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63748c8f-b259-486c-8014-292e9be11086,111739.322334669,3799.36214580424
4,26,163,536500,3019,261635365003019,Block 3019,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0a06f9ed-a410-457e-9b38-3c925741f24d,13194.1977834523,555.006208473413
5,26,163,512200,1011,261635122001011,Block 1011,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fef56342-1317-4d6d-a716-1e7804bc7b66,87512.744605283,1186.34576263655
6,26,163,521400,1080,261635214001080,Block 1080,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76a6d049-e28b-498a-89ce-7416b0e8c978,58344.9851224761,1203.72734850852
7,26,163,516300,1000,261635163001000,Block 1000,Detroit,28,17,5,3,3,28,15,7,3,3,28,17,4,5,2,e1b7d44c-7541-4a65-9699-9c42fabd4849,425424.05036996,3061.27296925234
8,26,163,516300,1023,261635163001023,Block 1023,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57e9d9fb-0b6a-428f-be4c-18864cd8d3f1,57166.1240240197,1186.84129048872
9,26,163,516300,1022,261635163001022,Block 1022,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966943a0-976c-401c-81a0-f983f53f4f48,140848.389141622,2152.57603541768
10,26,163,516400,2015,261635164002015,Block 2015,Detroit,6,3,1,1,1,6,3,1,1,1,6,4,0,1,1,de30ef8f-b786-409d-8477-6589bc9b2a98,311830.016216313,2369.49149410914
11,26,163,545600,1013,261635456001013,Block 1013,Detroit,23,19,2,1,1,23,19,2,1,1,23,19,2,2,0,6f6966c4-336c-4cee-a5e2-65df5c9efed5,213484.80027406,1944.25134798186
12,26,163,537300,2003,261635373002003,Block 2003,Detroit,39,27,4,7,1,39,26,4,8,1,39,26,6,7,0,d158d935-be7c-488c-b0ea-db56bb6ed668,398637.260413381,3059.71479330935
13,26,163,537300,1010,261635373001010,Block 1010,Detroit,38,23,4,2,9,38,21,6,2,9,38,26,3,2,7,2a0a14a4-699d-47fa-8b35-b8463c160335,287793.333631163,2405.97095788242
14,26,163,537300,2006,261635373002006,Block 2006,Detroit,20,12,2,1,5,20,12,2,1,5,20,11,4,0,5,a2294e82-bb0a-49ac-bb1d-beeb477fa279,146643.210468652,1674.04722407826
15,26,163,524900,2013,261635249002013,Block 2013,Detroit,8,3,5,0,0,8,3,4,1,0,8,3,3,2,0,676fa1ba-8249-41db-b1b8-71f602f144b0,250814.110452495,2417.16679664634
16,26,163,524900,2017,261635249002017,Block 2017,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09882c97-c784-4795-93b1-bae72d114024,70102.7634469524,1198.4628981981
17,26,163,524900,2044,261635249002044,Block 2044,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2f02e614-3eee-4ea8-9af3-82bbc46e7484,22195.9452252113,761.331177834701
18,26,163,524200,5001,261635242005001,Block 5001,Detroit,23,22,1,0,0,23,22,1,0,0,23,22,1,0,0,64f1093e-9180-414d-b65a-6c4eac5433f7,236472.886943398,2315.93630604873
19,26,163,524200,4005,261635242004005,Block 4005,Detroit,30,27,0,1,2,30,26,1,1,2,31,29,0,1,1,cc6a8462-3d80-4dbb-a6d1-0d544e55800b,249826.014768398,2391.01992362919
20,26,163,524000,3003,261635240003003,Block 3003,Detroit,51,37,2,7,5,51,36,3,7,5,51,37,5,4,5,9fa1d36c-155e-459d-9f11-25cdddc8d0ed,279526.24466627,2467.28343459847
21,26,163,524200,2003,261635242002003,Block 2003,Detroit,33,23,4,2,4,33,22,5,2,4,34,20,8,1,5,8ddb7f6d-e718-409d-a18a-e5a8e059e96f,203530.78169453,2067.73563791863
22,26,163,524200,2004,261635242002004,Block 2004,Detroit,24,21,2,1,0,24,20,3,0,1,24,22,1,0,1,7ea11f54-9102-41fc-b5ec-041b43676677,206508.355872897,2101.47539915735
23,26,163,524200,3005,261635242003005,Block 3005,Detroit,25,20,3,0,2,25,20,3,0,2,25,21,2,2,0,c4be6e94-bc1c-4f2a-a2d7-a6557ee5f895,263366.307646418,2257.95105759044
24,26,163,524200,2005,261635242002005,Block 2005,Detroit,41,31,3,3,4,41,31,3,3,4,41,30,4,5,2,78baac80-c667-4ad4-a532-d6b220ef21a4,318927.047081974,2758.16710608421
25,26,163,524300,3004,261635243003004,Block 3004,Detroit,45,40,3,1,1,45,40,3,1,1,45,40,4,0,1,b66b714b-d016-45e3-8d34-086c3dc815ee,269947.451056448,2434.37303620196
26,26,163,524300,3003,261635243003003,Block 3003,Detroit,40,32,2,5,1,40,32,3,4,1,40,32,4,4,0,789c4cd4-9b0c-4853-80ff-a63c22e6d550,295926.574564647,2487.27082664737
27,26,163,524900,2005,261635249002005,Block 2005,Detroit,24,21,2,1,0,24,21,2,1,0,24,22,1,1,0,7357a32d-14b4-4ffa-a0cd-1481309e3453,368351.913862735,3041.53606020324
28,26,163,524300,1003,261635243001003,Block 1003,Detroit,49,36,7,4,2,49,36,7,3,3,49,40,5,1,3,52d7eca3-2fe7-4d0c-b5f4-6b2532f958ce,521949.868621931,3940.91259563257
29,26,163,524300,1002,261635243001002,Block 1002,Detroit,42,30,6,1,5,42,30,5,1,6,42,29,6,4,3,505bc3cf-2537-4992-9270-71a3b73d7b8b,447152.626289172,4052.00859523641
30,26,163,506400,2014,261635064002014,Block 2014,Detroit,20,7,6,1,6,20,7,6,1,6,20,7,5,3,5,351561ec-bf78-44a0-a6f7-e55f508adb3f,243846.8787363,2168.02216327542
31,26,163,501700,1001,261635017001001,Block 1001,Detroit,15,10,1,1,3,15,10,1,1,3,15,11,0,3,1,bd349630-2596-4e99-8234-b4b30bffca84,195991.551130622,1935.84742770886
32,26,163,520400,1002,261635204001002,Block 1002,Detroit,20,20,0,0,0,20,19,1,0,0,20,16,4,0,0,0787cd84-ea3d-4ad0-8a02-8747b609ba4d,315790.021431934,2274.37815035439
33,26,163,539200,5003,261635392005003,Block 5003,Detroit,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,2c7df590-e1b5-4f15-8670-b6ec96f24405,106981.428649755,1269.04111952546
34,26,163,512600,1011,261635126001011,Block 1011,Detroit,5,4,0,0,1,5,4,0,0,1,5,3,1,0,1,091a362d-1a16-4240-814b-1ab21c28a6ef,140579.067034009,2178.57533565653
35,26,163,537200,2033,261635372002033,Block 2033,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13933bc9-c1e5-4a41-b011-adde7fa75b37,79583.0153709555,2715.18962748989
