yearvalue,statevalue,county,hai,facilityid,facilityname,hospitalcategoryriskadjustment,facilitytype,infectionsreported,infectionspredicted,patientdays
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,297,367.65,6436139
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,38,35.1,212392
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,0,0.84,40467
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,1,4.95,260491
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000011.0,Alameda Hospital,Acute Care Hospital,"Community, <125 Beds",,0.32,5674
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425.0,Alta Bates Summit Medical Center,Acute Care Hospital,"Community, >250 Beds",0,1.15,23329
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000012.0,"Alta Bates Summit Medical Center, Alta Bates Campus",Acute Care Hospital,"Community, >250 Beds",0,1.54,31706
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425.0,"Alta Bates Summit Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.14,7170
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000183.0,Eden Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.88,18546
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000034.0,Highland Hospital,Acute Care Hospital,Major Teaching,3,2.83,51035
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140001086.0,"Kaiser Foundation Hospital, Fremont",Acute Care Hospital,"Community, <125 Beds",0,0.38,10765
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000188.0,"Kaiser Foundation Hospital, Oakland/Richmond",Acute Care Hospital,Major Teaching,1,1.76,39140
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630015029.0,"Kaiser Foundation Hospital, San Leandro",Acute Care Hospital,"Community, 125-250 Beds",1,1.0,27902
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000148.0,"Kindred Hospital, San Francisco Bay Area",Long-Term Acute Care Hospital,Long-Term Acute Care,0,2.16,12054
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630013913.0,San Leandro Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.19,5385
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000041.0,St Rose Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0.37,8789
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000797.0,Stanford Health Care - ValleyCare,Acute Care Hospital,"Community, 125-250 Beds",0,0.69,15337
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000014.0,UCSF Benioff Children's Hospital Oakland,Acute Care Hospital,Pediatric,0,0.73,21169
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000118.0,Washington Hospital,Acute Care Hospital,"Community, >250 Beds",2,1.27,25666
2020H1,California,Amador,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.1,4835
2020H1,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000013.0,"Enloe Medical Center, Esplanade",Acute Care Hospital,"Community, >250 Beds",0,1.47,37803
2020H1,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000405.0,Enloe Rehabilitation Center,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.06,2962
2020H1,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000001.0,Orchard Hospital,Critical Access Hospital,Critical Access,0,0.01,545
2020H1,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000014.0,Oroville Hospital,Acute Care Hospital,"Community, 125-250 Beds",0,0.85,22326
2020H1,California,Calaveras,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000120.0,Mark Twain Medical Center,Critical Access Hospital,Critical Access,0,0.04,1984
2020H1,California,Colusa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000259.0,Colusa Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.07,3011
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000195.0,Contra Costa Regional Medical Center,Acute Care Hospital,Major Teaching,0,1.0,14697
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000196.0,"John Muir Medical Center, Concord Campus",Acute Care Hospital,Major Teaching,5,1.74,24261
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187.0,"John Muir Medical Center, Walnut Creek Campus",Acute Care Hospital,Major Teaching,4,3.21,42457
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187.0,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,3348
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630011203.0,"Kaiser Foundation Hospital, Antioch",Acute Care Hospital,Major Teaching,0,0.58,16148
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000191.0,"Kaiser Foundation Hospital, Richmond Campus",Acute Care Hospital,Major Teaching,0,0.33,6463
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000190.0,"Kaiser Foundation Hospital, Walnut Creek",Acute Care Hospital,"Community, 125-250 Beds",1,2.0,30459
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000704.0,San Ramon Regional Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.24,7406
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000016.0,Sutter Delta Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.53,13899
2020H1,California,Del Norte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049.0,Sutter Coast Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.16,2963
2020H1,California,Del Norte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049.0,"Sutter Coast Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.02,1244
2020H1,California,El Dorado,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.08,2683
2020H1,California,El Dorado,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000121.0,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.34,9453
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000095.0,Clovis Community Medical Center,Acute Care Hospital,Major Teaching,0,0.59,16126
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000101.0,Community Regional Medical Center,Acute Care Hospital,Major Teaching,4,6.68,75856
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000101.0,"Community Regional Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,3019
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40001397.0,Fresno Heart and Surgical Hospital,Acute Care Hospital,Major Teaching,0,0.18,3905
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000254.0,Fresno Surgical Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.02,2128
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000949.0,"Kaiser Foundation Hospital, Fresno",Acute Care Hospital,"Community, 125-250 Beds",1,0.8,19784
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000126.0,Saint Agnes Medical Center,Acute Care Hospital,Major Teaching,1,3.33,46787
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000613.0,San Joaquin Valley Rehabilitation Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.17,9133
2020H1,California,Glenn,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000006.0,Glenn Medical Center,Critical Access Hospital,Critical Access,0,0.07,3562
2020H1,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000057.0,Jerold Phelps Community Hospital,Critical Access Hospital,Critical Access,0,0.01,477
2020H1,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000021.0,Mad River Community Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.07,3834
2020H1,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000045.0,Providence Redwood Memorial Hospital,Critical Access Hospital,Critical Access,0,0.04,2146
2020H1,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000067.0,"Providence St. Joseph Hospital, Eureka",Acute Care Hospital,Major Teaching,2,1.58,16161
2020H1,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000069.0,The General Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.03,1446
2020H1,California,Imperial,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),90000040.0,El Centro Regional Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.54,13228
2020H1,California,Inyo,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000037.0,Northern Inyo Hospital,Critical Access Hospital,Critical Access,0,0.03,1565
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120001330.0,Bakersfield Heart Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.06,1221
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000338.0,Bakersfield Memorial Hospital,Acute Care Hospital,"Community, >250 Beds",4,2.54,35269
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000555.0,Encompass Health Rehabilitation Hospital of Bakersfield,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.21,10831
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000319.0,"Good Samaritan Hospital, Bakersfield",Acute Care Hospital,"Community, <125 Beds",0,0.05,2704
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000342.0,Kern Medical Center,Acute Care Hospital,Major Teaching,3,1.84,22603
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000344.0,Kern Valley Healthcare District,Critical Access Hospital,Critical Access,0,0.03,1275
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000404.0,Mercy Hospital,Acute Care Hospital,"Community, <125 Beds",1,0.58,10415
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000701.0,Mercy Southwest Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.48,13249
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000409.0,Ridgecrest Regional Hospital,Critical Access Hospital,Critical Access,0,0.07,3385
2020H1,California,Lake,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000044.0,Adventist Health Clearlake,Critical Access Hospital,Critical Access,0,0.05,2403
2020H1,California,Lake,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000019.0,Sutter Lakeside Hospital,Critical Access Hospital,Critical Access,0,0.07,3184
2020H1,California,Lassen,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000008.0,Banner Lassen Medical Center,Critical Access Hospital,Critical Access,0,0.04,1852
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005.0,Alhambra Hospital Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.43,9037
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005.0,"Alhambra Hospital Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.02,1303
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000008.0,Antelope Valley Hospital,Acute Care Hospital,Major Teaching,1,2.22,43134
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000014.0,Barlow Respiratory Hospital,Long-Term Acute Care Hospital,Long-Term Acute Care,3,2.35,14380
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000012.0,Beverly Hospital,Acute Care Hospital,"Community, 125-250 Beds",0,0.96,18027
