420.facilityname,Sierra View Medtical Center,Sierra View Medical Center
140.hai,Methicillin-Resistant Staphylococcus aureus Bloodstream nfections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
153.facilitytype,"Community, 125-250 Beds",Rehabilitation Unit
49.facilitytype,Pediatric,Critical Access
153.facilityname,"Alta Bates Summit Medical Center, Alta Bates Campus","Providence Holy Cross Medical Center, Rehabilitation Unit"
358.hospitalcategoryriskadjustment,Acut Care Hospital,Acute Care Hospital
344.hospitalcategoryriskadjustment,Ackute Care Hospital,Acute Care Hospital
57.facilitytype,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,"Community, >250 Beds"
357.yearvalue,2h020H1,2020H1
272.infectionsreported,a1,1
156.facilityname,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Providence Little Company of Mary Medical Center Torrance
128.hospitalcategoryriskadjustment,Acute Care Hopspital,Acute Care Hospital
149.hai,Methicillin-Resistant Staphylococcus aureus Bloodstream iInfections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
48.facilitytype,"Community, >250 Beds",Critical Access
93.facilitytype,"Community, 125-250 Beds",Rehabilitation Unit
136.facilitytype,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Rehabilitation Unit
22.facilityname,"Kaiser Foundation Hospital, Fremont",Enloe Rehabilitation Center
402.hospitalcategoryriskadjustment,Accute Care Hospital,Acute Care Hospital
61.facilityname,"Kaiser Foundation Hospital, Fremont",Kern Valley Healthcare District
53.statevalue,Califorina,California
53.facilitytype,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Free-Standing Rehabilitation
200.facilityname,DOCS Surgical Hospital,Children's Hospital of Orange County
419.hospitalcategoryriskadjustment,Acute Care Hsopital,Acute Care Hospital
244.hospitalcategoryriskadjustment,Acut Care Hospital,Acute Care Hospital
