2190.mrc,4104-D5,34104-D5
1262.namevalue,esa,Mesa
721.mrc,34104D3,34104-D3
701.mrc,32m106-G6,32106-G6
636.mrc,4104-E8,34104-E8
1943.mrc,37104-8A,37104-A8
1484.namevalue,vPanther Hill,Panther Hill
106.mrc,36013-G2,36103-G2
387.namevalue,Cerhro Verde,Cerro Verde
257.namevalue,Bullis Sprnig Ranch,Bullis Spring Ranch
1211.namevalue,Madrse Mountain,Madre Mountain
487.namevalue,Covge,Cove
805.namevalue,Golednburg Draw,Goldenburg Draw
90.mrc,3107-A1,36107-A1
185.namevalue,Bhlack Peak,Black Peak
1308.namevalue,Miulls West,Mills West
1442.mrc,35104-rH7,35104-H7
312.namevalue,Canyon iHll,Canyon Hill
1182.mrc,23106-H2,32106-H2
1898.mrc,36180-F6,36108-F6
2052.namevalue,Two B Ranch mSW,Two B Ranch SW
147.namevalue,Beslen NW,Belen NW
175.mrc,3108-C3,36108-C3
1260.namevalue,elrose SE,Melrose SE
1653.mrc,34102-Fo8,34102-F8
494.namevalue,Cowoy Mesa NE,Cowboy Mesa NE
1655.mrc,33108-qB6,33108-B6
626.namevalue,dgewood,Edgewood
2197.mrc,36018-G3,36108-G3
1864.mrc,3417-H1,34107-H1
1669.mrc,32q108-E8,32108-E8
189.mrc,31408-C7,34108-C7
2138.mrc,23106-D4,32106-D4
655.namevalue,ElsieC anyon,Elsie Canyon
437.mrc,32018-H5,32108-H5
455.mrc,361n05-G3,36105-G3
493.namevalue,oCwboy Mesa,Cowboy Mesa
196.namevalue,Bledsoe vSW,Bledsoe SW
133.mrc,3205-F5,32105-F5
1087.mrc,36106G3,36106-G3
1586.namevalue,Pvueblo Peak,Pueblo Peak
959.mrc,34108-1,34108-H1
627.namevalue,Editoh,Edith
329.mrc,3210h7-C5,32107-C5
1611.mrc,35a108-B4,35108-B4
1249.namevalue,McClre Reservoir,McClure Reservoir
573.namevalue,Dexte East,Dexter East
1724.namevalue,SanJon,San Jon
1582.mrc,341x05-C8,34105-C8
780.namevalue,George Rnach,George Ranch
329.namevalue,Canrne,Carne
315.namevalue,Capitn Pass,Capitan Pass
1796.namevalue,Serpentine ends,Serpentine Bends
650.mrc,33103G5,33103-G5
1877.mrc,33107-3H,33107-H3
320.namevalue,aprock,Caprock
1206.mrc,36107-5,36107-B5
1968.mrc,33106-Dm2,33106-D2
670.mrc,i34106-G1,34106-G1
850.mrc,3210y7-A5,32107-A5
69.mrc,3413-H4,34103-H4
643.mrc,5105-F4,35105-F4
1967.mrc,33g106-C1,33106-C1
1671.mrc,31109-1G,31109-G1
1916.mrc,31108-7G,31108-G7
681.mrc,3410c3-D1,34103-D1
92.namevalue,ArroyoDel Agua,Arroyo Del Agua
2053.namevalue,Two Gre yHills,Two Grey Hills
1895.mrc,34170-A8,34107-A8
45.mrc,331n03-B4,33103-B4
63.mrc,32018-H6,32108-H6
2133.mrc,33105-Gj6,33105-G6
672.namevalue,Eunice EN,Eunice NE
906.mrc,3110-5H7,31105-H7
680.namevalue,Farmington Souht,Farmington South
413.mrc,4106-B3,34106-B3
2198.mrc,3610q6-B5,36106-B5
521.mrc,3610-A8,36106-A8
555.mrc,d33104-F7,33104-F7
81.mrc,h34103-B1,34103-B1
794.mrc,3603-C5,36103-C5
411.mrc,3616-H6,36106-H6
1548.mrc,h36104-D2,36104-D2
613.mrc,2108-E5,32108-E5
1825.mrc,3310-5C7,33105-C7
1014.namevalue,uJg Canyon,Jug Canyon
1722.mrc,3505-E4,35105-E4
1859.mrc,3210r8-C3,32108-C3
2110.mrc,3108-F5,31108-F5
1634.mrc,341p08-B7,34108-B7
1719.mrc,3510-C8,35106-C8
2165.mrc,34106g-A3,34106-A3
1192.namevalue,ucero,Lucero
238.namevalue,Bronhco NE,Bronco NE
550.namevalue,aDyton,Dayton
3.mrc,36104-4D,36104-D4
1600.namevalue,Quya,Quay
975.mrc,3110-G8,31108-G8
694.namevalue,Fire Rock Wll,Fire Rock Well
478.namevalue,Coroa South,Corona South
2048.namevalue,Twi Mesa,Twin Mesa
1506.namevalue,Penasco Amafrillo,Penasco Amarillo
1166.mrc,33105G-7,33105-G7
635.mrc,4104-C6,34104-C6
427.namevalue,Cisetrn Draw,Cistern Draw
521.namevalue,uba,Cuba
31.namevalue,Albrt,Albert
616.mrc,33108-Ft5,33108-F5
1465.namevalue,P  Mountain,P A Mountain
483.namevalue,Cottowood Draw,Cottonwood Draw
512.namevalue,Croswsroads,Crossroads
1575.mrc,31508-C1,35108-C1
1730.mrc,3107-F3,33107-F3
242.namevalue,Buckdeye,Buckeye
833.namevalue,GreenwoodLake,Greenwood Lake
4.namevalue,Acbeyta,Abeyta
416.mrc,53108-E5,35108-E5
2125.namevalue,Wetherly sLake,Wetherly Lake
835.namevalue,Grenvlle,Grenville
1177.mrc,3410-G5,34106-G5
2172.namevalue,inston,Winston
1745.namevalue,San aRmon,San Ramon
1916.namevalue,Tank Moutnain,Tank Mountain
