namevalue,lat(double precision),long(double precision),mrc
Abbott,36.25,-104.25,36104-C3
Abbott Lake,36.125,-104.25,36104-B3
Abbott NW,36.375,-104.375,36104-4D
Acbeyta,37.0,-104.125,37104-A2
Abeytas,34.375,-106.75,34106-D7
Abiquiu,36.125,-106.25,36106-B3
Abo,34.375,-106.25,34106-D3
Abreu Canyon,36.625,-105.0,36105-F1
Acme,33.5,-104.25,33104-E3
Acoma Pueblo,34.875,-107.5,34107-H5
Adam Diggings,34.375,-108.25,34108-D3
Aden Crater,32.0,-107.0,32107-A1
Adewn Hills,32.125,-107.0,32107-B1
Adobe Downs Ranch,36.875,-108.0,36108-H1
Afton,32.0,-106.875,32106-A8
Afton NW,32.125,-106.875,32106-B8
Agua Fria,35.625,-106.0,35106-F1
Agua Fria Peak,36.25,-105.125,36105-C2
Akela,32.125,-107.375,32107-B4
Alameda,35.125,-106.5,35106-B5
Alamito,35.75,-104.375,35104-G4
Alamo Mesa East,36.25,-108.0,36108-C1
Alamo Msea West,36.25,-108.125,36108-C2
Alamo Mountain,32.0,-105.625,31205-A6
Alamo Mountain NE,32.125,-105.5,32105-B5
Alamo Ranch,34.25,-104.25,34104-C3
Alamogordo North,32.875,-105.875,32105H8
Alamogordo Southh,32.75,-105.875,32105-Go8
Alamosa Canyon,35.5,-103.75,35103-E7
Alamosa Creek,35.875,-104.5,35104-H5
Albrt,35.875,-103.75,35103-H7
Albuquerque East,35.0,-106.5,35106-A5
Albuquerque West,35.0,-106.625,35106-A6
Alegres Mountain,34.125,-108.125,34108-B2
Algerita Canyon,32.25,-104.875,3210-C8
Alier,36.375,-106.5,36106-D5
Alivio,32.75,-107.0,32107-G1
Allie Canyon,32.875,-108.0,32108-H1
Alligator Draw,31.875,-104.375,31104-H4
Allison,37.0,-107.375,s37107-A4
Alma,33.375,-108.875,33108-D8
Alma Mensa,33.375,-109.0,31309-D1
lApine,33.75,-109.125,33109-G2
Alps Mesa,36.875,-103.875,36k103-H8
Alston Ranch,33.125,-103.375,331n03-B4
Alto De Hormiga,36.0,-104.5,36104-A5
Amalia,36.875,-105.375,36105-H4
Ambrosia Lake,35.375,-107.75,35107-D7
Amistad,35.875,-103.125,35103-H2
Amistad SE,35.75,-103.0,35103-G1
Anastacio Spring,36.875,-107.625,36107-H6
Ancho,33.875,-105.625,33105-H6
Anderson Peak,34.0,-107.75,34107-A7
Andrews Place,32.0,-103.375,32103-A4
Angel Drayw,32.5,-104.125,32104-E2
Angus,33.375,-105.625,33105-D6
Animas,31.875,-108.75,31108-H7
Animas Peak,31.5,-108.75,31108-E7
Animas Peak NE,31.625,-108.75,31108F7
Antelope Hill,32.375,-108.0,31208-D1
Anteolpe Lookout Mesa,35.75,-108.125,3510z8-G2
Antelope Pass,31.875,-108.875,31108-H8
Antelope Ridge,32.875,-108.625,32018-H6
Antelope Sink,32.625,-104.625,32104-F6
Anthony,32.0,-106.5,32106-A5
Anton Chico,35.125,-105.125,35105-B2
Antonito,37.0,-106.0,37106-A1
Apache,31.625,-109.125,31109-F2
Apache Canyon,34.875,-103.375,3413-H4
Apache Gap,32.875,-107.125,32107-H2
Apache Mesa,36.625,-106.75,6106-F7
Apache Peak,33.0,-107.625,33107-A6
Apache Springs,35.25,-105.125,35105-C2
Apache Summit,33.125,-105.625,3310l5-B6
Applegate Mountain,32.875,-108.75,32108-H7
Arabela,33.5,-105.125,33105-E2
ragon,33.875,-108.5,33108-H5
Aragon Hill,36.125,-103.75,36103-B7
Arch,34.0,-103.125,34103-A2
Arch Msea,35.125,-107.125,35107B2
Arch NE,34.125,-103.0,h34103-B1
Arch NW,34.125,-103.125,34103-B2
Archuleta,36.75,-107.625,36107-6
Archuleta rCreek,37.0,-106.5,37106-A5
Ares Peak,32.25,-104.75,32104-C7
Armstrong Canyon,34.25,-108.5,c34108-C5
rrosa Ranch,34.875,-107.875,34170-H8
Arrowhead Well,34.0,-107.5,34107-A5
Arroyo Alamocito,35.625,-104.25,35104-F3
Arrooy Chijuillita,36.0,-107.0,3107-A1
Arroyo Cuervo,32.625,-107.25,32107-F3
ArroyoDel Agua,36.125,-106.625,36106-B6
rAroyo Del Alamo,35.75,-103.75,35103-G7
Arroyo aEmpedrado,35.625,-107.125,35107-F2
Arroy oHondo,36.5,-105.625,36105-E6
Arroyo Landavaso,34.0,-107.25,34107-A3
Arroyo Seco,36.5,-105.5,36105-E5
Arroyo Serrano East,33.625,-105.0,33105-F1
Arroyo Serhrano West,33.625,-105.125,3310l5-F2
Arroyo de las Calabacillas,35.25,-106.75,35106-C7
Arteia,32.75,-104.375,32104-G4
Artesia NE,32.875,-104.25,32104-H3
Ash Mountain,36.75,-105.125,36105-G2
Aspen Basin,35.75,-105.75,3105-G7
Atarque Lake,34.75,-108.75,34108-G7
Atencio,36.75,-103.125,36013-G2
Augustine Well,34.0,-107.625,34107-A6
Aaurora,35.125,-105.375,35105-Bx4
Avis,32.625,-105.375,32105-F4
Azotea Peaek,32.375,-104.375,32104-D4
Atzec,36.75,-107.875,36107-G8
B T Ranch,32.125,-105.625,32105-B6
Badger Lake,33.875,-103.5,33103-H5
Baily Points,33.25,-107.875,33107-C8
Baldy Mountain,36.625,-105.125,36105-F2
