objectid(long),routeid,beginpoint(double precision),endpoint(double precision),xsp,stlnstlocname,townnumber(long),townname,yearvalue(long),global_id,shape_length(double precision)
5181,1-N,45.32,46.53,CONT,WEST PUTNAM AVE,156,WEST HAVEN,2022,b82cde8c-843f-469b-b732-e0e40493224b,6381.87382341404
5182,1-N,99.55,100.27,CONT,COLMAN ST,94,NEW LONDON,2022,70690680-e27d-4db4-bea2-8cb5658f59d6,3826.7584425289
5183,1-N,12.49,12.66,LOG,BOSTON POST RD,35,DARIEN,2022,8bf32e33-b965-4ada-94af-aae0bd580059,985.689892189737
5184,1-N,26.19,26.75,LOG,KINGS HIGHWAY CUTOFF,50,FAIRFIELD,2022,ab804522-5451-4025-916a-3501438b5477,2966.52729141655
5185,1-N,26.8,27.22,LOG,KINGS HIGHWAY CUTOFF,50,FAIRFIELD,2022,d3c6bb03-22a8-470b-a49c-d6bcaf070f95,2294.73264193745
5186,1-N,39.16,39.28,LOG,BOSTON POST RD,83,MILFORD,2022,fcd3df40-8b4d-4d3e-96a6-ccf93b02f9db,521.837607572804
5187,1-N,52.16,52.31,LOG,WEST MAIN ST,14,BRANFORD,2022,0d86ed9a-8a7e-44ec-9a19-b2c794c81efd,815.473081229889
5188,1-N,106.42,106.46,LOG,FORT HILL RD,58,GROTON,2022,2291b6ab-f588-4f97-9709-d4decc80e00c,200.452761383444
5189,1-S,26.19,26.75,REV,KINGS HIGHWAY CUTOFF,50,FAIRFIELD,1822,7bbf0f00-2f52-484d-97b9-9c45766ad549,3396.01007945106
5190,10-N,3.6,4.18,CONT,FITCH ST,92,NEW HAVEN,2022,c8fc8018-c9f1-44e9-b992-589b5cbf4eaa,3061.24089709602
5191,10-N,21.81,22.22,CONT,NORTON ST,131,SOUTHINGTON,2022,af4d57aa-07c3-41dd-9682-3d50abc09b52,2168.1357319819
5192,10-N,28.26,30.0,CONT,EAST ST,109,PLAINVILLE,2022,b090fd8a-8bf8-49a6-a3c3-2df9357b44a0,9225.80386281673
5193,10-N,31.37,34.03,CONT,MAIN ST,51,FARMINGTON,2022,2d203d05-6439-47d1-880f-346d26a6663d,14111.1495413135
5194,103-N,1.06,3.42,CONT,QUINNIPIAC AVE,100,NORTH HAVEN,2022,4097c8ac-9e68-4910-b9b9-872256a9192e,12307.6689554739
