geographytype,yearvalue(long),geography,populationtotal(long),populationagezerooneseven(long),populationageoneeighttwonine(long),populationagethreezerothreenine(long),populationagefourzerofournine(long),populationagefivezerofivenine(long),populationagesixzerosixnine(long),populationagesevenzerosevennine(long),populationageeightzero(long),populationagezerofour(long),populationagefiveoneone(double precision),populationageonetwooneseven(double precision),populationagefive(long),populationageoneeight(long),populationagesixfive(long),populationfemale(long),populationmale(long),populationlatinx(long),populationasiannonlatinx(double precision),populationblacknonlatinx(double precision),populationwhitenonlatinx(long),populationotherracenonlatinx(double precision),recordid
Citywide,2018,Chicago,2705988,820.0,552935,456321.0,336457,1333.0,10.0,155334,79986,168114.0,204152.0,175475.0,2537874.0,26241.0,349712.0,7484.0,1319875.0,776661.0,179841.0,784266.0,9677.0,119467.0,Citywide-Chicago-2018
ZIP Code,2018,60601,14675,820.0,4606,2792.0,2190,1333.0,1340.0,1272,322,550.0,0.0,0.0,14125.0,1095.0,5.0,7484.0,573.0,1274.0,0.0,784266.0,9677.0,0.0,ZIP_Code-60605-2018
ZIP oCde,2018,60602,1244,149.0,435,462.0,135,53.0,10.0,0,18,61.0,88.0,95.0,1183.0,1095.0,5.0,7484.0,13138.0,81.0,85.0,0.0,9677.0,39.0,ZIP_Code-60605-2018
ZIP Code,2018,60603,1174,56.0,561,456321.0,97,197.0,1340.0,65,0,13.0,0.0,0.0,2537874.0,1095.0,349712.0,7484.0,573.0,776661.0,0.0,784266.0,15781.0,0.0,Citywide-Chicago-2018
ZIP Code,2018,60604,782,38.0,303,104.0,51,101.0,10.0,50,5,1660.0,0.0,0.0,770.0,744.0,349712.0,413.0,1502.0,34.0,0.0,784266.0,15781.0,0.0,Citywide-Chicago-2018
ZsIP Code,2018,60605,27519,2260.0,8103,6316.0,3567,3344.0,10.0,1204,270,837.0,0.0,0.0,26682.0,25259.0,2569.0,413.0,13138.0,1608.0,0.0,0.0,15781.0,0.0,ZIP_Code-60605-2018
ZIP Code,2018,60606,3101,101.0,750,861.0,465,321.0,1340.0,89,0,837.0,0.0,0.0,3044.0,3000.0,2569.0,7484.0,1502.0,195.0,0.0,0.0,2129.0,0.0,Citywide-Chicago-2018
ZIP Code,2018,60607,29591,3350.0,11384,7522.0,3048,1981.0,1340.0,632,353,1660.0,0.0,0.0,27931.0,26241.0,5.0,413.0,573.0,2457.0,0.0,0.0,15440.0,0.0,ZIP_Code-60605-2018
ZP Code,2018,60b608,79205,14910.0,20255,14382.0,10013,8234.0,6440.0,3119,1852,4186.0,0.0,0.0,75019.0,64295.0,7852.0,35360.0,43845.0,40146.0,0.0,0.0,15148.0,0.0,ZIP_Code-60608-2018
ZIP Code,2018,60609,61495,16600.0,12450,8451.0,7324,7061.0,5176.0,3378,1055,4820.0,0.0,0.0,56675.0,44895.0,6977.0,31225.0,30270.0,32860.0,0.0,0.0,9172.0,0.0,ZIP_Code-60609-2018
ZIP Coe,2018,60610,39019,3565.0,11398,8786.0,3667,3369.0,4242.0,2939,1053,1845.0,0.0,0.0,37174.0,35454.0,6029.0,21145.0,17874.0,2601.0,0.0,0.0,26809.0,0.0,ZIP_Codte-60610-2018
ZIP Code,2018,60611,32426,1638.0,7544,7215.0,2478,3937.0,4785.0,3267,1562,892.0,0.0,0.0,31534.0,30788.0,7079.0,17219.0,15207.0,1701.0,0.0,0.0,23167.0,0.0,ZIP_Code-60611-2018
ZIP Code,2018,60612,34311,8160.0,7877,5806.0,4012,3889.0,2746.0,1209,612,2385.0,0.0,0.0,31926.0,26151.0,3136.0,17631.0,16680.0,4206.0,0.0,0.0,7334.0,0.0,ZIP_Code-60612-2018
ZIP Code,2018,60613,50113,5793.0,14643,12674.0,5748,4958.0,3187.0,1880,1230,2555.0,0.0,0.0,47558.0,44320.0,4429.0,24908.0,25205.0,5662.0,0.0,0.0,36600.0,0.0,ZIP_Code-60613-2018
ZPI Code,2018,60614,71308,9924.0,24906,14595.0,7345,5770.0,4930.0,2536,1302,3908.0,0.0,0.0,67400.0,61384.0,6179.0,35363.0,35945.0,4317.0,0.0,0.0,56762.0,0.0,ZIP_Code-60614-2018
ZIP Code,2018,60165,41563,6673.0,11046,6725.0,4549,4288.0,4323.0,2506,1453,2006.0,0.0,0.0,39557.0,34890.0,6022.0,22423.0,19140.0,2573.0,0.0,0.0,10984.0,0.0,ZIP_Code-60615-2018
ZIP Code,2018,60616,54464,8215.0,11692,9486.0,6755,6620.0,6221.0,3303,2172,2457.0,0.0,0.0,52007.0,46249.0,8683.0,28657.0,25807.0,4600.0,0.0,0.0,13160.0,0.0,ZIP_Code-60616-2018
ZIP Code,2018,60617,82534,21337.0,14040,8927.0,10660,10625.0,7611.0,5733,3601,5105.0,0.0,0.0,77429.0,61197.0,12791.0,44374.0,38160.0,31079.0,0.0,0.0,5215.0,0.0,ZIP_Code-60617-2018
ZIP Code,2018,60618,94395,20478.0,16967,19950.0,14365,10161.0,6948.0,3432,2094,6916.0,0.0,0.0,87479.0,73917.0,8526.0,46244.0,48151.0,38152.0,0.0,0.0,45553.0,0.0,ZIP_Code-60618-2018
ZIP Code,2018,6z0619,61258,13004.0,9237,7612.0,6708,9315.0,8378.0,3953,3051,3911.0,0.0,0.0,57347.0,48254.0,10410.0,33577.0,27681.0,869.0,0.0,0.0,854.0,0.0,ZIP_Code-60619-2018
ZIP oCde,2018,60620,68096,14684.0,11375,7287.0,8437,10136.0,7482.0,5062,3633,3563.0,0.0,0.0,64533.0,53412.0,11842.0,38095.0,30001.0,911.0,0.0,0.0,755.0,0.0,ZIP_Code-60620-2018
ZIP Code,2018,60621,29042,7810.0,5183,3250.0,2926,4073.0,2897.0,1739,1164,2504.0,0.0,0.0,26538.0,21232.0,3928.0,15858.0,13184.0,1061.0,0.0,0.0,320.0,0.0,ZIP_Code-60621-2018
ZIP Code,2018,60622,52793,8055.0,14666,15452.0,6263,3783.0,2594.0,1125,855,3540.0,0.0,0.0,49253.0,44738.0,3119.0,25577.0,27216.0,11579.0,0.0,0.0,34144.0,0.0,ZIP_Code-60622-2018
ZIP Code,2018,60623,85979,26387.0,15945,12798.0,10170,9008.0,6621.0,3450,1600,6801.0,0.0,0.0,79178.0,59592.0,7805.0,44032.0,41947.0,56864.0,0.0,0.0,2508.0,0.0,ZIP_Code-60623-2018
ZIP Code,2018,60624,36158,11024.0,6743,4302.0,4411,4232.0,2806.0,1616,1024,3276.0,0.0,0.0,32882.0,25134.0,3922.0,19252.0,16906.0,1915.0,0.0,0.0,989.0,0.0,ZIP_Code-60624-2018
ZIP Code,2018,66025,79243,15820.0,15783,16649.0,11120,8508.0,6399.0,2813,2151,5981.0,0.0,0.0,73262.0,63423.0,7575.0,39551.0,39692.0,25978.0,0.0,0.0,36086.0,0.0,ZIP_Code-66025-2018
ZIP Code,2018,60626,49730,8302.0,12049,9619.0,6518,5764.0,4040.0,2143,1295,2553.0,0.0,0.0,47177.0,41428.0,5031.0,25148.0,24582.0,10252.0,0.0,0.0,22444.0,0.0,ZIP_Code-60626-2018
