license_no,license_type,issue_date,license_status,expiredate,legal_name,street_one,street_two,city,statevalue,zip,county_code
70159035.0,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,WALGREEN EASTERN CO INC,112 W STEUBEN ST,,CRAFTON,PA,15205-2604,2
70167117.0,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,5300 RTE 8,HAMPTON,GIBSONIA,PA,15044,2
70159040.0,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,1741 WASHINGTON RD,,PITTSBURGH,PA,15241-1201,2
70159042.0,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,4 OLD CLAIRTON RD,,PITTSBURGH,PA,15236-3905,2
70159043.0,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,10707 FRANKSTOWN RD,,PITTSBURGH,PA,15235-3040,2
2220396.0,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,JAVED I AHMED INC,421 BUTLER ST,,ETNA,PA,15223,2
70167122.0,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,899 FREEPORT RD,,CREIGHTON,PA,15030-1065,2
70159049.0,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,5956 PENN CIR S,,PITTSBURGH,PA,15206-3830,2
2265114.0,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,2269 NOBLESTOWN RD,,PITTSBURGH,PA,15205,2
2265115.0,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,3915 WILLIAM FLYNN HIGHWA,,ALLISON PARK,PA,15101,2
2265116.0,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,4630 WILLIAM FLYNN HWY,,ALLISON PARK,PA,15101-2440,2
2265117.0,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,7 ELEVEN,4775 MCKNIGHT RD,,PITTSBURGH,PA,15237-3417,2
2265118.0,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,7 ELEVEN,6250 LIBRARY RD,,BETHEL PARK,PA,15102-4016,2
2265120.0,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,8136 OHIO RIVER BLVD,,PITTSBURGH,PA,15202-1578,2
2265121.0,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,650 CLAIRTON BLVD,,PITTSBURGH,PA,15236-3812,2
2265124.0,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,2 HECKEL RD,,MC KEES ROCKS,PA,15136-1652,2
2265128.0,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,1102 PERRY HWY,,PITTSBURGH,PA,15237-2113,2
