year,state,hai,county,facility_id,facility_name,operative_procedure,procedure_count,predicted_infection_count,infection_count,unnamed_one_zero,notes
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Kings,630012960,Adventist Medical Center,Appendix surgery,16,0.01,0,,
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Fresno,40000122,Adventist Medical Center - Selma,Appendix surgery,12,0.01,0,,
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60000002,AHMC Anaheim Regional Medical Center,Appendix surgery,6,0.02,0,,
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000005,Alhambra Hospital Medical Center,Appendix surgery,2,0.0,0,,
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Alameda,140000425,Alta Bates Summit Medical Center,Appendix surgery,2,0.01,0,,
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Alameda,140000012,Alta Bates Summit Medical Center - Alta Bates Campus,Appendix surgery,5,0.02,0,,
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60000074,Anaheim Global Medical Center,Appendix surgery,4,0.0,0,,
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000008,Antelope Valley Hospital,Appendix surgery,73,0.24,0,,
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240000100,Arrowhead Regional Medical Center,Appendix surgery,62,0.31,1,,
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Kern,120000338,Bakersfield Memorial Hospital,Appendix surgery,180,0.61,0,,
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Lassen,230000008,Banner Lassen Medical Center,Appendix surgery,2,0.0,0,,
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240000001,Barstow Community Hospital,Appendix surgery,6,0.01,0,,
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",El Dorado,30000114,Barton Memorial Hospital,Appendix surgery,3,0.01,0,,
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000012,Beverly Hospital,Appendix surgery,42,0.11,0,,
