1027.facility_name,"tS. Joseph Hospital, Eureka","St. Joseph Hospital, Eureka"
47.facility_name,Cedars-Sinai Medical Center,Eisenhower Medical Center
883.facility_name,San Joaquin Community uHospital,San Joaquin Community Hospital
1302.facility_id,10000508,110000508
535.facility_id,14000014,140000014
27.facility_id,60000074,40000095
57.facility_name,Centinela Hospital Medical Center,French Hospital Medical Center
1211.facility_name,Sutter Cast Hospital,Sutter Coast Hospital
6.facility_id,60000002,140000012
535.county,Alamedja,Alameda
23.facility_id,60000002,60000007
67.facility_id,40000122,930000062
1427.county,Ahlameda,Alameda
83.facility_id,60000074,630011203
1174.facility_id,120000490,120000409
69.facility_id,40000122,70000142
1341.county,Aolameda,Alameda
1274.county,Alamda,Alameda
1067.county,ContraC osta,Contra Costa
816.county,Alamdea,Alameda
17.facility_id,60000002,930000004
989.county,Conqtra Costa,Contra Costa
1306.facility_id,102000342,120000342
1116.facility_id,11000508,110000508
76.facility_name,Bakersfield Memorial Hospital,Hollywood Presbyterian Medical Center
1141.county,El Doraod,El Dorado
755.county,Aameda,Alameda
858.facility_name,Northbay Medical Ceter,Northbay Medical Center
65.facility_name,Bakersfield Memorial Hospital,"Good Samaritan Hospital, Los Angeles"
830.facility_name,Kaweah Delta Medical eCnter,Kaweah Delta Medical Center
810.county,Contra osta,Contra Costa
25.facility_id,40000122,930000070
94.facility_id,630012960,630013929
68.facility_name,California Hospital Medical Center - Los Angeles,Grossmont Hospital
1223.facility_id,10000070,110000070
69.facility_name,California Hospital Medical Center - Los Angeles,Hazel Hawkins Memorial Hospital
101.facility_id,930000005,80000144
472.facility_id,1100000q45,110000045
50.facility_id,140000425,30000125
1293.county,Alamead,Alameda
44.facility_id,60000002,930001709
35.facility_name,Alta Bates Summit Medical Center,Contra Costa Regional Medical Center
1186.facility_id,10000411,120000411
992.county,lameda,Alameda
959.county,uAlameda,Alameda
287.facility_id,14000014,140000014
309.facility_name,Redwood Memorial Hospbital,Redwood Memorial Hospital
920.county,Alamdea,Alameda
511.facility_id,140000016***,140000016
58.facility_name,Barton Memorial Hospital,Garden Grove Hospital and Medical Center
421.county,Alamweda,Alameda
1228.county,Alamead,Alameda
826.facility_name,"Kaiser Fouondation Hospital, Santa Rosa","Kaiser Foundation Hospital, Santa Rosa"
39.facility_name,Children's Hospital & Research Center Oakland,Desert Regional Medical Center
96.facility_id,630012960,930000050
21.facility_id,930000008,60001207
531.facility_id,120000383,120000338
373.facility_name,Delano eRegional Medical Center,Delano Regional Medical Center
637.county,Alamead,Alameda
687.facility_name,Mercy Southswest Hospital,Mercy Southwest Hospital
22.facility_name,Delano Regional Medical Center,Children's Hospital Los Angeles
91.facility_id,630012960,630011959
30.facility_name,Centinela Hospital Medical Center,Community Hospital Long Beach
8.facility_name,AHMC Anaheim Regional Medical Center,Antelope Valley Hospital
41.facility_name,Children's Hospital & Research Center Oakland,Doctors Hospital of Manteca
745.facility_id,20001467,120001467
