189.locationvalue,"(41.99o82282538, -87.6671044665)","(41.9982282538, -87.6671044665)"
331.buffersize,***,B
351.locationvalue,"(41.7868526305, -87.6646155e793)","(41.7868526305, -87.6646155793)"
189.buffersize,,A
218.locationvalue,"(41.7803216101, -87.617y1353804)","(41.7803216101, -87.6171353804)"
268.address,4204 W NORT HAVE,4204 W NORTH AVE
329.buffersize,tA,A
28.address,7501 N SHERIDAN RD,5701 N SHERIDAN RD
229.communityareaname,LOWER WSET SIDE,LOWER WEST SIDE
56.storename,WALMATR,WALMART
326.address,435 5N SHERIDAN RD,4355 N SHERIDAN RD
28.storename,OLLYWOOD TOWER MKT,HOLLYWOOD TOWER MKT
395.address,2701W  NORTH AVE,2701 W NORTH AVE
263.communityareaname,LKAE VIEW,LAKE VIEW
352.storename,CENTRAL PARK FOOwDS INC,CENTRAL PARK FOODS INC
450.communityareaname,RIVING PARK,IRVING PARK
181.locationvalue,"(41.8916898398, 87.6204441348)","(41.8916898398, -87.6204441348)"
441.buffersize,fB,B
276.address,1422 W 47TH TS,1422 W 47TH ST
168.locationvalue,"(1.9561262015, -87.7224828263)","(41.9561262015, -87.7224828263)"
77.locationvalue,"(4.0079949199, -87.6671741467)","(42.0079949199, -87.6671741467)"
402.address,340 W SUPREIOR ST,340 W SUPERIOR ST
480.address,23i45 N CLARK ST,2345 N CLARK ST
357.storename,ALDI'Ss FOODS BELMONT,ALDI'S FOODS BELMONT
310.address,217 N JEFFERSONST,217 N JEFFERSON ST
310.communityareaname,NEAR WESTl SIDE,NEAR WEST SIDE
424.buffersize,aB,B
338.communityareaname,NEAR NOTH SIDE,NEAR NORTH SIDE
16.locationvalue,"(41.9095051747, -87.7469599363)","(41.9095051477, -87.7469599363)"
217.communityareaname,AUSIN,AUSTIN
70.address,1049 W BRYN MARW AVE,1049 W BRYN MAWR AVE
223.locationvalue,"(14.9976669579, -87.687213456)","(41.9976669579, -87.687213456)"
241.storename,SEVEN aELEVEN,SEVEN ELEVEN
241.communityareaname,LAK EVIEW,LAKE VIEW
407.storename,CLYBOUN MARKET,CLYBOURN MARKET
424.address,2459 S MILLARD VE,2459 S MILLARD AVE
368.storename,IDSCOUNT MEAT COMPANY,DISCOUNT MEAT COMPANY
345.buffersize,,A
456.locationvalue,"(41.7327335949, -87.551727836)","(41.7327335949, -87.5511727836)"
71.locationvalue,"(41.997589144, -87.6918369148)","(41.9975891244, -87.6918369148)"
405.storename,GILMART'S  FOOD & IQUOR,GILMART'S  FOOD & LIQUOR
91.address,6309 W GRAND VAE,6309 W GRAND AVE
120.buffersize,***,B
447.address,4214w W NORTH AVE,4214 W NORTH AVE
151.address,7i800 S SOUTH CHICAGO AVE,7800 S SOUTH CHICAGO AVE
223.storename,FARM SPUER MARKET,FARM SUPER MARKET
94.communityareaname,GAEG PARK,GAGE PARK
304.address,42i50 N LINCOLN AVE,4250 N LINCOLN AVE
385.communityareaname,LINCOLN PRK,LINCOLN PARK
333.communityareaname,NEWx CITY,NEW CITY
10.buffersize,***,A
451.buffersize,***,B
420.address,6107 S ARCHERA VE,6107 S ARCHER AVE
279.buffersize,,A
336.address,5960 W LAWRENCEAVE,5960 W LAWRENCE AVE
316.communityareaname,WES TGARFIELD PARK,WEST GARFIELD PARK
182.locationvalue,"(41.808472383, -87.6674545133)","(41.8084712383, -87.6674545133)"
28.locationvalue,"(41.985638412, -87.6550943233)","(41.985638421, -87.6550943233)"
53.address,134 N NARRAGANSETT AVE,3134 N NARRAGANSETT AVE
347.address,4501 N SHqERIDAN RD,4501 N SHERIDAN RD
403.storename,PERSONALLIQUORS INC,PERSONAL LIQUORS INC
256.address,8331 S RACINE AVE,8313 S RACINE AVE
37.address,706 W DIVISION ST,2706 W DIVISION ST
215.buffersize,***,A
348.address,300 S KEDZIE AVE,3030 S KEDZIE AVE
182.buffersize,,B
265.communityareaname,EDGEWATR,EDGEWATER
208.locationvalue,"(41.7784929073, -87.727i327519)","(41.7784929073, -87.727327519)"
458.buffersize,***,A
483.storename,LAKE VIEW FOODS kINC,LAKE VIEW FOODS INC
364.address,6621 S COTTAGE GOVE AVE,6621 S COTTAGE GROVE AVE
48.locationvalue,"(41.73691546, -87.5936566218)","(41.736915346, -87.5936566218)"
227.address,1810 S BLUE ISLAD AVE,1810 S BLUE ISLAND AVE
230.buffersize,***,A
392.buffersize,,A
180.locationvalue,"(41.735984057, -87.6474228803)","(41.7359084057, -87.6474228803)"
192.buffersize,iA,A
128.buffersize,,B
342.buffersize,,A
155.storename,CARNICERI LA VILLA #2,CARNICERIA LA VILLA #2
9.storename,TW OBLUE FOODS INC,TWO BLUE FOODS INC
169.buffersize,***,B
173.communityareaname,OGAN SQUARE,LOGAN SQUARE
389.buffersize,***,B
435.communityareaname,MORGAN nPARK,MORGAN PARK
278.storename,RJ Liquros,RJ Liquors
294.locationvalue,"(41.79623488,k -87.63040492)","(41.79623488, -87.63040492)"
474.buffersize,,A
82.buffersize,oB,B
41.storename,LDI INC. #96,ALDI INC. #96
8.storename,JOE' FOOD & LIQUOR,JOE'S FOOD & LIQUOR
483.locationvalue,"(4a1.9570402995, -87.6547628922)","(41.9570402995, -87.6547628922)"
260.locationvalue,"(41.m9764816676, -87.6548397772)","(41.9764816676, -87.6548397772)"
303.address,1120W GRAND AVE,1120 W GRAND AVE
164.address,800 W DIVERSEY AVE,4800 W DIVERSEY AVE
188.buffersize,hB,B
135.locationvalue,"(x41.9585967247, -87.7083095759)","(41.9585967247, -87.7083095759)"
434.communityareaname,SOUTH ALWNDALE,SOUTH LAWNDALE
325.buffersize,oB,B
226.buffersize,yB,B
264.address,3536  W63RD ST,3536 W 63RD ST
186.buffersize,***,B
281.address,12247 S HALSTED T,12247 S HALSTED ST
243.locationvalue,"(41.9237604017, -7.7887477626)","(41.9237604017, -87.7887477626)"
58.buffersize,sB,B
99.address,5358S CARPENTER ST,5358 S CARPENTER ST
210.locationvalue,"(1.9354720327, -87.6686545431)","(41.9354720327, -87.6686545431)"
25.locationvalue,"(42.008856472, -87.674080374)","(42.0088564722, -87.674080374)"
