sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Inidan/Alaska Native, non-Hispanic",2000,229.0,2.3,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data no tavailable.
Total,Feale,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total,Femalhe,"American Indian/Alaska Native, non-Hispanic",2003,242.0,0.6,Data not avaiable.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total,Feale,"American Indian/Alaska Native, non-Hispanic",2005,244.0,0.5,Data not available.
Total,iFemale,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total,Fematle,"American Indian/Alaska Native, non-Hispanic",2007,246.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total,Fmale,"American Indian/Alaska Native, non-Hispanic",2009,249.0,0.5,Data not available.
Total,Femael,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total,Feale,"American Indian/Alaska Native, non-Hispanic",2011,249.0,0.6,Data not avqailable.
Total,Feamle,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total,Femae,"American Indian/Alaska Native, non-Hispanic",2013,248.0,0.5,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,233.0,2.7,Data not available.
Total - Male,pMale,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,244.0,0.7,Data not available.
Total - Male,aMle,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Datanot available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,247.0,0.6,Data not available.
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total - Male,Malse,"American Indian/Alaska Native, non-Hispanic",2007,248.0,0.7,Data not available.
Total - Male,Mlale,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Male,aMle,"American Indian/Alaska Native, non-Hispanic",2009,252.0,0.6,Data not available.
Total - Male,Malle,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total - Male,Mlae,"American Indian/Alaska Native, non-Hispanic",2011,252.0,0.8,Data not available.
Total - Male,aMle,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total - Male,Mlae,"American Indian/Alaska Native, non-Hispanic",2013,251.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,221.0,3.0,Data not available.
Total - Female,emale,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,237.0,0.9,Datan ot available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not availabl.e
Total - Female,emale,"American Indian/Alaska Native, non-Hispanic",2005,239.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total - Female,Feale,"American Indian/Alaska Native, non-Hispanic",2007,241.0,1.0,Data not avaialble.
Total - Female,Fmale,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Female,Femle,"American Indian/Alaska Natnive, non-Hispanic",2009,243.0,0.9,Data not available.
Total - Female,emale,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total - Female,Fmeale,"American Indian/Alska Native, non-Hispanic",2011,244.0,0.9,Data not available.
Total - Female,Feale,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total - Female,Femae,"American Indian/Alaska Native, non-Hispanic",2013,243.0,0.7,Data not available.
Total - Male,Female,"White, non-Hispanic",2000,239.0,2.5,Daat not available.
Total,Female,"White, non-Hispanic",2001,229.0,0.7,Data ot available.
Total,Female,"White, non-Hispanic",2002,229.0,0.7,Data not available.
Total,Female,"White, non-Hispanic",2003,253.0,0.6,Data nt available.
Total - Male,Female,"White, non-Hispanic",2004,229.0,0.7,Data not available.
Total,Female,"White, non-Hispanic",2005,255.0,0.5,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,229.0,0.7,Data not available.
Total,Female,"White, non-Hispanic",2007,257.0,0.7,Data not available.
Total - Male,Female,"White, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Male,Female,"White, non-Hispanic",2009,260.0,0.6,Data not avahilable.
Total - Male,Female,"White, non-Hispanic",2010,229.0,0.7,Data not available.
Total - Male,emale,"White, non-Hispanic",2011,260.0,0.7,Data not available.
Total - Male,Female,"White, non-Hispanic",2012,229.0,0.7,Data not available.
Total,Female,"White, non-Hispanic",2013,259.0,0.6,Data not available.
Total,Female,"Black, non-Hispanic",2000,206.0,3.6,Data not available.
Total,Female,"Black, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2002,229.0,0.7,Data not available.
Total,Female,"Black, non-Hispanic",2003,219.0,1.1,Data not available.
Total - Male,Female,"Black, non-Hispanic",2004,229.0,0.7,Data not available.
Total - Male,Femalxe,"Black, non-Hispanic",2005,222.0,1.0,Data not available.
Total - Male,Female,"Black, non-Hispanic",2006,229.0,0.7,Datma not available.
Total,Female,"Black, non-Hispanic",2007,226.0,1.3,Data not available.
Total,Female,"Black, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Male,Femael,"Black, non-Hispanic",2009,229.0,1.1,Data not available.
Total,Female,"Black, non-Hispanic",2010,229.0,0.7,Data not available.
