Rank,Country,GDP (PURCHASING POWER PARITY),Date of Information
1,China,"$17,630,000,000,000",2014 est.
2,European Union,"$17,610,000,000,000",2014 est.
3,United States,"$17,460,000,000,000",2014 est.
4,India,"$7,277,000,000,000",2014 est.
5,Japan,"$4,807,000,000,000",2014 est.
6,Germany,"$3,621,000,000,000",2014 est.
7,Russia,"$3,568,000,000,000",2014 est.
8,Brazil,"$3,073,000,000,000",2014 est.
9,France,"$2,587,000,000,000",2014 est.
10,Indonesia,"$2,554,000,000,000",2014 est.
11,United Kingdom,"$2,435,000,000,000",2014 est.
12,Mexico,"$2,143,000,000,000",2014 est.
13,Italy,"$2,066,000,000,000",2014 est.
14,"Korea, South","$1,786,000,000,000",2014 est.
15,Saudi Arabia,"$1,616,000,000,000",2014 est.
16,Canada,"$1,579,000,000,000",2014 est.
17,Spain,"$1,534,000,000,000",2014 est.
18,Turkey,"$1,512,000,000,000",2014 est.
19,Iran,"$1,284,000,000,000",2014 est.
20,Australia,"$1,100,000,000,000",2014 est.
21,Nigeria,"$1,058,000,000,000",2014 est.
22,Taiwan,"$1,022,000,000,000",2014 est.
23,Thailand,"$990,100,000,000",2014 est.
24,Egypt,"$945,400,000,000",2014 est.
25,Poland,"$941,400,000,000",2014 est.
26,Argentina,"$927,400,000,000",2014 est.
27,Pakistan,"$884,200,000,000",2014 est.
28,Netherlands,"$798,100,000,000",2014 est.
29,Malaysia,"$746,800,000,000",2014 est.
30,Philippines,"$694,600,000,000",2014 est.
31,South Africa,"$683,100,000,000",2014 est.
32,Colombia,"$642,700,000,000",2014 est.
33,United Arab Emirates,"$605,000,000,000",2014 est.
34,Algeria,"$552,600,000,000",2014 est.
35,Venezuela,"$545,700,000,000",2014 est.
36,Bangladesh,"$535,600,000,000",2014 est.
37,Vietnam,"$509,500,000,000",2014 est.
38,Iraq,"$505,400,000,000",2014 est.
39,Belgium,"$467,100,000,000",2014 est.
40,Singapore,"$445,200,000,000",2014 est.
41,Switzerland,"$444,700,000,000",2014 est.
42,Sweden,"$434,200,000,000",2014 est.
43,Kazakhstan,"$420,600,000,000",2014 est.
44,Chile,"$410,300,000,000",2014 est.
45,Hong Kong,"$400,600,000,000",2014 est.
46,Austria,"$386,900,000,000",2014 est.
47,Romania,"$386,500,000,000",2014 est.
48,Peru,"$376,700,000,000",2014 est.
49,Ukraine,"$373,100,000,000",2014 est.
50,Norway,"$339,500,000,000",2014 est.
51,Qatar,"$323,200,000,000",2014 est.
52,Czech Republic,"$299,700,000,000",2014 est.
53,Greece,"$284,300,000,000",2014 est.
54,Kuwait,"$283,900,000,000",2014 est.
55,Portugal,"$276,000,000,000",2014 est.
56,Israel,"$268,300,000,000",2014 est.
57,Morocco,"$254,400,000,000",2014 est.
58,Denmark,"$248,700,000,000",2014 est.
59,Burma,"$244,300,000,000",2014 est.
60,Hungary,"$239,900,000,000",2014 est.
61,Ireland,"$224,700,000,000",2014 est.
62,Finland,"$221,500,000,000",2014 est.
63,Sri Lanka,"$217,100,000,000",2014 est.
64,Ecuador,"$182,000,000,000",2014 est.
65,Angola,"$175,500,000,000",2014 est.
66,Belarus,"$171,200,000,000",2014 est.
67,Uzbekistan,"$170,300,000,000",2014 est.
68,Azerbaijan,"$168,400,000,000",2014 est.
69,Oman,"$163,600,000,000",2014 est.
70,Sudan,"$159,500,000,000",2014 est.
71,New Zealand,"$158,700,000,000",2014 est.
72,Slovakia,"$149,900,000,000",2014 est.
73,Ethiopia,"$139,400,000,000",2014 est.
74,Dominican Republic,"$135,700,000,000",2014 est.
75,Kenya,"$134,700,000,000",2014 est.
76,Cuba,"$128,500,000,000",2014 est.
77,Tunisia,"$125,100,000,000",2014 est.
78,Bulgaria,"$123,300,000,000",2014 est.
79,Guatemala,"$118,700,000,000",2014 est.
80,Ghana,"$109,400,000,000",2014 est.
81,Syria,"$107,600,000,000",2011 est.
82,Yemen,"$106,000,000,000",2014 est.
83,Libya,"$103,300,000,000",2014 est.
84,Tanzania,"$92,530,000,000",2014 est.
85,Serbia,"$90,320,000,000",2014 est.
86,Croatia,"$87,300,000,000",2014 est.
87,Turkmenistan,"$82,150,000,000",2014 est.
88,Lebanon,"$80,510,000,000",2014 est.
89,Jordan,"$79,770,000,000",2014 est.
90,Lithuania,"$78,950,000,000",2014 est.
91,Panama,"$76,950,000,000",2014 est.
92,Cote d'Ivoire,"$71,950,000,000",2014 est.
93,Costa Rica,"$71,210,000,000",2014 est.
94,Bolivia,"$70,380,000,000",2014 est.
95,Uruguay,"$69,780,000,000",2014 est.
96,Cameroon,"$67,230,000,000",2014 est.
97,Nepal,"$66,920,000,000",2014 est.
98,Uganda,"$66,650,000,000",2014 est.
99,Puerto Rico,"$64,840,000,000",2010 est.
100,Zambia,"$61,790,000,000",2014 est.
101,Afghanistan,"$61,690,000,000",2014 est.
102,Bahrain,"$61,560,000,000",2014 est.
103,Slovenia,"$60,540,000,000",2014 est.
104,Paraguay,"$57,870,000,000",2014 est.
105,"Congo, Democratic Republic of the","$55,730,000,000",2014 est.
106,Macau,"$51,680,000,000",2013 est.
107,El Salvador,"$50,900,000,000",2014 est.
108,Luxembourg,"$50,650,000,000",2014 est.
109,Cambodia,"$50,250,000,000",2014 est.
110,Latvia,"$48,590,000,000",2014 est.
111,Trinidad and Tobago,"$42,230,000,000",2014 est.
112,"Korea, North","$40,000,000,000",2013 est.
113,Honduras,"$38,950,000,000",2014 est.
114,Bosnia and Herzegovina,"$38,080,000,000",2014 est.
115,Estonia,"$35,400,000,000",2014 est.
116,Laos,"$34,480,000,000",2014 est.
117,Gabon,"$34,280,000,000",2014 est.
118,Georgia,"$34,270,000,000",2014 est.
119,Senegal,"$33,680,000,000",2014 est.
120,Madagascar,"$33,640,000,000",2014 est.
121,Botswana,"$33,620,000,000",2014 est.
122,Brunei,"$32,110,000,000",2014 est.
123,Albania,"$30,660,000,000",2014 est.
124,Burkina Faso,"$30,080,000,000",2014 est.
125,Nicaragua,"$29,850,000,000",2014 est.
126,Chad,"$29,850,000,000",2014 est.
127,Mozambique,"$29,760,000,000",2014 est.
128,Mongolia,"$29,710,000,000",2014 est.
129,"Congo, Republic of the","$28,090,000,000",2014 est.
130,Macedonia,"$27,410,000,000",2014 est.
131,Mali,"$27,100,000,000",2014 est.
132,Zimbabwe,"$26,880,000,000",2014 est.
133,Equatorial Guinea,"$25,330,000,000",2014 est.
134,Cyprus,"$24,940,000,000",2014 est.
135,Jamaica,"$24,280,000,000",2014 est.
136,Armenia,"$24,260,000,000",2014 est.
137,Namibia,"$23,590,000,000",2014 est.
138,Mauritius,"$23,420,000,000",2014 est.
139,South Sudan,"$23,310,000,000",2014 est.
140,Tajikistan,"$22,220,000,000",2014 est.
141,West Bank,"$20,120,000,000",2014 est.
142,Benin,"$19,850,000,000",2014 est.
143,Kyrgyzstan,"$19,290,000,000",2014 est.
144,Rwanda,"$18,700,000,000",2014 est.
145,Haiti,"$18,540,000,000",2014 est.
146,Papua New Guinea,"$18,110,000,000",2014 est.
