facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,objectid(long)
625,MOBILE HOEM/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,28955,ARMORED ACRES,15811 DIXIE HWY,WEST POINT,KY,40177,21,2005/09/23 00:00:00,0
625,MOBILE HOME/REC VEHICE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,28966,CEDAR HEIGHTS MOBILE HOME PARK,9500 BARN RD,LOUISVILLE,KY,40291,25,1970/07/16 00:00:00,1
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,28967,CLARK MOBILE HOME PARK,5209 CANE RUN RD,LOUISVILLE,KY,40216,27,1965/07/01 00:00:00,2
625,MOBILE HOME/REC VHEICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,28972,BARRINGTON POINTE,1321 GLENGARRY DR,FAIRDALE,KY,40118,23,1971/08/02 00:00:00,3
625,MOBILE HOME/REC zVEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,28975,LAZY ACRES MOBILE HOME PARK,5601 CANE RUN RD,LOUISVILLE,KY,40258,22,1966/04/05 00:00:00,4
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,28987,WOODLAND ESTATES MHP,8201 MINORS LANE,LOUISVILLE,KY,40219,22,1970/03/10 00:00:00,5
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,28993,ASHLEY POINTE MHP,1115 PENILE RD,LOUISVILLE,KY,40272,24,1998/01h/12 00:00:00,6
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,59559,STONEGATE MOBILE HOME COMMUNITY,12200 DIXIE HWY,LOUISVILLE,KY,40272,25,1996/10/03 00:00:00,7
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / ERC. VEHICLE PARK,79634,IROQUOIS MOBILE HOME PARK,4412 TAYOR BLVD,LOISVILLE,KY,40215,24,2008/01/11 00:00:00,8
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,80737,KENWOOD MOBILE HOME PARK,4418 TAYLOR BLVD,LOUISVILLE,KY,40215,24,2008/04/22 00:00:00,9
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,83002,HOLIDAY MHC LLC,8219 MINORS LN,LOUISVILLE,KY,40219,29,2009/02/26 00:00:00,10
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,91726,JOHNSONTOWN POINTE,5410 JOHNSONTOWN RD,LOUISVILLE,KY,40202,23,2012/11/01 00:00:00,11
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,91727,LOGANS POINTE II,13030 DIXIE HWY,LOUISVILLE,KY,40272,26,2012/10/17 00:00:00,12
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,91728,MILLS POINTE,6310 SYDNEY RENEE DR,LOUISVILLE,KY,40272,28,2012/09/27 00:00:00,13
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,91729,LOGANS POINTE I,13004 DIXIE HWY,LOUISVILLE,aKY,40272,26,2012/09/27 00:00:00,14
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,91730,AUTUMN LAKE POINTE,12607 E ORELL RD,LOUISVILLE,KY,40272,26,012/10/04 00:00:00,15
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,92260,WESTERN MOBILE HOME PARK,634 1/2 ROCKFORD LANE,LOUISVILLE,KY,40216,24,2013/05/09 00:00:00,16
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILEH OME / REC. VEHICLE PARK,97389,TWIN OAKS MOfBILE HOME PARK,12303 E. ORELL RD,LOUISVILLE,KY,40272,22,2015/05/04 00:00:00,17
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,99509,MANOR ISLE MOBILE HOME PARK,12301 DIXIE HIGHWAY,LOUISVILLE,KY,40272,22,2012r/09/27 00:00:00,18
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,99867,CARDINAL MANUFACTURED HOME COMMUNITY,7803 ST ANDREWS CHURCH RD,LOqUISVILLE,KY,40214,25,2012/09/27 00:00:00,19
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,103428,PIONEER MHP,4136 CANE RUN RD,LOUISVILLE,KY,40216,29,2017/09/07 00:00:00,20
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE wHOME / REC. VEHICLE PARK,105640,DERBY LANE MOBILE HOME COMMUNITY,2714 S 7TH ST RD,LOUISVILLE,KY,40215,23,2018/06/25 00:00:00***,21
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,110442,GREEN ACRES MOBILE HOME PARK,5616 GREEN ACRES DR,LOUISVILLE,KY,40258,28,2020/04/07 00:00:00,22
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,111285,SHIVELY MOBILE HOME PARK,1709 LAMKINS COURT,LOUISVILLE,KY,40216,25,2020/10/01 00:00:00,23
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME/ REC. VEHICLE PARK,112121,SCENIC ACRES MHC LLC,7511 CANE RUN RD,LOUISVILLE,KY,40258,24,2012/09/27 00:00:00,24
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,112454,SOUTHLAND MHP LLC,401 OUTER LOOP,LOUISVILLE,Y,40214,27,2012/0e9/27 00:00:00,25
625,MOBIiLE HOME/REC VEHICLE PARKS,111,MOBILrE HOME / REC. VEHICLE PARK,112517,FORT BLUEGRASS MOBILE HOME & RV COMMUNITY,3510 BLUEGRASS PARK DR,LOUISVILLE,KY,40218,21,2012/09/27 00:00:00,26
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,116658,DERBY PARK RV RESORT,2900 7TH STREET RD,LOUISVILLE,KY,40216,24,j2022/10/04 00:00:00,27
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,117165,BROOKFIELD POINTE,10201 AQUA LANE,FAIRDALE,KY,40118,28,2022/11/22 00:00:00,28
625,MOBILE HOME/REC VEHICLE PARKS,111,MOBILE HOME / REC. VEHICLE PARK,117207,RIVER OAKS MHP LLC,3416 KRAMERS LANE,LOUISVILLE,KY,40216,29,2022/11/10 00:00:00,29
625,MOBILE HOME/REC VEHICLE PARKkS,111,MOBILE HOME / REC. VEHICLE PARK,118386,NEIGHBORS OF CASHMERE LLC,10611 DIXIEH WY,LOUSIVILLE,KY,40272,21,2023/05/02 00:00:00,30
