sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Femalhe,"American Indian/Alaska Native, non-Hispanic",2000,229.0,2.3,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,242.0,0.6,Data not available.
Total,Femalhe,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total,Femaxle,"American Indian/Alaska Native, non-Hispanic",2005,244.0,0.5,Data not available.
Total,Feamle,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total,Femael,"American Indian/Alaska Native, non-Hispanic",2007,246.0,0.7,Data not available.
Total,Feamle,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total,Femalde,"American Indian/Alaska Native, non-Hispanic",2009,249.0,0.5,Data not available.
Total,zFemale,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,249.0,0.6,Data not available.
Total,Fehmale,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data nnot available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2013,248.0,0.5,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,233.0,2.7,Data not available.
Total - Male,Mmale,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2003,244.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data nota vailable.
Total - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2005,247.0,0.6,Data not available.
Total - Male,Mae,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,248.0,0.7,Data not available.
Total - Male,Maole,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Male,Mlae,"American Indian/Alaska Native, non-Hispanic",2009,252.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2011,252.0,0.8,Data not available.
Total - Male,Mlae,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total - Male,Malre,"American Indian/Alaska Native, non-Hispanic",2013,251.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,221.0,3.0,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Ntaive, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Female,Female,"American IndianAlaska Native, non-Hispanic",2003,237.0,0.9,Data not available.
Total - Female,Fmeale,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
