#,Poem Title,Hits,Unnamed: 3,Posts,Unnamed: 5
1.0,Astrophel And Stella Lxxxiv: Highway,1.0,16%,0.0,0%
2.0,Astrophel And Stella Vii: Whennature Made Her Chief Work,1.0,16%,0.0,0%
3.0,Astrophel And Stella: I,2.0,33%,0.0,0%
4.0,Astrophel And Stella-Sonnet Xxxi,1.0,16%,0.0,0%
5.0,"Come Sleep, O Sleep! The Certain Knot Of Peace",6.0,100%,0.0,0%
6.0,"Leave Me, O Love Which Reachest But To Dust",1.0,16%,0.0,0%
7.0,"Loving In Truth, And Fain In Verse My Love To Show",2.0,33%,0.0,0%
8.0,"My True Love Hath My Heart, And I Have His",1.0,16%,0.0,0%
9.0,My True-Love Hath My Heart,5.0,83%,0.0,0%
10.0,Philomela,1.0,16%,0.0,0%
11.0,Song From Arcadia,1.0,16%,0.0,0%
12.0,Sonnet 10: Reason,1.0,16%,0.0,0%
13.0,Sonnet 41: Having This Day My Horse,2.0,33%,0.0,0%
14.0,"Sonnet 47: What, Have I Thus Betray'D",5.0,83%,0.0,0%
15.0,Sonnet 52: A Strife Is Grown,1.0,16%,0.0,0%
16.0,"Sonnet 59: Dear, Why Make You More",1.0,16%,0.0,0%
17.0,Sonnet 6: Some Lovers Speak,2.0,33%,0.0,0%
18.0,"Sonnet 68: Stella, The Only Planet",1.0,16%,0.0,0%
19.0,"Sonnet 81: Oh Kiss, Which Dost",1.0,16%,0.0,0%
20.0,"Sonnet 96: Thought, With Good Cause",1.0,16%,0.0,0%
21.0,Sonnet Xiii: Phoebus Was Judge,1.0,16%,0.0,0%
22.0,Sonnet Xli: Having This Day My Horse,1.0,16%,0.0,0%
,Total,39.0,,0.0,
,Average,1.8,,0.0,
