410.locationvalue,"(41.815550396096, -876228565224104)","(41.815550396096, -87.6228565224104)"
238.propertyname,Casa Coliam,Casa Colima
489.propertytype,ultifamily,Multifamily
109.managementcompany,LUCA,LUCHA
328.address,3718 W. Dougla sBlvd.,3718 W. Douglas Blvd.
263.managementcompany,Senior Liefstyle Corp.,Senior Lifestyle Corp.
343.propertytype,Multifmaily,Multifamily
279.propertyname,The Grant at Woodlawn Pk Phas II,The Grant at Woodlawn Pk Phase II
420.address,619-27 N Kedzie Ave.,619-27 N. Kedzie Ave.
124.propertyname,Senior Suites dof Ravenswood Manor,Senior Suites of Ravenswood Manor
130.managementcompany,rmk Maagement,rmk Management
265.managementcompany,Bickerdike Apt.s,Bickerdike Apts.
17.propertyname,Wayne Street Aptsd.,Wayne Street Apts.
368.phonenumber,773-734-2848,773-734-2884
9.phonenumber,312-602-650,312-602-6500
226.phonenumber,77-536-0200,773-536-0200
310.propertyname,Zapata Ats.,Zapata Apts.
451.propertyname,Lakefront Phase II***,Lakefront Phase II
258.address,3215 W. Hjuron St.,3215 W. Huron St.
419.address,3300 W. Maydpole Ave.,3300 W. Maypole Ave.
430.address,4040 N.Sheridan Road,4040 N. Sheridan Road
298.phonenumber,s773-235-4559,773-235-4559
460.managementcompany,"HSR Propery Services, LLC","HSR Property Services, LLC"
433.phonenumber,773-955-8686,773-955-8668
38.managementcompany,Preservation Housing aMnagement LLC,Preservation Housing Management LLC
235.address,633 E. 5m0th St.,633 E. 50th St.
269.propertyname,Greenwood Par Apts.,Greenwood Park Apts.
203.propertytype,Senor,Senior
186.managementcompany,Quest Chciago,Quest Chicago
64.locationvalue,"(41.820349050309, -87.6165141094717)","(41.820349500309, -87.6165141094717)"
382.propertyname,Majorl Jenkins Apts.,Major Jenkins Apts.
538.communityareaname,West Pullmnan,West Pullman
86.propertytype,Supporive,Supportive
131.locationvalue,"(41c.8835542602409, -87.6719533671956)","(41.8835542602409, -87.6719533671956)"
517.communityareaname,Portage Prark,Portage Park
283.address,908 S .Central Park Ave.,908 S. Central Park Ave.
401.address,3208 N. Shefield vAe.,3208 N. Shefield Ave.
112.phonenumber,773-25-5955,773-285-5955
467.managementcompany,Habitat Comapny,Habitat Company
543.communityareaname,Logan Suare,Logan Square
246.address,"1318,1456 N. Rockwlel Ave.","1318,1456 N. Rockwell Ave."
274.locationvalue,"(41.9022119151994, -j87.6345715220446)","(41.9022119151994, -87.6345715220446)"
431.managementcompany,MjVAH Partners,MVAH Partners
203.managementcompany,"ast Lake Management Group, Inc.","East Lake Management Group, Inc."
161.locationvalue,"(41.8760781065366, -87.697157729748)","(41.8760781065366, -87.697157729784)"
164.phonenumber,773-743-3699***,773-743-3699
297.locationvalue,"41.8553397217037, -87.7247100762886)","(41.8553397217037, -87.7247100762886)"
181.phonenumber,312-6004-501,312-600-4501
135.managementcompany,East Lake Management & Development oCrp.,East Lake Management & Development Corp.
151.locationvalue,"(1.8037545211771, -87.6212170565254)","(41.8037545211771, -87.6212170565254)"
23.propertyname,The Masaon,The Mason
478.managementcompany,Hispanic Hosuing Dev. Corp.,Hispanic Housing Dev. Corp.
479.propertytype,upportive,Supportive
268.communityareaname,Rseland,Roseland
197.propertyname,Park Boulevard IA,Park Boulevard IIA
332.propertyname,ilieu Apts.,Milieu Apts.
250.communityareaname,West Tiown,West Town
1.communityareaname,Eastm Garfield Park,East Garfield Park
556.locationvalue,"(41.917011260975, -876.879428188384)","(41.917011260975, -87.6879428188384)"
345.phonenumber,773-334-0503,773-334-5003
554.address,6230 S. Dorchestaer Ave.,6230 S. Dorchester Ave.
393.propertytype,Seior,Senior
514.communityareaname,Laqke View,Lake View
71.managementcompany,Bickerdik eApts.,Bickerdike Apts.
93.managementcompany,iVllage Green Management Co.,Village Green Management Co.
