objectid,cyclevalue,id_three_zero_five_b,namevalue,locationvalue,acres,nhdbasin,aquaticlife,recreation,fishconsumption,drinkingwatersupply,ctlakeid,shape_length,shape_area
1,2008,CT7103-00-2-L5_01,Pembroke Lakes (Bridgeport),"Just upstream of Yellow Mill Channel, US side of RailRoad crossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)",2.74213707,1100006,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,2381,3245.84224242884,119447.385118331
2,2008,CT8104-00-2-L5_01,Mamanasco Lake (Ridgefield),Northwest Ridgefield.,85.89755215,2030101,Not Supporting,Not Supporting,Fully Supporting,Not Assessed,1756,11258.4021938634,3741697.38323461
3,2008,CT7409-00-1-L3_01,Putnam Lake Reservoir (Greenwich),"Impoundment of Horseneck Brook, just south of Rt. 15, Greenwich.",95.55809866,1100006,Not Supporting,Not Assessed,Fully Supporting,Fully Supporting,2334,14645.9219289448,4162510.79053793
4,2008,CT7105-10-1-L2_01,"Forest, Lake (Bridgeport)","Headwaters of Island Brook, a tributary to the Pequonnock River, Bpt.",66.58564225,1100006,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1501,13890.2632894758,2900470.57259109
5,2008,CT7103-00-2-L3_01,Success Lake (Bridgeport),"US of Stillman Pond, Pembroke Lakes & Yellowmill Channel, Bridgeport.",15.79318269,1100006,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,2798,4462.58250687571,687951.067686039
6,2008,CT7103-00-2-L4_01,Stillman Pond (Bridgeport),"Upstream of Yellow Mill Channel, Bridgeport. Downstream of Success Lake.",4.96439274,1100006,Fully Supporting,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,2759,3312.56720850954,216249.040854317
7,2008,CT5200-00-4-L2_01,Hanover Pond (Meriden),"Southwest corner of Meriden, impoundment along Quinnipiac River below Gorge.",70.52937377,1100004,Not Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,1148,11639.4607225251,3072259.65923727
8,2008,CT5207-00-1-L1_01,North Farms Reservoir (Wallingford),"0.5 miles west of Rt. 91, north side of Rt. 68, Wallingford. Headwaters of Wharton Brook.",66.07037286,1100004,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2030,9620.46209089377,2878025.34371249
9,2008,CT5207-02-1-L1_01,Allen Brook Pond (North Haven/Wallingford),"Wharton Brook State Park. Impoundment off Allen Brook, near mouth and confluence with Wharton Brook; Wallingford/North Haven boundary.",4.78643003,1100004,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,24,2759.56665170985,208496.927382221
10,2008,CT5110-04-1-L1_01,Quonnipaug Lake (Guilford),"Guilford just east of Rt 77, 2 miles north of Rt 80.",96.10040941,1100004,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2346,18247.4262677462,4186133.74967877
11,2008,CT5105-00-2-L1_01,Schreeder Pond (Killingworth),"Chatfield Hollow State Park. Impoundment of Chatfield Hollow Brook, US of Rte 80 crossing, Killingworth.",3.93915028,1100004,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2544,2715.78116163805,171589.36393193
12,2008,CT5302-00-4-L3_01,"Whitney, Lake (Hamden)","Impoundment of Mill River, Hamden. Northern most portion near south side of Route 15, exit 60 (intersection with Route 10).",140.42503934,1100004,Fully Supporting,Not Assessed,Fully Supporting,Fully Supporting,1549,34020.8630558587,6116914.66188278
13,2008,CT5105-00-2-L2_01,Foster Pond (Killingworth),"South of Rt. 80, across from Chatfield Hollow State Park, Killingworth.",27.92021607,1100004,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,943,10472.180134575,1216204.57694368
14,2008,CT5111-09-1-L1_01,Cedar Pond (North Branford),"South of Lake Gaillard, North Branford, just upstream of Linsley Pond along Pisgah Brook (trib to Branford River).",21.58155945,1100004,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,456,4467.48722362686,940092.739834537
15,2008,CT5111-09-1-L2_01,Linsley Pond (Branford/North Branford),"South of Lake Gaillard, North Branford, just downstream of Cedar Pond along Pisgah Brook (trib to Branford River). Linsley Pond straddles Branford-North Branford town line.",22.91937198,1100004,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1635,4155.48366402287,998367.840002071
16,2008,CT5305-00-3-L1_01,Edgewood Park Pond (New Haven),"Along eastern bank of West River, just US of Chapel St, New Haven.",2.72357303,1100004,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,823,1654.87117047857,118638.844686911
