region,regioncode,periodvalue,pctmdpanpmuaiu,pctmdpanpmu,pctmdmuaiu,pctmdmu,pctnpmuaiu,pctnpmu,pctpamuaiu,pctpamu,pcthospitalsmuaiu,pcthospitalsmu,pctcahsmallruralmuaiu,pctcahsmallruralmu
National,US,2016,0.63,0.53,0.7,0.62,0.48,0.22,0.041,0.021,0.99,0.98,0.99,0.98
Alabama,AL,2016,0.6,0.5,0.66,0.58,0.36,0.15,0.037,0.006,1.0,1.0,1.0,1.0
Alaska,AK,2016,0.48,0.38,0.56,0.46,0.5,0.32,0.052,0.015,1.0,1.0,1.0,1.0
Arizona,AZ,2016,0.55,0.44,0.66,0.54,0.34,0.12,0.01,0.001,1.0,0.99,1.0,1.0
Arkansas,AR,2016,0.7,0.58,0.73,0.66,0.63,0.28,0.046,0.02,0.99,0.99,1.0,1.0
California,CA,2016,0.54,0.43,0.57,0.47,0.57,0.24,0.166,0.083,0.99,0.98,0.95,0.95
Colorado,CO,2016,0.64,0.52,0.74,0.64,0.57,0.23,0.057,0.025,0.99,0.99,1.0,1.0
Connecticut,CT,2016,0.58,0.49,0.63,0.57,0.58,0.22,0.002,0.001,0.97,0.97,1.0,1.0
Delaware,DE,2016,0.67,0.59,0.76,0.7,0.45,0.25,0.0,0.0,1.0,0.86,0.0,0.0
District Of Columbia,DC,2016,0.67,0.53,0.69,0.56,0.81,0.41,0.01,0.01,1.0,1.0,0.0,0.0
Florida,FL,2016,0.59,0.51,0.68,0.61,0.35,0.13,0.013,0.006,1.0,0.99,1.0,1.0
Georgia,GA,2016,0.53,0.45,0.63,0.55,0.33,0.13,0.017,0.01,0.99,0.99,0.98,0.98
Hawaii,HI,2016,0.49,0.42,0.49,0.44,0.77,0.38,0.009,0.0,1.0,1.0,1.0,1.0
Idaho,ID,2016,0.53,0.47,0.67,0.61,0.33,0.22,0.085,0.047,1.0,1.0,1.0,1.0
Illinois,IL,2016,0.7,0.62,0.76,0.69,0.56,0.31,0.023,0.012,0.99,0.99,1.0,1.0
Indiana,IN,2016,0.63,0.54,0.68,0.63,0.46,0.2,0.01,0.008,1.0,0.99,1.0,1.0
Iowa,IA,2016,0.71,0.62,0.87,0.78,0.39,0.22,0.033,0.023,1.0,1.0,1.0,1.0
Kansas,KS,2016,0.55,0.48,0.66,0.61,0.36,0.15,0.013,0.006,0.99,0.99,0.99,0.98
Kentucky,KY,2016,0.66,0.54,0.7,0.62,0.71,0.34,0.038,0.02,1.0,0.99,1.0,0.98
Louisiana,LA,2016,0.64,0.52,0.67,0.58,0.69,0.32,0.083,0.036,1.0,0.99,1.0,1.0
Maine,ME,2016,0.84,0.66,0.89,0.74,0.95,0.59,0.058,0.034,1.0,0.97,1.0,0.95
Maryland,MD,2016,0.6,0.52,0.67,0.6,0.41,0.14,0.008,0.004,1.0,1.0,1.0,1.0
Massachusetts,MA,2016,0.78,0.67,0.88,0.77,0.46,0.25,0.003,0.002,0.98,0.95,1.0,1.0
Michigan,MI,2016,0.72,0.61,0.79,0.7,0.66,0.3,0.105,0.06,1.0,1.0,1.0,1.0
Minnesota,MN,2016,0.84,0.8,0.96,0.93,0.53,0.35,0.018,0.01,1.0,0.99,1.0,1.0
Mississippi,MS,2016,0.7,0.54,0.7,0.59,0.76,0.43,0.039,0.0,0.99,0.98,0.98,0.98
Missouri,MO,2016,0.67,0.58,0.73,0.66,0.46,0.24,0.033,0.012,1.0,1.0,1.0,1.0
Montana,MT,2016,0.57,0.52,0.68,0.64,0.39,0.24,0.11,0.091,0.98,0.98,0.98,0.98
Nebraska,NE,2016,0.53,0.49,0.67,0.64,0.27,0.15,0.01,0.007,1.0,1.0,1.0,1.0
Nevada,NV,2016,0.47,0.41,0.53,0.48,0.33,0.14,0.051,0.02,0.97,0.97,1.0,1.0
New Hampshire,NH,2016,0.72,0.65,0.89,0.84,0.3,0.11,0.003,0.0,1.0,1.0,1.0,1.0
New Jersey,NJ,2016,0.51,0.46,0.56,0.52,0.17,0.07,0.003,0.003,1.0,1.0,0.0,0.0
New Mexico,NM,2016,0.72,0.46,0.78,0.54,0.71,0.29,0.142,0.097,1.0,0.98,1.0,0.96
New York,NY,2016,0.56,0.43,0.64,0.5,0.36,0.13,0.009,0.003,1.0,0.98,1.0,0.91
North Carolina,NC,2016,0.67,0.6,0.8,0.75,0.53,0.25,0.02,0.01,0.96,0.95,0.9,0.87
North Dakota,ND,2016,0.66,0.61,0.86,0.83,0.16,0.05,0.028,0.0,0.98,0.98,0.97,0.97
Ohio,OH,2016,0.72,0.63,0.77,0.7,0.63,0.36,0.006,0.004,1.0,1.0,1.0,1.0
Oklahoma,OK,2016,0.65,0.52,0.72,0.6,0.89,0.42,0.039,0.018,0.96,0.93,0.95,0.92
Oregon,OR,2016,0.71,0.63,0.78,0.73,0.71,0.37,0.06,0.03,1.0,1.0,1.0,1.0
Pennsylvania,PA,2016,0.62,0.56,0.74,0.68,0.21,0.1,0.009,0.003,1.0,0.99,1.0,1.0
Rhode Island,RI,2016,0.55,0.46,0.6,0.52,0.49,0.21,0.0,0.0,1.0,1.0,0.0,0.0
South Carolina,SC,2016,0.64,0.55,0.72,0.64,0.44,0.18,0.025,0.006,0.98,0.98,0.9,0.9
South Dakota,SD,2016,0.67,0.61,0.87,0.82,0.32,0.17,0.084,0.059,1.0,1.0,1.0,1.0
