Time,F.Y.R. OF MACEDONIA,Score,FINLAND
09:44,12 P. Antic 3PtsFG (Jump shot) MADE Assist: 7 B. McCalebb,23 - 21,
09:32,,23 - 23,13 H. Möttölä 2PtsFG (Lay-up) MADE
09:32,"15 P. Samardziski Personal Foul (Team 1st, Player 1st)",,13 H. Möttölä Foul drawn
09:32,,23 - 24,13 H. Möttölä Free throw MADE(1/1)
09:22,6 D. Sokolov 3PtsFG (Jump shot) MADE Assist: 7 B. McCalebb,26 - 24,
09:14,,26 - 27,4 M. Koivisto 3PtsFG (Jump shot) MADE Assist: 15 T. Rannikko
08:49,6 D. Sokolov 3PtsFG (Jump shot) MADE Assist: 5 V. Ilievski,29 - 27,
08:40,,,9 S. Salin 3PtsFG (Jump shot) missed Off. Rebound: 13 H. Möttölä
08:25,,,13 H. Möttölä 2PtsFG (Jump shot) missed Off. Rebound: 12 V. Mäkäläinen
08:11,12 P. Antic Def. Rebound,,13 H. Möttölä 3PtsFG (Jump shot) missed
07:58,7 B. McCalebb 2PtsFG (Jump shot) MADE,31 - 27,
07:45,"7 B. McCalebb Personal Foul (Team 2nd, Player 1st)",,15 T. Rannikko Foul drawn
07:45,,,"Substitution: 13 H. Möttölä out, 11 P. Koponen in"
07:45,,,"Substitution: 9 S. Salin out, 8 G. Lee in"
07:45,,,"Substitution: 4 M. Koivisto out, 7 S. Huff in"
07:38,6 D. Sokolov Steal,,8 G. Lee Turnover (Bad Pass)
07:28,6 D. Sokolov 2PtsFG (Jump shot) missed Off. Rebound: 15 P. Samardziski,,
07:20,15 P. Samardziski 2PtsFG (Jump shot) MADE,33 - 27,
07:04,,,15 T. Rannikko 3PtsFG (Jump shot) missed Off. Rebound: 12 V. Mäkäläinen
07:00,,,12 V. Mäkäläinen 2PtsFG (Jump shot) missed Off. Rebound: 7 S. Huff
06:52,12 P. Antic Def. Rebound,,7 S. Huff 2PtsFG (Dunk) missed
06:52,,,"Substitution: 12 V. Mäkäläinen out, 5 A. Nikkilä in"
06:42,15 P. Samardziski 2PtsFG (Jump shot) MADE Assist: 7 B. McCalebb,35 - 27,
06:42,Timeout,,
06:26,"15 P. Samardziski Personal Foul (Team 3rd, Player 2nd)",,5 A. Nikkilä Foul drawn
06:14,12 P. Antic Def. Rebound,,8 G. Lee 2PtsFG (Lay-up) missed
06:02,7 B. McCalebb Foul drawn,,"5 A. Nikkilä Personal Foul (Team 1st, Player 1st)"
06:02,,,"Substitution: 5 A. Nikkilä out, 10 T. Kotti in"
06:02,7 B. McCalebb Free throw MADE(1/2),36 - 27,
06:02,7 B. McCalebb Free throw MADE(2/2),37 - 27,
05:50,,37 - 30,7 S. Huff 3PtsFG (Jump shot) MADE Assist: 15 T. Rannikko
05:29,5 V. Ilievski 2PtsFG (Jump shot) missed,,7 S. Huff Def. Rebound
05:25,,37 - 32,11 P. Koponen 2PtsFG (Lay-up) MADE Assist: 15 T. Rannikko
05:25,Timeout,,
05:04,12 P. Antic Turnover (Bad Pass),,
04:42,6 D. Sokolov Def. Rebound,,10 T. Kotti 2PtsFG (Jump shot) missed
04:25,12 P. Antic Foul drawn,,"10 T. Kotti Personal Foul (Team 2nd, Player 2nd)"
04:25,12 P. Antic Free throw missed(1/2),,
04:25,12 P. Antic Free throw MADE(2/2),38 - 32,
04:06,15 P. Samardziski Steal,,10 T. Kotti Turnover (Bad Pass)
03:49,12 P. Antic 2PtsFG (Jump shot) missed,,15 T. Rannikko Def. Rebound
03:39,12 P. Antic Def. Rebound,,15 T. Rannikko 2PtsFG (Lay-up) missed
03:21,15 P. Samardziski 2PtsFG (Jump shot) missed,,10 T. Kotti Def. Rebound
03:09,,38 - 35,11 P. Koponen 3PtsFG (Jump shot) MADE
02:49,6 D. Sokolov Turnover (Travelling),,
02:49,"Substitution: 15 P. Samardziski out, 11 T. Gechevski in",,
02:49,,,"Substitution: 15 T. Rannikko out, 9 S. Salin in"
02:49,,,"Substitution: 8 G. Lee out, 6 K. Muurinen in"
02:38,7 B. McCalebb Steal,,7 S. Huff Turnover (Bad Pass)
02:35,"7 B. McCalebb Offensive Foul (Team 4th, Player 2nd) 7 B. McCalebb Turnover (Offensive foul)",,6 K. Muurinen Foul drawn
02:35,"Substitution: 6 D. Sokolov out, 8 V. Stojanovski in",,
02:21,,38 - 37,10 T. Kotti 2PtsFG (Jump shot) MADE
01:56,12 P. Antic 2PtsFG (Jump shot) missed,,
01:54,Off. Rebound,,
01:38,12 P. Antic 2PtsFG (Jump shot) missed,,7 S. Huff Def. Rebound
01:37,"12 P. Antic Personal Foul (Team 5th, Player 1st)",,7 S. Huff Foul drawn
01:37,,,7 S. Huff Free throw missed(1/2)
01:37,,38 - 38,7 S. Huff Free throw MADE(2/2)
01:37,,,"Substitution: 10 T. Kotti out, 8 G. Lee in"
01:12,Turnover (24 secs),,
01:12,,,"Substitution: 6 K. Muurinen out, 13 H. Möttölä in"
00:53,,,13 H. Möttölä 3PtsFG (Jump shot) missed Off. Rebound: 11 P. Koponen
00:41,,,8 G. Lee 2PtsFG (Jump shot) missed Off. Rebound: 9 S. Salin
00:36,,38 - 40,9 S. Salin 2PtsFG (Jump shot) MADE
00:29,12 P. Antic Foul drawn,,"8 G. Lee Personal Foul (Team 3rd, Player 1st)"
00:21,5 V. Ilievski 2PtsFG (Jump shot) missed,,11 P. Koponen Def. Rebound
00:15,8 V. Stojanovski Def. Rebound,,11 P. Koponen 2PtsFG (Lay-up) missed
00:04,7 B. McCalebb 2PtsFG (Jump shot) missed,,8 G. Lee Def. Rebound
