OBJECTID,CYCLE,ID_305b,Water_Name,LOCATION_DESCRIPTION,WATER_SIZE,SIZE_UNIT,WATER_TYPE,HUC_8,HU_8_Name,CLASS_ID,CLASS_NAME,Aquatic_Life_Attainment_Code,Aquatic_Life_Attainment,Recreation_Attainment_Code,Recreation_Attainment,Fish_Consumptin_Attainment_Code,Fish_Consumption_Attainment,Drinking_Water_Attainment_Code,Drinking_Water_Attainment,Impaired,SHAPE_Length
1,2018,CT1000-00_01,Pawcatuck River (Stonington/North Stonington)-01,"Head of tide Route 1 crossing at CT/RI border, Stonington/Pawcatuck-Westerly RI, US along CT/RI border to point where river leaves CT in North Stonington  and enters RI.",5.38,Miles,RIVER,01090005,Pawcatuck-Wood,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,28385.5837869173
2,2018,CT1000-00_trib_01,Unnamed tributary Pawcatuck River 1000-00 (Stonington)-01,"Confluence Pawcatuck River (Little Narragansett Bay portion) just DS of Route 49 crossing, US to HW at unnamed pond outlet just US of Route 49 crossing, very close to Town border, Stonington. Statewide bacteria TMDL",0.18,Miles,RIVER,01090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,943.736164216322
3,2018,CT1000-01_01,Unnamed tributary to Pawcatuck River 1000-01 (North Stonington)-01,"Mouth at confluence Pawcatuck River, US to Lewis Pond OUTLET, just US of Boom Bridge Road crossing, North Stonington. Statewide bacteria TMDL",0.14,Miles,RIVER,01090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,746.177255095557
4,2018,CT1000-03_01,Unnamed tributary Pawcatuck River 1000-03 (Stonington)-01,"Confluence Pawcatuck River, just DS Route 2/78 crossing, US to HW at unnamed pond OUTLET just US of Elm Ridge Road crossing, Stonington.",0.88,Miles,RIVER,01090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,4628.30932770421
5,2018,CT1000-04_01,Unnamed tributary Pawcatuck River 1000-04 (Stonington)-01,"Confluence Pawcatuck River, US to HW, US Route 2/78 crossing and above Kelly Street and North Road access points, Stonington. Statewide bacteria TMDL",0.72,Miles,RIVER,01090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,3796.73480767956
6,2018,CT1000-05_01,Unnamed tributary Pawcatuck River 1000-05 (Stonington)-01,"Confluence Pawcatuck River, US to HW at unnamed pond OUTLET just US Arch Street crossing, Stonington. Statewide bacteria TMDL",0.55,Miles,RIVER,01090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,2908.70152619366
7,2018,CT1001-00_01,Wyassup Brook (North Stonington)-01,"Confluence Green Fall River (North side and parallel to Route 216 (Clarks Falls Road)), US to Wyassup Lake OUTLET (just US Wyassup Road crossing), North Stonington.",5.27,Miles,RIVER,01090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,27816.4036988189
8,2018,CT1001-02_01,Pendleton Hill Brook (North Stonington)-01,"Spalding Pond portion Wyassup brook, just DS Route 49 crossing, US to HW, adjacent Route 49 at Wyassup Road intersection, North Stonington.",5.13,Miles,RIVER,01090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,27093.6673421123
9,2018,CT1001-03_01,Hetchel Swamp Brook (North Stonington)-01,"Confluence Pendleton Hill Brook .4 miles west Route 49, US to HW 1.5 miles US Wyassup Road crossing (near Voluntown town line), North Stonington.",3.05,Miles,RIVER,01090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,16084.6229425493
10,2018,CT1002-00_01,Green Fall River (North Stonington)-01,"Rhode Island border (close to confluence Ashaway River, RI), US to confluence Wyassup Brook (just US Clarks Falls Road crossing), North Stonington.",1.47,Miles,RIVER,01090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,7779.26554972661
11,2018,CT1002-00_02,Green Fall River (North Stonington/Voluntown)-02,"Confluence Wyassup Brook (just US Clarks Falls Road crossing), North Stonington, US to Green Fall Pond (Reservoir) OUTLET dam, Voluntown.",5.18,Miles,RIVER,01090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,27356.2406020661
12,2018,CT1002-00_03,Green Fall River (Voluntown)-03,"Green Fall Pond (Reservoir) INLET on northeast side, US to HW Pachaug Wildlife Pond Dam (just south Route 138 (Rockville Road)), Voluntown.",1.85,Miles,RIVER,01090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,9765.51115125548
13,2018,CT1004-00_01,Shunock River (North Stonington)-01,"Confluence Pawcatuck River, US to Ripley Parks Pond OUTLET at Side Pond dam (just south of Babcock Road), North Stonington Center.",4.37,Miles,RIVER,01090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,23054.4017590713
14,2018,CT1004-00_02,Shunock River (North Stonington)-02,"Ripley Parks Pond INLET (just south of Babcock Road), North Stonington center, US to HW (above Gallup Pond, parallel south side of Route 2), North Stonington.",3.92,Miles,RIVER,01090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,20707.5576471141
