106.facility,SULLIAVN PLAYGROUND,SULLIVAN PLAYGROUND
19.center,d190,190
14.rightvalue,63,263
72.cd,oN,No
50.field_name,Gladsotne Field,Gladstone Field
48.dedicated_division,Nonrthern,Northern
73.field_name,McBride ParkField,McBride Park Field
33.neighborhood,Mount Waishington,Mount Washington
80.facility,SRING GARDEN FIELD,SPRING GARDEN FIELD
81.facility,MONONGAcHELA PLAYGROUND,MONONGAHELA PLAYGROUND
43.leftvalue,65,265
9.lights_renovated,Yes 0209,Yes 2009
30.rightvalue,2t41,241
70.control_link,Yse,Yes
8.leftvalue,80,180
23.facility,CHADWICK RECd CENTER,CHADWICK REC CENTER
63.leftvalue,302,320
68.dedicated_division,Schenlewy,Schenley
5.rightvalue,16p9,169
5.field_name,Arsenal BandBox,Arsenal Band Box
5.neighborhood,Lpower Lawrenceville,Lower Lawrenceville
66.neighborhood,Bteltzhoover,Beltzhoover
113.field_name,Warren K Branch qField,Warren K Branch Field
81.lights_renovated,Yes 2090,Yes 2009
111.control_link,es,Yes
72.neighborhood,Squirrel Hill Soth,Squirrel Hill South
95.cd,Yse,Yes
24.facility,CHARTIERS PLAYGtROUND,CHARTIERS PLAYGROUND
84.control_link,o,No
39.neighborhood,East Lbierty,East Liberty
106.dedicated_division,Northaest,Northeast
56.drag,eYs,Yes
22.neighborhood,Overbrooqk,Overbrook
81.leftvalue,020,200
66.center,15,175
32.neighborhood,Mount Washignton,Mount Washington
27.facility,COWLEY PLAYGORUND,COWLEY PLAYGROUND
7.cd,oN,No
18.permit,eYs,Yes
76.control_link,o,No
104.cd,eYs,Yes
117.permit,es,Yes
73.field_renovated,"2004 (R.Spow 7,216.40)","2004 (R.Sprow 7,216.40)"
67.leftvalue,109,190
100.field_renovated,"2008 ( Plavchak $139,07.80)","2008 ( Plavchak $13,907.80)"
32.control_link,hYes,Yes
31.control_link,oN,No
14.leftvalue,31c8,318
81.neighborhood,Sotuhside Slopes,Southside Slopes
7.rightvalue,00,300
25.lights_renovated,Yes r2009,Yes 2009
71.field_renovated,"2008( Plavchak $13,907.80)","2008 ( Plavchak $13,907.80)"
29.dedicated_division,Sjouthern,Southern
114.center,725,275
90.dedicated_division,Schenpley,Schenley
76.rightvalue,20,250
95.leftvalue,131,311
15.permit,Yse,Yes
84.cd,pNo,No
120.rightvalue,20x5,205
118.facility,WESTWOOD CHOOL,WESTWOOD SCHOOL
6.permit,Yse,Yes
3.rightvalue,25v0,250
38.facility,AST HILLS PARK,EAST HILLS PARK
115.field_name,Wet Penn Field #1,West Penn Field #1
59.rightvalue,227***,227
3.facility,ARLINGTON LPAYGROUND,ARLINGTON PLAYGROUND
73.drag,Yels,Yes
56.facility,HORACE MxANN FIELD,HORACE MANN FIELD
5.dedicated_division,ortheast,Northeast
13.facility,BRIGHTON HEGHTS PARK,BRIGHTON HEIGHTS PARK
62.field_renovated,"2004 (R. Sprow $9,84.50)","2004 (R. Sprow $9,854.50)"
109.facility,VANUCCI FtIELD,VANUCCI FIELD
81.dedicated_division,Southesrn,Southern
108.dedicated_division,Westen,Western
69.lights_renovated,Yse 2009,Yes 2009
111.drag,es,Yes
15.facility,BRIGHTON HEIGHTS PAK,BRIGHTON HEIGHTS PARK
112.facility,ABASH PLAYGROUND,WABASH PLAYGROUND
50.control_link,o,No
93.lights_renovated,Yes 2090,Yes 2009
76.field_name,McKnight Fild,McKnight Field
3.neighborhood,Souhside Slopes,Southside Slopes
87.drag,es,Yes
91.cd,Ys,Yes
105.cd,oN,No
19.field_renovated,"2004 (R.Spro 6,953.50)","2004 (R.Sprow 6,953.50)"
11.facility,FICK PARK,FRICK PARK
27.dedicated_division,Norhern,Northern
29.facility,RBOOKLINE MEMORIAL FIELD,BROOKLINE MEMORIAL FIELD
94.center,00,200
41.permit,Yces,Yes
39.dedicated_division,Northebast,Northeast
60.rightvalue,50,250
91.facility,PyAULSON PLAYGROUND,PAULSON PLAYGROUND
22.cd,Nvo,No
29.drag,es,Yes
108.control_link,es,Yes
114.field_renovated,"2005 (R. Sprow $10,249.03)","2005 (R. Sprow $10,249.30)"
37.control_link,Yebs,Yes
58.facility,JOE NATOLI PLAYGROuUND,JOE NATOLI PLAYGROUND
72.lights_renovated,qYes 2009,Yes 2009
8.rightvalue,19m0,190
51.center,s387,387
91.field_renovated,"2008 (m Plavchak $13,907.80)","2008 ( Plavchak $13,907.80)"
60.control_link,Yens,Yes
103.center,105,150
57.lights_renovated,Yes2009,Yes 2009
107.field_name,Sunnyside iFeld,Sunnyside Field
52.drag,mYes,Yes
46.field_renovated,"200 ( Plavchak $13,907.80)","2008 ( Plavchak $13,907.80)"
6.center,21c0,210
36.rightvalue,50,250
3.dedicated_division,Suthern,Southern
74.field_renovated,"008 ( Plavchak $13,907.80)","2008 ( Plavchak $13,907.80)"
18.dedicated_division,outhern,Southern
34.drag,Yse,Yes
7.drag,eYs,Yes
8.cd,Nko,No
28.cd,es,Yes
105.field_name,Stan Lederman Fiezld,Stan Lederman Field
68.center,234,324
78.leftvalue,346,364
56.rightvalue,e240,240
64.dedicated_division,Shcenley,Schenley
13.drag,Yejs,Yes
46.leftvalue,16i0,160
29.center,917,197
57.cd,vNo,No
83.field_renovated,"2008 (Plavchak $13,907.80)","2008 ( Plavchak $13,907.80)"
19.dedicated_division,Schenlye,Schenley
52.neighborhood,Elloitt,Elliott
48.cd,eYs,Yes
51.drag,Yoes,Yes
49.neighborhood,Troy iHll,Troy Hill
66.leftvalue,159,195
32.drag,Yhes,Yes
5.facility,ARSENALP ARK,ARSENAL PARK
109.field_renovated,"2004 (R.Sprow $6,373.00)***","2004 (R.Sprow $6,373.00)"
14.control_link,hNo,No
61.rightvalue,2x05,205
49.field_name,Gardner Fiedl,Gardner Field
15.drag,Yse,Yes
88.facility,SCHqENLEY PARK,SCHENLEY PARK
43.center,u280,280
20.dedicated_division,Schenlye,Schenley
46.neighborhood,uGreenfield,Greenfield
