field_name,dedicated_division,facility,neighborhood,battting_cage(double precision),concession_stand(double precision),back_stop(double precision),infield(double precision),goal_post(double precision),lights(double precision),leftvalue,center,rightvalue,permit,drag,pashek_map_number(double precision),field_renovated,cd,lights_renovated,control_link
Ammon Field 1#,Schenley,AMMON PLAYGROUND,Bedford Dwellings,1.0,1.0,1.0,1.0,2.0,1.0,325,281,294,Yes,Yes,3.0,2008 (R Sprow ),Yes,Yes 2009,Yes
Ammon Field #2,Schenley,AMMON PLAYGROUND,Bedford Dwellings,1.0,1.0,1.0,1.0,2.0,1.0,279,200,227,Yes,Yes,4.0,2008 (R Sprow ),Yces,Yes 2009,Yes
Arlington Field #1,Suthern,ARLINGTON LPAYGROUND,Souhside Slopes,1.0,1.0,1.0,1.0,2.0,1.0,50,250,25v0,Yes,Yes,5.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
Armstrong Field,Southern,ARMSTRONG PLAYGROUND,Southside Flates,1.0,1.0,1.0,1.0,2.0,1.0,213,174,120,Yes,Yes,7.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Arsenal BandBox,ortheast,ARSENALP ARK,Lpower Lawrenceville,1.0,1.0,1.0,1.0,2.0,1.0,194,k190,16p9,Yes,Yes,8.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Arsenal Middle,Northeast,ARSENAL PARK,Lower Lawrenceville,1.0,1.0,1.0,1.0,2.0,1.0,266,21c0,205,Yse,Yes,9.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Banksville Field,Western,BANKSVILLE PARK,Bankville,1.0,1.0,1.0,1.0,2.0,1.0,300,300,00,Yes,eYs,10.0,2009 (Plavchak),oN,Yes 2009,No
Banksville School Field,Westren,BANKSVILLE SCHOOL,Bankville,1.0,1.0,1.0,1.0,2.0,1.0,80,200,19m0,Yes,Yes,11.0,"2005 (R. Sprow $6,693.70), 2008 ( Plavchak $3,416.28)",Nko,Yes 2009,Yes
Bigbee Field,Southern,BIGBEE FIELD,Alelntown,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,o,12.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 0209,No
Bill Stolz Field #2,Southern,ARLINGTON PLAYGROUND,Southside Slopes,1.0,1.0,1.0,1.0,2.0,1.0,180,190,c180,Yes,Yes,6.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
