uniqueid(long),indicatorid(long),namevalue,measure,measureinfo,geotypename,geojoinid(long),geoplacename,timeperiod,startdate,datavalue(double precision)
216498.0,386.0,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2013,06/01/2013,34.64
216499.0,386.0,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2014,06/01/2014,33.22
219969.0,386.0,Ozone (O3),Mean,ppb,Borough,1,Bronx,Summer 2013,06/01/2013,31.25
219970.0,386.0,Ozone (O3),Mean,ppb,Borough,1,Bronx,Summer 2014,06/01/2014,31.15
164876.0,383.0,Sulfur Dioxide (SO2),Mean,pb,CD,211,Morris Park and Bronxdale (CD11),Summer 2014,12/01/2008,5.89
164877.0,383.0,Sulfur Dioxide (SO2),Mean,ppb,CD,212,Bronx,Summer 2014,12/01/2008,5.75
219971.0,386.0,Ozone (O3),Mean,ppb,Borough,2,Coney Island (CD13),Summer 2013,06/01/2009,26.27
219972.0,386.0,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2010,06/01/2010,33.83
164878.0,383.0,Sulfur Dioxide (SO2),Mean,ppb,CD,301,Morris Park and Bronxdale (CD11),Winter 2008-09,12/01/2008,4.33
164879.0,383.0,Sulfur Dioxide (SO2),Mean,ppb,CD,302,Fort Greene and Brooklyn Heights (CD2),Winter 2008-09,12/01/2008,4.41
164880.0,383.0,Sulfur Dioxide (SO2),Mean,ppb,CD,303,Bronx,Winter 2008-09,12/01/2008,4.73
164881.0,383.0,Sulfur Dioxide (SO2),Mean,ppb,CD,304,Bushwick (CD4),Winter 2008-09,12/01/2008,4.71
219972.0,383.0,Sulfur Dioxide (SO2),Mean,ppb,CD,305,East New York and Starrett City (CD5),Winter 2008-09,12/01/2008,3.78
164883.0,383.0,Sulfur Dioxide (SO2),Mean,ppb,CD,306,East New York and Starrett City (CD5),Winter 2008-09,12/01/2008,3.94
164884.0,383.0,Sulfur Dioxide (SO2),Mean,ppb,CD,307,Sunset Park (CD7),Winter 2008-09,12/01/2008,3.78
164885.0,383.0,Sulfur Dioxide (SO2),Mean,ppb,CD,308,Crown Heights and Prospect Heights (CD8),Summer 2013,12/01/2008,4.79
219973.0,386.0,Ozone (O3),Mean,pbp,Borough,2,Brooklyn,Summer 2011,06/01/2011,33.19
219974.0,386.0,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2012,06/01/2012,33.89
219975.0,386.0,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2013,06/01/2013,31.13
219976.0,386.0,Ozone (O3),Mean,ppb,Borough,2,Coney Island (CD13),Summer 2014,06/01/2014,31.29
164930.0,383.0,Sulfur Dioxide (SO2),Mean,ppb,CD,206,Belmont and East Tremont (CD6),Winter 2008-09,12/01/2009,5.3
164931.0,383.0,Sulfur Dioxide (SO2),Mean,ppb,CD,207,Kingsbridge Heights and Bedford (CD7),Winter 2008-09,12/01/2009,7.49
216499.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"epr 100,000 adults",UHF42,101,Kingsbridge - Riverdale,2005-2007,01/01/2005,117.7
219975.0,386.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,102,Northeast Bronx,Winter 2008-09,01/01/2005,77.3
164877.0,386.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,103,Fordham - Bronx Pk,Winter 2008-09,01/01/2005,67.3
164883.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,104,East New York and Starrett City (CD5),Summer 2010,01/01/2005,73.6
130359.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,105,Crotona -Tremont,Winter 2008-09,01/01/2005,65.8
219975.0,639.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,106,East New York and Starrett City (CD5),Winter 2008-09,01/01/2005,84.8
130361.0,639.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,107,Hunts Point - Mott Haven,2005-2007,01/01/2005,71.0
219971.0,386.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults***",UHF42,201,Brooklyn,2005-2007,01/01/2005***,64.0
219973.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,202,Crotona -Tremont,2005-2007,01/01/200f5,58.9
130364.0,386.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,203,Coney Island (CD13),Winter 2008-09,01/01/2005,80.0
130365.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 tadults",UHF42,204,Brooklyn,Summer 2010,01/01/2005,64.1
164931.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,205,Morris Park and Bronxdale (CD11),Summer 2013,01/01/2005,49.2
219973.0,386.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,206,Borough Park,2005-2007,01/01/2005,68.2
219975.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,207,Bronx,Summer 2013,01/01/2005,54.9
219970.0,386.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,208,Canarsie - Flatlands,Summer 2014,01/01/2005,61.1
216499.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 dults",UHF42,209,Morris Park and Bronxdale (CD11),Winter 2008-09,01/01/2005,73.4
130371.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,210,Hunts Point - Mott Haven,2005-2007,01/01/2005,83.3
130372.0,386.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",HUF42,211,Northeast Bronx,2005-2007,01/01/2005***,72.2
130373.0,386.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,301,Washington Heights,Winter 2008-09,01/01/2005,60.5
130374.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,302,Central Harlem - Morningside Heights,Summer 2010,01/01/2005,105.2
219969.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF24,303,Kingsbridge Heights and Bedford (CD7),2005-2007,01/01/2005,100.5
164884.0,386.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs sand Older,"per 100,000 adults",UHF42,304,Kingsbridge - Riverdale,2005-2007,0/01/2005,59.5
164885.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,305,Kingsbridge Heights and Bedford (CD7),Summer 2013,01/01/2005,55.3
219972.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,306,Chelsea - Clinton,2005-2007,10/01/2005,57.5
219971.0,386.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,307,Fordham - Bronx Pk,2005-2007,0101/2005,52.7
164881.0,386.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,308,Fort Greene and Brooklyn Heights (CD2),2005-2007,01/01/2005,45.4
219975.0,386.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,309,Brooklyn,Winter 2008-09,01/01/2005,66.9
216499.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,310,Lower Manhattan,Summer 2013,01/01/2005,59.5
164883.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,401,Brooklyn,2005-2007,01/01/205,55.3
219970.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,402,Fort Greene and Brooklyn Heights (CD2),2005-2007,010/1/2005,44.6
130374.0,386.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,403,Crotona -Tremont,2005-2007,01/g01/2005,54.5
219972.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,404,Bayside - Little Neck,Winter 2008-09,01/01/2005,48.9
130387.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,405,Sunset Park (CD7),Winter 2008-09,01/01/2005,72.0
