Time,Title,Artist,Album,Unnamed: 4,Rating
12:01a,Breath Of Heaven,Steve Hall & Friends,An Angel's Touch,Buy,
11:57p,O Little Town Of Bethlehem,Aaron Davis,Music To Trim The Tr...,Buy,
11:53p,We Three Kings,John Mandeville,Currier & Ives Chris...,Buy,
11:49p,O Tannenbaum,Jack Jezzro,Bossa Nova Christmas,Buy,
11:46p,What Child Is This,Myrrh,All Is Well,Buy,
11:41p,Away In A Manger,David Baroni,Christmas,Buy,
11:36p,God Rest Ye Merry Gentlemen,Dennis Patton,Midnight Clear,Buy,
11:32p,It Wouldn't Be Christmas Without You,Jaci Velasquez,Christmas,Buy,
11:28p,Do You Hear What I Hear,Burchfield Brothers,All Is Well - Christ...,Buy,
11:24p,O Come O Come Emmanuel,Amy Hayashi-jones Ensemble,Classical Christmas,,
11:19p,Have Yourself A Merry Little Christmas,Kenon Renfrow & The Majesty Orchestra,It's Christmas,Buy,
11:14p,Angels We Have Heard On High,Aaron Davis,Music To Trim The Tr...,Buy,
11:07p,Silent Night,Discovery Ensemble,Christmas Meditation...,Buy,
11:04p,The Christmas Song,Wayburn Dean,Peace Child,Buy,
11:00p,Bring A Torch Jeanette Isabella,John Darnall,All Is Calm,Buy,
10:57p,Hark The Herald Angels Sing,Juju Song,Jazz Meets Christmas,Buy,
10:53p,O Holy Night,Wayne Jones,Quiet Christmas Pian...,Buy,
10:49p,Christmas For Two,Sixpence None The Richer,The Dawn Of Grace,Buy,
10:48p,Lo How A Rose Eer Blooming,Amy Hayashi-jones Ensemble,Classical Christmas,,
10:44p,Joy To The World,John Tesh & Christmas Symphony Orchestra,A Family Christmas,Buy,
10:41p,Silver Bells,Rose Wynde,A Merry Little Chris...,Buy,
10:36p,What Child Is This,Attila Fias,Christmas Spa,Buy,
10:32p,I Am Joseph (God Is With Us),Steven Curtis Chapman,Joy,Buy,
10:27p,It Came Upon A Midnight Clear Medley,Jay Rouse,Christmas Soliloquy,Buy,
10:24p,I'll Be Home For Christmas,Boots Randolph,A Christmas Holiday,Buy,
10:21p,Coventry Carol,Steve Wingfield Ensemble,Cozy Christmas,Buy,
