score_recent(long),grade_recent,date_recent,score_two(long),grade_two,date_two,score_three(long),grade_three,date_three,permitnumber(long),facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,premisename,premiseaddress,premisecity,premisestate,premisezip(long),openingdate,object_id(long)
100,A,2023/08/23 00:00:00,100,A,2023/01/11 00:00:00,99,A,2022/08/16 00:00:00,32712.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,DOSS HIGH SCHOOL,7601 ST ANDREWS CHURCH RD,LOUISVILLE,KY,40208,1988/07/29 04:00:00+00,1.0
100,A,2023/09/06 00:00:00,100,A,2023/02/27 00:00:00,100,A,2022/09/02 00:00:00,31372.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WAGGENER HIGH SCHOOL,425 W KENWOOD DR,LOUISVILLE,KY,40258,1995/10/26 04:00:00+00,2.0
100,A,2023/09/07 00:00:00,100,A,2023/03/07 00:00:00,100,A,2022/09/12 00:00:00,31372.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,DOSS HIGH SCHOOL,2701 CRUMS LN,LOUISVILLE,KY,40216,1989/03/08 05:00:00+00,9.0
98,A,2023/09/06 00:00:00,99,A,2023/03/10 00:00:00,100,A,2022/08/29 00:00:00,30248.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,DOSS HIGH SCHOOL,1001 FAIRDALE RD,LOUISVILLE,KY,40218,1988/11/14 05:00:00+00,4.0
100,A,2023/06/28 00:00:00,100,A,2023/01/11 00:00:00,99,A,2022/08/22 00:00:00,32718.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,DOSS HIGH SCHOOL,8711 LAGRANGE RD,LOUISVILLE,KY,40242,1989/10/27 04:00:00+00,9.0
100,A,2023/08/21 00:00:00,100,A,2023/01/17 00:00:00,100,A,2022/08/29 00:00:00,31372.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,DOSS HIGH SCHOOL,9620 WESTPORT RD,LOUISVILLE,KY,40241,1989/01/24 05:00:00+00,9.0
94,A,2023/08/30 00:00:00,100,A,2023/02/09 00:00:00,98,A,2022/09/07 00:00:00,32718.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,DOSS HIGH SCHOOL,425 W KENWOOD DR,LOUISVILLE,KY,40214,2009/10/20 04:00:00+00,1.0
99,A,2023/08/21 00:00:00,100,A,2023/01/11 00:00:00,100,A,2022/08/12 00:00:00,30248.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,DOSS HIGH SCHOOL,1004 S 1ST ST,LOUISVILLE,KY,40203,1988/07/14 04:00:00+00,9.0
100,A,2023/03/30 00:00:00,99,A,2022/10/05 00:00:00,100,A,2022/03/21 00:00:00,32712.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WAGGENER HIGH SCHOOL,861 S 4TH ST,LOUISVILLE,KY,40228,1993/12/14 05:00:00+00,9.0
100,A,2023/05/15 00:00:00,98,A,2022/09/28 00:00:00,96,,2022/01/20 00:00:00,31372.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,TRINITY HIGH SCHOOL,330 S HUBBARDS LN,LOUISVILLE,KY,40207,2009/10/20 04:00:00+00,9.0
