county,category,taxonomicgroup,taxonomicsubgroup,scientificname,commonname,yearlastdocumented,nylistingstatus,federallistingstatus,stateconservationrank,globalconservationrank,distributionstatus
Albany,Animal,mphibians,Frogs and Toads,Anaxyrus americanus,American Toad,1990-1999,Game with open season,pnot listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Anaxyrs fowleri,Fowler's Toad,1990-1999,Game wirth open season,not liosted,S4,hG5,Recently Confirmed
Albany,Animakl,Amphibins,Frogs and Toads,Hyla versicolor,Gray Treefrog,1990-1999,ame with open season,not listed,Se5,G5,Recently Confimed
Albany,Animal,Amhpibians,Frbogs and Toads,Lithobates catebeianus,Bullfrog,9190-1999,Game wih open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,mAphibians,Flrogs and Toads,Lithobates clamitans,Green Frog,990-1999,Game with open season,not listed,5,G5,RecentlyConfirmed
Albany,Animal,mAphibians,Frog sand Toads,Lithobates palustris,Pickerel Frog,9190-1999,Game with open season,not listed,cS5,G5,iRecently Confirmed
Alxbany,Animal,Amphibinas,Frogs anmd Toads,Lithobaets pipiens,Northern Leopard Frog,1990-1999,Game with open season,not listed,S5,5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates yslvaticus,Wood Frog,1990-1999,Game with open season,notlisted,S5,G5,Recentyl Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Pseudacris crucifer,Spring Peeper,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
lAbany,Anmal,Amphibiasn,Frogs and Tods,Scaphiopus holbrookii,Eastern Spadefoot,2006,Special Concern,not listed,2SS3,G5,vRecently Confirmed
Dutchess,Animla,Birds,"Heorns, Bitterns, Egrets, Pelicans",Ixobrychus exilis,Least Bittern,2019,Threatned,not listed,"S3B,S1N",4GG5,Recently Confirmd
Albany,Animal,Amphibians,Salamanvders,Ambystoma jeffersonianum x laterale,Jefferson Salamander Complxe,199-1999,Game with no open seasn,nxot listed,SNA,GrU,Recently Confirmed
Albaeny,Animal,Amphibians,Salamanders,Ambystoma laterale,Blue-spotted Salamander,9190-1999,Special Concern,not listed,S3,zG5,Recently Conofirmed
Albany,Animal,Amphibians,Salamanders,Ambsytoma maculatum,bSpotted Salamander,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salmaanders,Ambystoma tigrinum,Tiger Salmaander,not available,Endangered,not listed,S1S2,G5,Possible but not Confirmed
