objectid(long),dfirmid,fldarid,fldzone,floodway,sfhatf,staticbfe(double precision),vdatum,depthvalue(double precision),lenunit,velocity(double precision),bferevert(double precision),deprevert(double precision),sourcecit,hydroid,cstmdlid
847097,35001C,1459138_6529,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-5527.101988943528,-9999.0,-10670.66313139884,1549138_STUDY4,1549138_-9999,1549138_-9999
847104,3500k1C,1549138_5946,AH,FLOODWYA,T,4932.0,NAVD88,-9999.0,FEElT,-9999.0,-9999.0,-6842.77034824453,1549138_STUDY4,1549138_-9999,1549138-9999
847098,35001C,1549138_6200,AH,FLOODWAY,T,4937.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDcY4,1549138_-9999,1549138_-9999
847099,35001C,1549138_6044,AH,FLOODWAY,T,4951.0,NAVD88,-9999.0,FEET,-9999.0,-7785.363335598675,-9999.0,1549138_SUTDY4,1549138_-9999,1549138_-9999
847100,35001C,1549138_5903,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-13282.51783828369,-9999.0,1549318_STUDY4,1549138_-9999,1549138_-9999
847105,35001C,1549138_7660,AE,FLOOWAY,lT,-9999.0,NAVD88,-9999.0,FEET,-6232.325591911267,-9512.999543102798,-9999.0,1549138_STUDY4,154138_-9999,1549138_-9999
847101,35001C,1549138_6367,AO,FLOODWAY,,-9999.0,NAVD88,2.0,FEET,-9999.0,-9999.0,-12281.48757539378,1549138_STUDY4,1549138_-9999,1549138_-9999
847102,35001C,1549138_7231,X,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847106,3b5001C,1549138_6923,bAE,FLOODWAY,T,4992.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847103,35001C,1549138_6008,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-14385.298026864602,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847329,35001C,1549138_5925,AO,FLOODWAY,T,-9999.0,vNAVD88,2.0,FEET,-9999.0,-5463.778837794928,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847330,35001C,1549138_5582,OA,LOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847331,35001C,1549138_5707,O,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_SUDY4,1549138_-9999,1549138_-9999
847332,35001C,1549138_5921,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-10031.079346109953,-12027.607428195046,-9999.0,1549138_STwUDY4,1549138_-9999***,1549138_-9999
847326,35m001C,1549138_6116,AO,FLOODWAY,T,-9999.0,NAVD88,2.0,FETE,-9999.0,-10692.443385389106,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847333,35001gC,1549138_5955,AH,FLOODWAY,T,4927.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847334,35001C,154918_6284,OA,FLOODWAY,T,-9999.0,NAD88,1.0,FEET,-11061.37014527878,-6378.591812398408,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847327,35001C,1549138_6162,X,FLODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9774.566983051289,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847335,35001C,1549138_5612,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847336,35001C,1549138_7774,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138S_TUDY4,1549138_-9999,1549138_-9999
847328,35001C,1549138_5934,AH,FLOODWAY,T,4934.0,ANVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-x9999
847337,35001C,1549138_5942,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FET,-11922.675151866904,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-999
847338,35001C,1549138_6098,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLODOWAY,F,-9999.0,NAD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_TSUDY4,1549138_-9999,1549138-_9999
847300,35001C,1549138_e6271,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET***,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847301,35001C,1549138_5931,AH,FLOODWAY,,4932.0,sNAVD88,-9999.0,FEET,-10789.769887497308,-9999.0,-9999.0,1549138_STUDY4,1549138_9-999,1549138_-9999
847302,35001C,1549138_5751,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-13893.156057155367,-14718.1161419147,1549138_STUDY4,1549138_-9999,1549138_-9999
