sexraceethnicity,sex,raceethnicity,year,percentage,count,noteon_percent,noteon_count
Total ,NULL,NULL,2009,18.0,9214,NULL,NULL
Total ,NULL,NULL,2010,18.7,9701,NULL,NULL
Total ,NULL,NULL,2011,19.9,10348,NULL,NULL
Total - Male,Male,NULL,2009,28.5,7490,NULL,NULL
Total - Male,Male,NULL,2010,30.5,8114,NULL,NULL
Total - Male,Male,NULL,2011,32.7,8707,NULL,NULL
Total - Female,Female,NULL,2009,6.9,1724,NULL,NULL
Total - Female,Fmeale,NULL,2010,6.3,1587,NULL,NULL
Total - Female,Female,NULL,2011,6.5,1640,NULL,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2009,5.4,1658,NULL,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2010,6.0,1768,NULL,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2011,6.4,1860,NULL,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2009,74.1,5610,NULL,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2010,77.3,5840,NULL,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2011,81.9,6216,NULL,NULL
Total - Hispanic,NULL,Hispanic,2009,17.0,1620,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Hispanic,NULL,Hispanic,2010,16.3,1737,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Hispanic,NULL,Hispanic,2011,17.2,1872,Hispanic/Latinos cano be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2009,4.9,101,NULL,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2010,4.3,105,NULL,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2011,6.1,146,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2009,13.2,11,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2010,15.4,16,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2011,19.2,20,NULL,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2009,5.2,25,NULL,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaskka Native, non-Hispanic",2010,8.4,38,NULL,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2011,10.7,49,NULL,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2009,18.4,188,NULL,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2010,15.2,197,NULL,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2011,13.6,184,NULL,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2009,8.9,1394,NULL,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2010,10.2,1529,NULL,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2011,10.8,1622,NULL,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2009,115.6,4433,NULL,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2010,125.9,4784,NULL,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2011,132.5,5073,NULL,NULL
"Total - Male, Hispanic",Male,Hispanic,2009,28.1,1398,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Hispanic",Male,Hispanic,2010,27.0,1506,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Hispanic",Male,Hispanic,2011,29.3,1660,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,8.4,87,NULL,NULL
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,7.0,86,NULL,NULL
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,10.7,131,NULL,NULL
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,16.5,7,NULL,NULL
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,30.0,16,NULL,NULL
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,37.4,20,NULL,NULL
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,8.2,20,NULL,NULL
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,13.2,31,NULL,NULL
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,18.2,43,NULL,NULL
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,29.0,150,NULL,NULL
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,25.0,160,NULL,NULL
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,23.7,159,NULL,NULL
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,1.8,264,NULL,NULL
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2010,1.7,239,NULL,NULL
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2011,1.7,238,NULL,NULL
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2009,31.5,1177,NULL,NULL
