station,stationname,elevation,latitude,longitude,datevalue,dlytminnormal,dlytmaxnormal,mtdprcpnormal
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100101.0,-33,145,2
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100102.0,-35,144,4
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100103.0,-36,143,5
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100104.0,-38,142,7
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100105.0,-39,141,9
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100106.0,-41,140,10
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100107.0,-42,140,12
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100108.0,-43,139,13
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100109.0,-44,139,15
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100110.0,-45,139,17
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100111.0,-45,138,19
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100112.0,-46,139,21
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100113.0,-47,139,23
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100114.0,-47,139,25
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100115.0,-47,140,27
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100116.0,-47,140,30
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100117.0,-48,141,32
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100118.0,-48,142,34
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100119.0,-47,143,35
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100120.0,-47,144,37
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100121.0,-47,145,39
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100122.0,-46,146,41
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100123.0,-46,148,43
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100124.0,-45,149,44
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100125.0,-44,151,46
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100126.0,-43,152,47
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100127.0,-42,154,49
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100128.0,-41,156,50
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100129.0,-40,158,52
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100130.0,-38,160,54
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100131.0,-37,162,55
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100201.0,-35,164,1
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100202.0,-33,166,3
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100203.0,-31,169,4
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100204.0,-29,171,6
