33.superintendentemail,skinsey@beaver.k12.ok.su,skinsey@beaver.k12.ok.us
61.superintendent,Crala Ellisor,Carla Ellisor
282.superintendent,Sheldon Buxtno,Sheldon Buxton
289.address,95b266 S. 4610 Rd,95266 S. 4610 Rd
24.code,62-I001,03-I015
152.phone,(580) 492-363,(580) 492-3663
252.address,4600 West 151St Szt,4600 West 151St St
303.superintendent,Terray James,Terry James
230.statevalue,K,OK
84.websiteurl,www.cavespringsk12.ok.us,www.cavesprings.k12.ok.us
493.city,Wyandotet,Wyandotte
23.phone,(580) 310-7200,(405) 947-6272
520.districtname,WATS                         ,WATTS                         
347.code,55E016,55-E016
97.address,810 Waldon Dvr,810 Waldon Dr
16.code,58-I026,57-C052
351.phone,(405) 600o-7038,(405) 600-7038
255.phone,d(580) 564-9033,(580) 564-9033
331.phone,(045) 224-4092,(405) 224-4092
68.phone,(405) 784-2331,(580) 310-6751
33.code,64-I013,04-I022
228.code,40r-I067,40-I067
231.districtname,HYDR-EAKLY                   ,HYDRO-EAKLY                   
72.phone,(580) 283-3775,(405) 893-2222
498.city,Tubttle,Tuttle
48.code,58-I026,18-I020
166.websiteurl,www.dbcschool.qorg,www.dbcschool.org
20.statevalue,OtK,OK
415.fax,(918 )696-3654,(918) 696-3654
113.websiteurl,www.copan.k12.o.us,www.copan.k12.ok.us
447.countyname,NOWATA      ***,NOWATA      
423.superintendentemail,lloyd.snow@sanditse.org,lloyd.snow@sandites.org
551.phone,(918) 837-2434,(918) 387-2434
410.code,44-I001***,44-I001
104.countyname,PAWNEE  a    ,PAWNEE      
436.superintendent,Emmtet Thompson,Emmett Thompson
384.websiteurl,piconeerk8.k12.ok.us,pioneerk8.k12.ok.us
327.districtname,NAVAJO                        ***,NAVAJO                        
80.superintendent,Mark Btt,Mark Batt
297.superintendentemail,bbraden@ccord.k12.ok.us,bbraden@mccord.k12.ok.us
522.superintendent,Roxie Tevrry,Roxie Terry
205.code,6-I011,61-I011
249.websiteurl,keyes.k12.ok.uks,keyes.k12.ok.us
15.code,57-C035,08-I020
208.boardpresident,Virgil Gibscon,Virgil Gibson
517.districtname,WARNER                       ,WARNER                        
384.fax,(40)5 224-2755,(405) 224-2755
90.code,07-I003,49-I019
407.districtname,RElD OAK                       ,RED OAK                       
199.statevalue,OfK,OK
93.code,20-I005,11-T001
155.address,276803 E. 160 Road,276803 E. 1760 Road
145.address,1706 W.S pruce,1706 W. Spruce
460.countyname,TEXAS y      ,TEXAS       
32.phone,(918) 875-3351,(918) 623-0156
101.statevalue,KO,OK
78.code,62-I019,06-I105
