67.global_id,1d888612-8c67-40b4r-a1d1-534ede06b2bd,1d888612-8c67-40b4-a1d1-534ede06b2bd
29.boroughareadescription,mCity Of Groton,City Of Groton
25.global_id,1b053933-5d36-4abb-be7a-d51b22fcaddb,1b053933-5d36-4abb-be7a-d5b122fcaddb
248.global_id,b360d57e-7f53-4174-be68-dbd404ed87f,b360d57e-7f53-4174-be68-dbd4054ed87f
119.boroughareadescription,Stoningtjon,Stonington
208.boroughareadescription,City O Groton,City Of Groton
103.global_id,b32f0409-93bf-49f7-8eae-f6fe370126d,b32f0409-93bf-49f7-8eae-f16fe370126d
139.boroughareadescription,City Of Gorton,City Of Groton
201.boroughareadescription,Ctiy Of Groton,City Of Groton
65.global_id,2fb30e3-d0a6c-485a-94e0-5a8f5fa94022,2fb30e3d-0a6c-485a-94e0-5a8f5fa94022
60.boroughareadescription,Woodmotn,Woodmont
6.global_id,d7c3061e-b8c9-44c6-ad64-dbebd33f9a2c9,d7c3061e-b8c9-44c6-ad64-bebd33f9a2c9
39.boroughareadescription,Jeett City,Jewett City
76.global_id,4911363-4b53-40e0-808d-0a5706233d88,49112363-4b53-40e0-808d-0a5706233d88
263.boroughareadescription,Fencwick,Fenwick
27.global_id,0ef6edc-5841-47fa-89fa-22eb95282b1c,0ef6edc4-5841-47fa-89fa-22eb95282b1c
133.boroughareadescription,City Of Grotn,City Of Groton
245.global_id,62607be3-866-f4c94-8c5b-d8329712e3d2,62607be3-866f-4c94-8c5b-d8329712e3d2
91.boroughareadescription,Jewett Ciyt,Jewett City
217.boroughareadescription,oWodmont,Woodmont
131.global_id,d49c1441-f44a-4d41-862-3b85e4a482dd,d49c1441-f44a-4d41-8652-3b85e4a482dd
83.global_id,7fcea720-1fd-4239-a329-9db8eb8290da,7fcea720-1fd2-4239-a329-9db8eb8290da
236.boroughareadescription,ity Of Groton,City Of Groton
30.global_id,810d11de-4b97-40ec-9d19-1fefdfba9915,810d1d1e-4b97-40ec-9d19-1fefdfba9915
53.boroughareadescription,City Of Groon,City Of Groton
33.global_id,ee0b41e4-2bd7-4343-8379-3870954d711f,e0eb41e4-2bd7-4343-8379-3870954d711f
76.boroughareadescription,Cty Of Groton,City Of Groton
137.boroughareadescription,Cty Of Groton,City Of Groton
150.global_id,5427010c6469-4c04-8c5e-aaf77a33d270,5427010c-6469-4c04-8c5e-aaf77a33d270
149.boroughareadescription,tonington,Stonington
227.global_id,2d3b6cbe-96f5-46a6-8831-f6f6adfc644,2d3b6cbe-96f5-46a6-8831-f6f6adfcf644
73.boroughareadescription,City Of rGoton,City Of Groton
90.global_id,52040419-ecp80-425d-9e86-d1a906544594,52040419-ec80-425d-9e86-d1a906544594
92.global_id,a6dede37-412f-4b9e-9671-c5063dfc16cf,a6dede37-412f-4b9e-9671-c5063dfc61cf
10.boroughareadescription,Woomont,Woodmont
156.global_id,c5e2d1d5-25b0-4459-84df-13cad20a26fd,c5e2d1d5-25b0-4459-84df-13cad02a26fd
95.boroughareadescription,City Of Grotno,City Of Groton
163.global_id,1cb251c5-55cd-474d-8a8f-2ca9ead84db99,1cb251c5-55cd-474d-8a8f-2ca9ea84db99
214.global_id,2d1faf0-25891-43eb-b19e-aeac33b94765,2d1faf02-5891-43eb-b19e-aeac33b94765
104.global_id,af24b4de-8f7b4a02-86fc-7229917974d7,af24b4de-8f7b-4a02-86fc-7229917974d7
263.global_id,1ad12b5a-b1301-4487-b7ae-853765bd93f5,1ad12b5a-1301-4487-b7ae-853765bd93f5
153.boroughareadescription,Stonnigton,Stonington
198.global_id,paaaf87e8-a430-4a00-9a80-2246862ca222,aaaf87e8-a430-4a00-9a80-2246862ca222
261.boroughareadescription,Woomdont,Woodmont
257.global_id,43b5ad694-d92-44ea-9098-f3614bb3afd1,43b5ad69-4d92-44ea-9098-f3614bb3afd1
68.global_id,a2542a89-d31a-4fdf-7b3a-6f2aa0c21043,a2542a89-d31a-4fdf-b73a-6f2aa0c21043
252.global_id,e349258a-a8f-434e-aea3-2f58f1cf9da3,e349258a-a88f-434e-aea3-2f58f1cf9da3
152.boroughareadescription,Stonngton,Stonington
113.global_id,d6aea64-e561-4892-9c7c-5ea537045d10,d68aea64-e561-4892-9c7c-5ea537045d10
269.boroughareadescription,gStonington,Stonington
