Citing Patent,Filing date,Publication date,Applicant,Title
US6766362 *,28 Jul 2000,20 Jul 2004,Seiko Epson Corporation,Providing a network-based personalized newspaper with personalized content and layout
US6769015 *,7 Aug 2000,27 Jul 2004,International Business Machines Corporation,Adopting browser environmental attributes of e-mail sender
US6931598 *,30 Mar 2001,16 Aug 2005,Intel Corporation,Dynamic web list display
US6957416 *,31 Jan 2001,18 Oct 2005,"Hewlett-Packard Development Company, L.P.",Document builder classes and methods
US6964025 *,20 Mar 2001,8 Nov 2005,Microsoft Corporation,Auto thumbnail gallery
US6973483 *,31 Jan 2001,6 Dec 2005,Microsoft Corporation,System and method for using dynamic web components to automatically customize web pages
US7051015 *,10 Jan 2000,23 May 2006,"Wind River Systems, Inc.",System and method for implementing a flexible data-driven target object model
US7111048 *,10 Nov 2005,19 Sep 2006,Microsoft Corporation,Using dynamic Web Components to automatically customize web pages
US7120387,24 Jan 2005,10 Oct 2006,"Kintera, Inc.",Mission certification quiz for fundraising campaign
US7120634,8 Jun 2001,10 Oct 2006,Vista Print Technologies Limited,Computerized prepress
US7124357 *,31 May 2000,17 Oct 2006,Orr Joseph K,Screen maker
US7127670 *,21 Dec 2001,24 Oct 2006,Mary M. Bendik,Document management systems and methods
US7134084 *,18 Jun 2001,7 Nov 2006,"Siebel Systems, Inc.",Configuration of displays for targeted user communities
US7155491,19 Sep 2001,26 Dec 2006,"Websidestory, Inc.",Indirect address rewriting
US7191188 *,30 Apr 2004,13 Mar 2007,Adaptik Corporation,Method and apparatus for creating an adaptive application
US7215757,21 Oct 2004,8 May 2007,"Sbc Services, Inc.",System and method to provide automated scripting for customer service representatives
US7231595 *,26 Sep 2000,12 Jun 2007,International Business Machines Corporation,Acquiring a form using a proxy applicant and delegation data
US7231599 *,16 Mar 2004,12 Jun 2007,Seiko Epson Corporation,"Template production system, layout system, template production program, layout program, layout template data structure, template production method, and layout method"
US7240076,1 Nov 2004,3 Jul 2007,"Bea Systems, Inc.",System and method for providing a lifecycle for information in a virtual content repository
US7240294 *,17 Aug 2001,3 Jul 2007,Desknet Inc.,Method of constructing a composite image
US7277924,7 May 2002,2 Oct 2007,Oracle International Corporation,Method and mechanism for a portal website architecture
US7281202 *,19 Jun 2003,9 Oct 2007,Microsoft Corporation,Framework for creating modular web applications
US7305614 *,17 Jul 2001,4 Dec 2007,International Business Machines Corporation,Interoperable retrieval and deposit using annotated schema to interface between industrial document specification languages
US7315983 *,25 Jun 2001,1 Jan 2008,"Ecomsystems, Inc.",System and method for computer-created advertisements
US7346921,30 Apr 2001,18 Mar 2008,Ge Capital Corporation,Definition of low-level security rules in terms of high-level security concepts
US7356559 *,22 Jun 2000,8 Apr 2008,"Affinity Internet, Inc.",Integrated platform for developing and maintaining a distributed multiapplication online presence
US7370279 *,28 Nov 2001,6 May 2008,Fujifilm Corporation,Homepage creation and update program
US7386490 *,10 Apr 2001,10 Jun 2008,"Treetop Ventures, Llc",Automated retail website creation
US7398473 *,2 May 2005,8 Jul 2008,Microsoft Corporation,In situ user interface template editing
US7426687,4 Jan 2002,16 Sep 2008,"Omniture, Inc.",Automatic linking of documents
US7447802,15 Feb 2006,4 Nov 2008,Oracle International Corporation,Method and system for maintaining a configuration state
US7454711,20 May 2005,18 Nov 2008,Microsoft Corporation,Auto thumbnail gallery
US7478320 *,28 Jun 2004,13 Jan 2009,International Business Machines Corporation,Structured document processor
US7487207,17 Feb 2006,3 Feb 2009,"Bea Systems, Inc.",System and method for determining the functionality of a software application based on nodes within the software application and transitions between the nodes
US7512877 *,26 Sep 2002,31 Mar 2009,Brother Kogyo Kabushiki Kaisha,Creating data and voice webpages with a fax machine that allows a user to select template names from a list of templates
US7519546,30 Apr 2001,14 Apr 2009,General Electric Company,Maintaining synchronization of information published to multiple subscribers
US7536686,31 May 2001,19 May 2009,Oracle International Corporation,Techniques for automatically installing and configuring database applications
US7548957,7 May 2002,16 Jun 2009,Oracle International Corporation,Method and mechanism for a portal website architecture
US7568157 *,24 Aug 2000,28 Jul 2009,Orr Joseph K,Screen book maker
US7594168 *,24 Jan 2003,22 Sep 2009,"Akira Technologies, Inc.",Browser based web site generation tool and run time engine
US7603619 *,29 Nov 2005,13 Oct 2009,Google Inc.,Formatting a user network site based on user preferences and format performance data
US7610268,23 Aug 2005,27 Oct 2009,Oracle International Corporation,Pre-defined hardware and software bundle ready for database applications
US7627649 *,9 Sep 2005,1 Dec 2009,"At&T Intellectual Property I, L.P.",Information submission tool for website development
US7661109,10 Nov 2004,9 Feb 2010,Microsoft Corporation,Transporting objects between a client and a server
US7665105 *,31 Oct 2007,16 Feb 2010,"Ecomsystems, Inc.",System and method for computer-created advertisements
US7672995 *,2 Dec 2004,2 Mar 2010,Microsoft Corporation,System and method for publishing collaboration items to a web site
US7673237 *,31 Oct 2007,2 Mar 2010,"Ecomsystems, Inc.",System and method for computer-created advertisements
US7698636 *,13 Jun 2002,13 Apr 2010,Microsoft Corporation,System and method for in-context editing of components
US7698719 *,31 Oct 2007,13 Apr 2010,"Ecomsystems, Inc.",System and method for computer-created advertisements
US7703084 *,11 Aug 2004,20 Apr 2010,Microsoft Corporation,System for converting event-driven code into serially executed code
US7707081 *,18 Jul 2007,27 Apr 2010,"Ecomsystems, Inc.",System and method for computer-created advertisements
US7734646 *,29 Jan 2003,8 Jun 2010,International Business Machines Corporation,Data model simplification through field fallout
US7739308 *,31 May 2001,15 Jun 2010,Oracle International Corporation,Techniques for automatically provisioning a database over a wide area network
US7739590 *,1 Mar 2002,15 Jun 2010,Accenture Llp,Automatic generation of personal homepages for a sales force
US7739592 *,10 Nov 2005,15 Jun 2010,International Business Machines Corporation,"Delivery, organization, and management of data capture elements"
US7747940 *,30 Jul 2004,29 Jun 2010,Barclays Capital Inc.,System and method for data collection and processing
US7774715,23 Dec 2005,10 Aug 2010,"Ecomsystems, Inc.",System and method for computer-created advertisements
US7778889 *,6 Oct 2005,17 Aug 2010,"The Softad Group, Llc",Modular e-commerce web site development system
US7810021 *,24 Feb 2006,5 Oct 2010,Paxson Dana W,Apparatus and method for creating literary macram�s
US7810027,1 May 2006,5 Oct 2010,Bendik Mary M,Document management systems and methods
US7814426 *,30 Jun 2004,12 Oct 2010,Sap Aktiengesellschaft,Reusable component in a collaboration workspace
US7823057 *,,26 Oct 2010,Adobe Systems Incorporated,Simplified document creation
US7827477 *,14 Oct 2005,2 Nov 2010,International Business Machines Corporation,Editing a web site using a plurality of editing environments
US7853528 *,5 Feb 2002,14 Dec 2010,Oracle International Corporation,E-commerce store management user interface for performing Web site updates
US7860807 *,10 Oct 2001,28 Dec 2010,Sony Corporation,"Web page creation supporting system, Web page creation supporting apparatus, Web page creation supporting method, computer program, and record medium"
US7873908 *,30 Sep 2003,18 Jan 2011,"Cisco Technology, Inc.",Method and apparatus for generating consistent user interfaces
US7877327 *,3 May 2005,25 Jan 2011,Trintuition Llc,Apparatus and method for creating and using documents in a distributed computing network
US7890873 *,31 Oct 2007,15 Feb 2011,"Ecomsystems, Inc.",System and method for computer-created advertisements
US7908280,30 Oct 2007,15 Mar 2011,Nokia Corporation,Query method involving more than one corpus of documents
US7917634,30 Sep 2008,29 Mar 2011,Oracle International Corporation,Method and system for maintaining a configuration state
US7937294 *,30 Aug 2006,3 May 2011,"Telegrow, Llc","System, and associated method, for configuring a buying club and a coop order"
US7953732,7 Jun 2005,31 May 2011,Nokia Corporation,Searching by using spatial document and spatial keyword document indexes
