objectid(long),routeid,beginpoint(double precision),endpoint(double precision),ovlpovlp,ovlpovlpstatus,townnumber(long),townname,yearvalue(long),global_id,shape_length(double precision)
1498.0,169-N,26.18,28.33,44-E,PRI,111.0,POMFRET,2022,01c7ba70-ab9e-44eb-81ad-94f8535b27c0,11356.4326796623
1499.0,169-N,30.96,31.32,171-E,PRI,169.0,WOODSTOCK,2022,5568eb91-467a-401f-b9b7-0d1171357a65,1937.58213325981
1499.0,2-E,50.33,51.11,2-E,PRI,101.0,NORTH STONINGTON,2022,0f579294-8459-4d4a-b590-94dd52270246,4141.22180001054
1503.0,22-E,2.02,2.68,5-N,PRI,100.0,NORTH HAVEN,2022,621bfcdc-28c8-4bab-ab32-0e546ac46ff2,1697.578759755
1503.0,22-E,6.46,6.52,17-N,PRI,98.0,NORTH BRANFORD,2022,dce3b51b-8b6f-4b24-a743-905510596720,296.416274300777
1503.0,22-E,10.88,12.38,80-E,PRI,98.0,NORTH BRANFORD,2022,11d885ff-11d9-4dcc-845f-1201fc835ed9,4141.22180001054
1504.0,272-N,13.41,13.75,44-E,PRI,97.0,NORFOLK,2022,0f579294-8459-4d4a-b590-94dd52270246,1825.64688251088
1498.0,30-S,6.18,6.29,30-S,PRI,76.0,NORTH HAVEN,2022,63fa3465-5b29-47e1-9e07-ce71f3e57b94,422.093881272792
1517.0,34-E,21.88,22.21,10-N,PRI,92.0,NEW HAVEN,2022,01c7ba70-ab9e-44eb-81ad-94f8535b27c0,1697.578759755
1507.0,34-E,22.21,22.99,0920360,PRI,92.0,NEW HAVEN,2022,f2ac5fa1-99ab-47a6-ae9a-dec6fa795fe4,4137.08904916255
1503.0,44-E,69.15,70.25,44-E,PRI,32.0,COVENTRY,2022,621bfcdc-28c8-4bab-ab32-0e546ac46ff2,1825.64688251088
1509.0,5-N,35.82,36.18,5-N,PRI,42.0,EAST HARTFORD,2022,0f579294-8459-4d4a-b590-94dd52270246,4137.08904916255
1499.0,6-E,69.34,69.67,84-E,PRI,76.0,NORTH STONINGTON,2022,63fa3465-5b29-47e1-9e07-ce71f3e57b94,296.416274300777
1511.0,6-W,22.19,22.52,6-W,PRI,130.0,NORTH BRANFORD,2022,4f4b0eab-9e10-4128-8556-8c302b91c934,1734.86199589136
1507.0,6-W,72.76,73.09,6-W,PRI,76.0,KILLINGWORTH,2022,f2f22c0a-7fc4-4b95-b841-8abdb42e180c,1717.51695342568
1513.0,66-E,6.98,7.49,66-E,PRI,82.0,EAST HARTFORD,2022,eac18a4d-ce72-4c31-8f12-c4df9f65d39d,2417.98785581738
1498.0,67-W,0.41,0.5,202-S,PRI,95.0,KILLINGWORTH,2022,63fa3465-5b29-47e1-9e07-ce71f3e57b94,124.267706559789
1498.0,7-N,76.5,76.84,44-E,PRI,99.0,NORTH CANAAN,2022,621bfcdc-28c8-4bab-ab32-0e546ac46ff2,1819.6875452321
1507.0,70-E,2.67,4.36,70-E,PRI,25.0,NEW HAVEN,2022,1ed8f70b-ff26-469e-bede-4c50f29727aa,8948.25517654852
1517.0,71-N,0.23,0.36,71-N,PRI,148.0,NORTH BRANFORD,2022,1bde42a0-d434-4c81-9595-9cc17892200c,1819.6875452321
1503.0,71A-N,2.33,2.41,71A-N,PRI,7.0,NORTH CANAAN,2022,faa99fb9-6805-44c8-8ca3-9f4f8f3fc8cc,1819.6875452321
1517.0,72-N,3.2,3.75,84-W,PRI,109.0,NORTH HAVEN,2022,4f4b0eab-9e10-4128-8556-8c302b91c934,2768.74848542309
1513.0,8-S,38.53,39.52,8-S,PRI,140.0,THOMASTON,2022,42fea995-f578-49e4-924e-a7cdbde8a8ac,5127.12456443771
1504.0,800-N,2.57,2.63,202-N,PRI,143.0,KILLINGWORTH,2022,5568eb91-467a-401f-b9b7-0d1171357a65,338.656545440696
1504.0,81-S,5.99,6.0,80-W,PRI,69.0,KILLINGWORTH,2022,eac18a4d-ce72-4c31-8f12-c4df9f65d39d,1825.64688251088
1523.0,83-N,10.78,11.64,30-N,PRI,146.0,THOMASTON,2022,63fa3465-5b29-47e1-9e07-ce71f3e57b94,4495.41730653166
1524.0,84-E,62.7,67.42,84-E,PRI,42.0,NORTH STONINGTON,2022,01c7ba70-ab9e-44eb-81ad-94f8535b27c0,1717.51695342568
1503.0,84-W,18.48,21.77,84-W,PRI,130.0,POMFRET,2022,01c7ba70-ab9e-44eb-81ad-94f8535b27c0,17393.3390124376
1530.0,9-S,23.47,24.3,9-S,PRI,82.0,NEW HAVEN,2022,63fa3465-5b29-47e1-9e07-ce71f3e57b94,1717.51695342568
1524.0,95-S,93.47,94.29,95-S,PRI,94.0,NEW LONDON,2022,0f579294-8459-4d4a-b590-94dd52270246,4137.08904916255
1528.0,97-N,11.26,11.94,14-E,PRI,123.0,NEW HAVEN,2022,1ed8f70b-ff26-469e-bede-4c50f29727aa,338.656545440696
1499.0,0150895,0.14,0.3,0150895,PRI,15.0,NORFOLK,2022,63fa3465-5b29-47e1-9e07-ce71f3e57b94,1825.64688251088
1530.0,130-W,3.69,3.85,0150895R,PRI,15.0,NORTH HAVEN,2022,f2f22c0a-7fc4-4b95-b841-8abdb42e180c,895.879892125273
1503.0,136-N,4.14,4.54,1020544,PRI,102.0,NEW HAVEN,2022,dce3b51b-8b6f-4b24-a743-905510596720,454.040968686018
1504.0,136-N,4.78,5.25,1020910,PRI,102.0,NORTH CANAAN,2022,1bde42a0-d434-4c81-9595-9cc17892200c,1937.58213325981
1530.0,138-E,5.78,5.93,12-N,PRI,72.0,KILLINGWORTH,2022,0f579294-8459-4d4a-b590-94dd52270246,1825.64688251088
1507.0,15-N,80.08,81.9,15-N,PRI,63.0,NEW LONDON,2022,621bfcdc-28c8-4bab-ab32-0e546ac46ff2,8948.25517654852
1513.0,15-S,76.84,80.08,15-S,PRI,92.0,WETHERSFIELD,2022,01c7ba70-ab9e-44eb-81ad-94f8535b27c0,4141.22180001054
1507.0,160-E,3.21,3.4,3-N,PRI,157.0,ROCKY HILL,2022,4f4b0eab-9e10-4128-8556-8c302b91c934,1819.6875452321
1511.0,10-N,2.05,2.38,10-N,PRI,92.0,NEW HAVEN,2022,1ed8f70b-ff26-469e-bede-4c50f29727aa,296.416274300777
1524.0,1021058,0.0,0.12,1021058,PRI,102.0,NORFOLK,2022,eac18a4d-ce72-4c31-8f12-c4df9f65d39d,124.267706559789
1523.0,12-N,27.5,27.91,12-N,PRI,108.0,PLAINFIELD,2022,63fa3465-5b29-47e1-9e07-ce71f3e57b94,2120.68585047501
1540.0,12-N,30.32,30.59,12-N,PRI,108.0,COVENTRY,2022,dce3b51b-8b6f-4b24-a743-905510596720,11356.4326796623
1503.0,1260554,0.0,0.32,1260554,PRI,126.0,NORTH BRANFORD,2022,d209d152-0472-41c5-844f-9703545bf641,1691.15624605467
1540.0,136-N,11.78,12.08,136-N,PRI,158.0,NORFOLK,2022,5568eb91-467a-401f-b9b7-0d1171357a65,422.093881272792
1504.0,14-E,6.64,7.32,14-E,PRI,123.0,WOODSTOCK,2022,11d885ff-11d9-4dcc-845f-1201fc835ed9,895.879892125273
1499.0,14-E,16.99,17.26,12-N,PRI,108.0,COVENTRY,2022,f2ac5fa1-99ab-47a6-ae9a-dec6fa795fe4,1717.51695342568
1499.0,147-N,2.07,2.76,157-N,PRI,81.0,NORTH STONINGTON,2022,5568eb91-467a-401f-b9b7-0d1171357a65,1697.578759755
1528.0,15-S,81.9,82.08,15-S,PRI,42.0,NORTH BRANFORD,2022,eac18a4d-ce72-4c31-8f12-c4df9f65d39d,4495.41730653166
1507.0,154-N,6.68,7.1,1-N,PRI,105.0,KILLINGWORTH,2022,eac18a4d-ce72-4c31-8f12-c4df9f65d39d,1691.15624605467
1498.0,156-E,8.44,8.63,156-E,PRI,104.0,NEW HAVEN,2022,42fea995-f578-49e4-924e-a7cdbde8a8ac,954.543716778535
1509.0,163-N,7.34,7.46,82-E,PRI,85.0,KILLINGWORTH,2022,42fea995-f578-49e4-924e-a7cdbde8a8ac,30.617755899498
1550.0,17-N,6.98,7.04,17-N,PRI,98.0,NORTH BRANFORD,2022,0f579294-8459-4d4a-b590-94dd52270246,296.416274300777
1550.0,171-E,17.17,17.53,171-E,PRI,169.0,NEW HAVEN,2022,eac18a4d-ce72-4c31-8f12-c4df9f65d39d,17393.3390124376
1528.0,183-S,9.36,9.65,44-W,PRI,162.0,THOMASTON,2022,63fa3465-5b29-47e1-9e07-ce71f3e57b94,1448.25020254832
1530.0,184-W,12.2,12.22,184-W,PRI,101.0,NORFOLK,2022,faa99fb9-6805-44c8-8ca3-9f4f8f3fc8cc,954.543716778535
1507.0,201-N,4.13,4.91,2-E,PRI,101.0,NEW HAVEN,2022,d209d152-0472-41c5-844f-9703545bf641,4141.22180001054
1511.0,202-S,19.64,19.73,202-S,PRI,95.0,POMFRET,2022,d209d152-0472-41c5-844f-9703545bf641,454.040968686018
1499.0,25-N,0.0,3.75,8-N,PRI,15.0,NORTH STONINGTON,2022,eac18a4d-ce72-4c31-8f12-c4df9f65d39d,19937.7152834654
1504.0,25-N,26.88,26.91,25-N,PRI,18.0,THOMASTON,2022,d209d152-0472-41c5-844f-9703545bf641,124.267706559789
1523.0,2A-E,7.05,7.35,12-N,PRI,111.0,PRESTON,2022,eac18a4d-ce72-4c31-8f12-c4df9f65d39d,1602.57714408628
1524.0,318-E,0.73,1.47,181-N,PRI,5.0,NORTH BRANFORD,2022,d209d152-0472-41c5-844f-9703545bf641,3850.34678995378
1509.0,32-N,48.84,48.85,32-N,PRI,134.0,STAFFORD,2022,0f579294-8459-4d4a-b590-94dd52270246,30.617755899498
1523.0,44-W,39.03,39.28,44-W,PRI,23.0,CANTON,2022,5568eb91-467a-401f-b9b7-0d1171357a65,296.416274300777
1509.0,5-N,25.75,29.25,15-N,PRI,108.0,NEWINGTON,2022,5568eb91-467a-401f-b9b7-0d1171357a65,18330.8596865377
1509.0,53-N,6.47,7.29,57-N,PRI,157.0,WESTON,2022,01c7ba70-ab9e-44eb-81ad-94f8535b27c0,4341.19315624656
1564.0,6-W,76.24,76.95,6-W,PRI,12.0,BOLTON,2022,f2f22c0a-7fc4-4b95-b841-8abdb42e180c,296.416274300777
1564.0,66-W,6.98,7.11,66-W,PRI,82.0,MIDDLETOWN,2022,63fa3465-5b29-47e1-9e07-ce71f3e57b94,737.039742494033
1498.0,66-W,7.96,9.96,66-W,PRI,112.0,PORTLAND,2022,dce3b51b-8b6f-4b24-a743-905510596720,2120.68585047501
1540.0,15-N,73.34,76.84,15-N,PRI,93.0,NEWINGTON,2022,1bde42a0-d434-4c81-9595-9cc17892200c,1825.64688251088
1564.0,15-S,80.08,81.9,15-S,PRI,101.0,HARTFORD,2022,f2f22c0a-7fc4-4b95-b841-8abdb42e180c,9687.7792279192
1498.0,150-N,5.16,5.17,5-N,PRI,148.0,WALLINGFORD,2022,f2ac5fa1-99ab-47a6-ae9a-dec6fa795fe4,737.039742494033
1523.0,1520194,0.0,0.15,1520194,PRI,152.0,WATERFORD,2022,f2f22c0a-7fc4-4b95-b841-8abdb42e180c,954.543716778535
