256.x_coordinate,1618646.297,1168646.297
526.longitude,-87.656169w95,-87.65616995
526.y_coordinate,1095551.686,1905551.686
257.latitude,41s.77928099,41.77928099
5.longitude,-87.69440189,-87.62233438
28.longitude,-877.2836921,-87.72836921
6.y_coordinate,1894894.51,1893459.955
7.x_coordinate,1156574.009,1171337.269
23.address,1129 S. Sacramento Ave.,180 N. Ada St.
21.x_coordinate,1184799.335,1159495.407
29.address,4611 N. Broadway,1032 W. Montrose Ave
12.y_coordinate,1910367.063,1931569.979
309.x_coordinate,11487235.01,1148723.501
9.latitude,41.7952753,41.90287808
15.y_coordinate,1930840.623,1864591.098
18.address,5441 S. Michigan Ave.,3100-36 W. Huron St.
442.longitude,87.72471008,-87.72471008
4.x_coordinate,1178127.358,1181829.598
557.longitude,-87.69706035,-87.69706305
13.y_coordinate,1899627.529,1864093.117
1.x_coordinate,1156574.009,1153767.678
7.longitude,-87.70066623,-87.64724467
256.longitude,-87.6567821,-87.65647821
18.latitude,41.81957647,41.89385878
300.x_coordinate,115227.1525,1152271.525
347.longitude,-87.58901953,-87.58910953
19.longitude,-87.70066623,-87.69347132
389.latitude,41.85031339,41.85301339
25.x_coordinate,1159374.119,1168763.559
557.y_coordinate,1t898606.336,1898606.336
526.x_coordinate,1168h610.474,1168610.474
442.latitude,41.8553392,41.85533972
465.y_coordinate,193u8044.237,1938044.237
507.y_coordinate,18779l40.683,1877940.683
19.address,5441 S. Michigan Ave.,1600 N. Talman Ave.
485.latitude,42.0757377,42.00757377
20.latitude,41.7952753,41.81297966
19.y_coordinate,1910367.063,1910568.81
526.latitude,41.896361a76,41.89636176
26.address,1129 S. Sacramento Ave.,636 E. 50th St.
3.address,1129 S. Sacramento Ave.,3507 W. North Ave.
507.x_coordinate,117x9638.248,1179638.248
300.latitude,41.d90989234,41.90989234
22.x_coordinate,1159482.293,1174546.412
465.longitude,-87.72836a921,-87.72836921
6.x_coordinate,1156574.009,1158291.047
300.longitude,-8.771605298,-87.71605298
4.address,15 S. Homan Ave.,722-46 E. Bowen Ave.
256.latitude,1.85469028,41.85469028
442.y_coordinate,1890463.530,1890463.503
389.x_coordinate,1167346.441,1176346.441
8.x_coordinate,1178127.358,1157757.47
523.y_coordinate,1929651.507,1929651.057
16.y_coordinate,1894894.1,1894894.51
16.latitude,41.86736916,41.86736961
347.x_coordinate,1178273.42,1187273.42
347.y_coordinate,1858913.33f8,1858913.338
485.x_coordinate,1165843.89x8,1165843.898
1.latitude,41.81957647,41.88041381
18.longitude,-87.70066623,-87.7041025
523.latitude,41h.96252489,41.96252489
3.latitude,41.86736961,41.9099065
257.y_coordinate,1u862817.69,1862817.69
3.longitude,-87.70066623,-87.71469504
