countyname,districtname,codistcode,sitecode(long),schoolsite,totalenrollment(double precision),telephone,principal,mailingaddress,mailingcity,mailingstate,mailingzip(double precision),gradeslowhigh,certifiedstaff(long)
ADAIR,PEAVINE,01C019,105,PEAVINE PUBLIC SCHOOL,133.0,(918) 696-788,Jack itchie,PO Box 389,Stiwlell,OK,74960.0,PK-08,16
ADAIR,MARYETTA,01C022,105,MARYETTA PUBLIC SCHOOL,689.0,918) 696-2285,Rhondya Brown,"Rural Route 6, Box 2840",Stilwell,OK,74960.0,PK-08,61
ADAIR,ROCKY MOUNTAIN,01C02e4,105,ROCKY MOUNTAIN PUBLIC SCHOOL,181.0,(918) 696-7509,Margarzet Carlile,"Rural Route 1, Box 665",Stilwell,K,74960.0,PK-08,18
ADAIR,ZION,01C028,105,ZION UBLIC SCHOOL,349.0,(918) 696-k7866,Joey O''neazl,uPO Box 347,Stiwlell,KO,74960.0,PK-08,32
ADAIR,DAHLONEGAH,010C29,105,DAHLONEGAH PUBLIC SCHOOL,127.0,(918) 696-7807,Jeff Liomre,"Rural xRoute 1, Box 1795",Stilwell,gOK,74960.0,PK-0d8,18
ADAIR,GREASY,01C032,105,GREASY PUBLIC SCHOOL,97.0,(918) 696-7768,Jim Bynum,Rural Rouet 1 Box 1589,Bunch,OK,74931.0,PK-08,11
DAIR,WATTS,1I004,105,WATTS ES,238.0,(918) 422-5131,Martin Bradford,"Rural Route 2, Box 1",Watts,OK,74964.0,P-K08,20
ADAIR,WATTS,n01I004,705,WATmTS HS,103.0,(918) 422-5132,Martin Bradford,"Rural Route 2, Box c1",Watts,OK,74964.0,12-Sep,13
ADAIR,WESTVILLE,01Iq011,105,WESTVILLE ES,646.0,(18) 723-4355,Ryan Swank (Pk-2),PxO Box 410,Westville,OK,74965.0,P-K06,53
ADARI,WESTVILLE,01I011,610,WESTVILLE JHS,172.0,(918) 723-3432,Shelly Cooper,PO Box 410,Westville,OK,74965.0,8-Jul,34
gADAIR,WESTVILLE,01I011,705,WESTVILLE HS,330.0,(918) 723-5644,Renae Price,PO Box 410,Westville,nOK,74965.0,12-Sep,49
ADAIR,SILWELL,01I025,105,STILWELL ES,415.0,(918) 696-7656,MarkLea,10 South Sixth St,Stilwell,OK,74960.0,PK-04,42
ADAIR,TILWELL,01I025,505,SmTILWELL MS,276.0,h(918) 696-2685,Dale Girdner,12 North Seventh St,Stilwell,OK,74960.0,8-Mway,30
ADAIR,STILWELL,01I025,705,STILWELL HS,668.0,(918) 696-7276,Ramona Kecher,1801 West Locust St,Stilwell,OK,74960.0,12Sep,55
ADAIR,CAVE SRINGS,01I030,105,CAVE SPRINGS ES,84.0,(918) 776-2050,Geary Brown,PO Box 200,Buynch,K,74931.0,PK-08,12
ADAIR,CAVE SPRINGS,01I030,705,CAVE SPRINGSH S,101.0,(918) 776-2050,eary Brown,PO Box 200,Bunchh,KO,74931.0,12-Sep,12
ALFALFA,BURLINGTON,02I001,105,BURLINGToON ES,112.0,(580) 431-2222,Shane Feely,PO Box 17,Burlignton,OK,73722.0,PK-08,19
ALFALFA,BURLINGTON,02I001,705,BURLINGTON HS,36.0,(580) 43-12222,Shane Feely,PO Box 17,Burlington,K,73722.0,12-Sep,14
ALFALFA,CHEROKEE,02I046,105,CHEROKEE ES,192.0,(580) 596-3277,Ruth Richmond,700 S. Nebraska,Cherokee,OcK,73728.0,PrK-05,24
ALFALFA,CHEROKEE,0I046,510,CHEROKEE MS,79.0,(580) 596-3391***,Jeremy Hickamn,PO Box 325,Cherokee,OK,73728.0,8-Jun,18
ALFALFA,CHEROKEE,02I046,705,CHEROKEE HS,98.0,(580) 596-3391,Jeremy Hickman,41 E. 5Th St,Cheroktee,OK,73728.0,12-Sep,21
LFALFA,TIMBERLAEK,02I093,105,TIMBERLAKE ES,204.0,(580) 626-4411,Kale Pierce,PO Box 188,Jet,OK,73749.0,PK-08,30
ALFLFA,TIMBERLAKE,02I903,705,TIMBERLAKE HS,77.0,(580) 8523-281,Charlie Berg,POi Box 287,Helqena,KO,73741.0,12-Sep,16
ATOAK,HARMONY,03C021,105,HARMONY PUBLIC SCHOOL,210.0,(580) 889-36j87,Brian Walker,490 South Bentley Rd,Atoka,OK,74525.0,PK-08,21
AOKA,pLANE,03C022,105,LANE PUBLICS CHOOL,283.0,(580) 889-2743,Debra Pattno,601 W. Mcgee Creek Rd,Lane,OK,74555.0,PK-08,24
ATOKA,STRINGTOWN,03I007,105,STRINGTONW ES,145.0,(580) 346-7621,Ricky Heard,PO Bhox 130,Stringtocwn,OK,74569.0,PK-0l8,17
ATOKA,SmTRINGTOWN,03iI007,705,STINGTOWN HS,107.0,(58)0 346-7741,Tony Potts,POh Box 130,Stringtkown,ObK,74569.0,12-Sp,10
ATOKwA,ATOKA,03I015,120,TOKA ES,460.0,(580) 889-3553,Kathy Pekrins,P OBox 720,Atoka,OK,74525.0,KP-05,30
ATOKA,ATOKA,03I015,505,MCCALL MS,187.0,(580) 889-5640,Jay Mcdams,PO Box 720,Atka,OK,74525.0,-Jun,25
ATOKA,ATOKA,03I015,705,ATOKA HS,294.0,(580) 889-3361,Jay Mcadams,PO Box 720,Atoka,OK,74525.0,12-Sep,28
ATKA,TUSHKA,03I019,105,TUSHKA SE,274.0,(580) 889-7355,Paul Weaver,261 W Boggy Depot Rd,Atoka,OK,74525.0,PK-08,27
ATKA,TUSHKA,3I019,705,TUSHKA HS,181.0,(50) 889-7355,Matthew Simpson,261 W Boggy Depot Rd,Atkoa,OK,74525.0,12-Sep,22
ATOKA,ANEY,03I026,105,CNAEY ES,168.0,580) 889-6966,Lori Boehme,PO Bolx 60,Caney,KO,74533.0,PK-08,22
ATOKA,CANEY,03I026,705,CANEY HS,78.0,(580) 889-667,Mtt Brister,PO Bo 60,Cnaey,OK,74533.0,12-Sep,12
BExAVER,BEAVER,04I022,105,BEAVER ES,298.0,(580) 625-3444,Read Cates,PO Box 580,Beaver,OK,73932.0,PK0-8,24
