OBJECTID,SCHOOL_NAME,SCHID_3,SCHOOL_TYPE,GRADES,STREET_NUMBER,STREET_NAME,CITY,STATE,ZIP,ADDRESS,HOME_URL,TYPE_DESC,SCH_YR,REGION,SHAPE_Length,SHAPE_Area
29,CARSON,171,MS,7-8,13618,MCLEAREN RD,HERNDON,VA,20171,13618 MCLEAREN RD,https://carsonms.fcps.edu/,Middle Advanced Academic Programs,2021_22,5,157412.19791204,771726804.715533
30,COOPER,21,MS,7-8,977,BALLS HILL RD,MCLEAN,VA,22101,977 BALLS HILL RD,https://cooperms.fcps.edu/,Middle Advanced Academic Programs,2021_22,1,242292.289869503,1280000629.55904
335,FROST,131,MS,7-8,4101,PICKETT RD,FAIRFAX,VA,22032,4101 PICKETT RD,https://frostms.fcps.edu/,Middle Advanced Academic Programs,2021_22,5,211160.006472421,614514045.425871
336,GLASGOW,101,MS,6-8,4101,FAIRFAX PKWY,ALEXANDRIA,VA,22312,4101 FAIRFAX PKWY,https://glasgowms.fcps.edu/,Middle Advanced Academic Programs,2021_22,2,117441.910650132,469570421.132393
337,HUGHES,321,MS,7-8,11401,RIDGE HEIGHTS RD,RESTON,VA,20191,11401 RIDGE HEIGHTS RD,https://hughesms.fcps.edu/,Middle Advanced Academic Programs,2021_22,1,196937.483074919,694022246.426475
338,JACKSON,81,MS,7-8,3020,GALLOWS RD,FALLS CHURCH,VA,22042,3020 GALLOWS RD,https://jacksonms.fcps.edu/,Middle Advanced Academic Programs,2021_22,1,222372.239763068,700130915.886074
339,KILMER,71,MS,7-8,8100,WOLFTRAP RD,VIENNA,VA,22182,8100 WOLFTRAP RD,https://kilmerms.fcps.edu/,Middle Advanced Academic Programs,2021_22,2,155579.519368511,385030701.331103
340,LAKE BRADDOCK,401,MS,7-8,9200,BURKE LAKE RD,BURKE,VA,22015,9200 BURKE LAKE RD,https://lakebraddockss.fcps.edu/,Middle Advanced Academic Programs,2021_22,4,307719.478903341,1695606762.54165
341,KATHERINE JOHNSON,501,MS,7-8,3801,JERMANTOWN RD,FAIRFAX,VA,22030,3801 JERMANTOWN RD,https://johnsonms.fcps.edu/,Middle Advanced Academic Programs,2021_22,5,183220.397900131,466436498.270342
342,LONGFELLOW,31,MS,7-8,2000,WESTMORELAND ST,FALLS CHURCH,VA,22043,2000 WESTMORELAND ST,https://longfellowms.fcps.edu/,Middle Advanced Academic Programs,2021_22,2,133699.814313455,305635855.258277
343,ROCKY RUN,251,MS,7-8,4400,STRINGFELLOW RD,CHANTILLY,VA,20151,4400 STRINGFELLOW RD,https://rockyrunms.fcps.edu/,Middle Advanced Academic Programs,2021_22,5,235115.703011502,1394609217.35465
344,SANDBURG,231,MS,7-8,8428,FORT HUNT RD,ALEXANDRIA,VA,22308,8428 FORT HUNT RD,https://sandburgms.fcps.edu/,Middle Advanced Academic Programs,2021_22,3,210081.246390567,971106483.356021
345,SOUTH COUNTY,422,MS,7-8,8700,LAUREL CREST DR,LORTON,VA,22079,8700 LAUREL CREST DR,https://southcountyms.fcps.edu/,Middle Advanced Academic Programs,2021_22,4,223476.603229062,887893547.151013
346,TWAIN,191,MS,7-8,4700,FRANCONIA RD,ALEXANDRIA,VA,22310,4700 FRANCONIA RD,https://twainms.fcps.edu/,Middle Advanced Academic Programs,2021_22,3,151830.533025605,614322982.861909
