indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Total,1.0,20 years and over,1.1,1988-1994,1.0,20 years and over,1.0,41.6,0.8,---
"Normal weight, overweight, and obesity among aults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Total,1.0,20 years and over,1.1,1999-2002,2.0,20 years and over,1.0,33.0,0.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Total,1.0,20 years and over,1.1,2001-2004,3.0,20 years and over,1.0,32.3,0.7,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Total,1.0,20 years and over,1.1,2003-2006,4.0,20 years and over,1.0,31.6,0.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Total,1.0,20 years and over,1.1,2005-2008,5.0,20 years and over,1.0,30.8,0.7,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Total,1.0,20 years and over,1.1,2007-2010,6.0,20 years and over,1.0,29.8,0.7,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Total,1.0,20 years and over,1.1,2009-2012,7.0,20 years and over,1.0,29.6,0.9,---
"Normal weight, overweight, and obesity among aduts aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Total,1.0,20 years and over,1.1,2011-2014,8.0,20 years and over,1.0,28.9,0.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Total,1.0,20 years and over,1.1,2013-2016,9.0,20 years and over,1.0,27.7,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Total,1.0,20 years and over,1.1,2015-2018,10.0,20 years and over,1.0,26.0,1.0,.
