coname,distname,co_dist_code,site,schname,enrollment,phone_one,principal,principal_email,address,city,state,zip,board_president,certifiedstaff
ADAIR       ,PEAVINE                       ,01-C019,105,PEAVINE PUBLIC SCHOOL         ,126.0,(918) 696-7818,Jack Ritchie,jritchie@peavinepanthers.net,Post Office Box 389,Stilwell,OK,74960.0,PK-08,11
ADAIR       ,MARYETTA                      ,01-C022,105,MARYETTA PUBLIC SCHOOL        ,681.0,(918) 696-2285,Corey Bunch,cbunch@maryetta.k12.ok.us,"Rural Route 6, Box 2840",Stilwell,OK,74960.0,PK-08,61
ADAIR       ,ROCKY MOUNTAIN                ,01-C024,105,ROCKY MOUNTAIN PUBLIC SCHOOL  ,188.0,(918) 696-7509,Alicia Ketcher,aketcher@rockymtn.k12.ok.us,"Rural Route 1, Box 665",Stilwell,OK,74960.0,PK-08,18
ADAIR       ,ZION                          ,01-C028,105,ZION PUBLIC SCHOOL            ,352.0,(918) 696-7866,Joey O'neal,j_oneal@zionjets.com,Post Office Box 347,Stilwell,OK,74960.0,PK-08,32
ADAIR       ,DAHLONEGAH                    ,01-C029,105,DAHLONEGAH PUBLIC SCHOOL      ,134.0,(918) 696-7807,Jeff Limore,jtlimore@dahlonegah.k12.ok.us,"Rural Route 1, Box 1795",Stilwell,OK,74960.0,PK-08,17
ADAIR       ,GREASY                        ,01-C022,105,GREASY PUBLIC SCHOOL          ,90.0,(918) 696-7768,Michael Wolfe,Michael.Wolfe@greasy.k12.ok.us,92009 South 4676 Road,Bunch,OK,74931.0,PK-08,13
ADAIR       ,WATTS                         ,01-I004,105,WATTS ES                      ,199.0,(918) 422-5131,Tony Mitchell,TMITCHELL@WATTSSCHOOL.COM,"Rural Route 2, Box 1",Watts,OK,74964.0,PK-08,21
ADAIR       ,WATTS                         ,01-I004,705,WATTS HS                      ,113.0,(918) 422-5132,Tony Mitchell,TMITCHELL@WATTSSCHOOL.COM,"Rural Route 2, Box 1",Watts,OK,74964.0,12-Sep,14
ADAIR       ,WESTVILLE                     ,01-C024,105,WESTVILLE ES                  ,651.0,(918) 723-4355,Ryan Swank (Pk-2),rswank@westville.k12.ok.us,Post Office Box 410,Westville,OK,74965.0,PK-06,49
ADAIR       ,WESTVILLE                     ,01-I004,610,WESTVILLE JHS                 ,176.0,(918) 723-3432,Shelly Cooper,scooper@westville.k12.ok.us,Post Office Box 410,Westville,OK,74965.0,8-Jul,31
ADAIR       ,WESTVILLE                     ,01-I011,705,WESTVILLE HS                  ,332.0,(918) 723-5644,Renae Price,rprice@westville.k12.ok.us,Post Office Box 410,Westville,OK,74965.0,12-Sep,43
