Date,Venue,City,Unnamed: 3
"2015-07-29 19:15:00 Wednesday Jul 29, 2015 7:15PM",Cincinnati Reds at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-07-30 18:15:00 Thursday Jul 30, 2015 6:15PM",Colorado Rockies at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-07-31 19:15:00 Friday Jul 31, 2015 7:15PM",Colorado Rockies at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-08-01 18:15:00 Saturday Aug 01, 2015 6:15PM",Colorado Rockies at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-08-02 13:15:00 Sunday Aug 02, 2015 1:15PM",Colorado Rockies at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-08-04 19:10:00 Tuesday Aug 04, 2015 7:10PM",St. Louis Cardinals at Cincinnati Reds Great American Ball Park,Cincinnati OH,TICKETS»
"2015-08-05 19:10:00 Wednesday Aug 05, 2015 7:10PM",St. Louis Cardinals at Cincinnati Reds Great American Ball Park,Cincinnati OH,TICKETS»
"2015-08-06 12:35:00 Thursday Aug 06, 2015 12:35AM",St. Louis Cardinals at Cincinnati Reds Great American Ball Park,Cincinnati OH,TICKETS»
"2015-08-07 19:10:00 Friday Aug 07, 2015 7:10PM",St. Louis Cardinals at Milwaukee Brewers Miller Park,Milwaukee WI,TICKETS»
"2015-08-08 18:10:00 Saturday Aug 08, 2015 6:10PM",St. Louis Cardinals at Milwaukee Brewers Miller Park,Milwaukee WI,TICKETS»
"2015-08-09 13:10:00 Sunday Aug 09, 2015 1:10PM",St. Louis Cardinals at Milwaukee Brewers Miller Park,Milwaukee WI,TICKETS»
"2015-08-11 19:15:00 Tuesday Aug 11, 2015 7:15PM",Pittsburgh Pirates at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-08-12 19:15:00 Wednesday Aug 12, 2015 7:15PM",Pittsburgh Pirates at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-08-13 18:15:00 Thursday Aug 13, 2015 6:15PM",Pittsburgh Pirates at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-08-14 19:15:00 Friday Aug 14, 2015 7:15PM",Miami Marlins at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-08-15 18:15:00 Saturday Aug 15, 2015 6:15PM",Miami Marlins at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-08-16 13:15:00 Sunday Aug 16, 2015 1:15PM",Miami Marlins at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-08-17 19:15:00 Monday Aug 17, 2015 7:15PM",San Francisco Giants at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-08-18 19:15:00 Tuesday Aug 18, 2015 7:15PM",San Francisco Giants at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-08-19 19:15:00 Wednesday Aug 19, 2015 7:15PM",San Francisco Giants at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-08-21 19:10:00 Friday Aug 21, 2015 7:10PM",St. Louis Cardinals at San Diego Padres Petco Park,San Diego CA,TICKETS»
"2015-08-22 17:40:00 Saturday Aug 22, 2015 5:40PM",St. Louis Cardinals at San Diego Padres Petco Park,San Diego CA,TICKETS»
"2015-08-23 13:10:00 Sunday Aug 23, 2015 1:10PM",St. Louis Cardinals at San Diego Padres Petco Park,San Diego CA,TICKETS»
"2015-08-24 18:40:00 Monday Aug 24, 2015 6:40PM",St. Louis Cardinals at Arizona Diamondbacks Chase Field,Phoenix AZ,TICKETS»
"2015-08-25 18:40:00 Tuesday Aug 25, 2015 6:40PM",St. Louis Cardinals at Arizona Diamondbacks Chase Field,Phoenix AZ,TICKETS»
"2015-08-26 18:40:00 Wednesday Aug 26, 2015 6:40PM",St. Louis Cardinals at Arizona Diamondbacks Chase Field,Phoenix AZ,TICKETS»
"2015-08-27 18:40:00 Thursday Aug 27, 2015 6:40PM",St. Louis Cardinals at Arizona Diamondbacks Chase Field,Phoenix AZ,TICKETS»
"2015-08-28 19:15:00 Friday Aug 28, 2015 7:15PM",St. Louis Cardinals at San Francisco Giants AT&T Park,San Francisco CA,TICKETS»
"2015-08-29 13:05:00 Saturday Aug 29, 2015 1:05PM",St. Louis Cardinals at San Francisco Giants AT&T Park,San Francisco CA,TICKETS»
"2015-08-30 13:05:00 Sunday Aug 30, 2015 1:05PM",St. Louis Cardinals at San Francisco Giants AT&T Park,San Francisco CA,TICKETS»
"2015-08-31 19:15:00 Monday Aug 31, 2015 7:15PM",Washington Nationals at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-09-01 19:15:00 Tuesday Sep 01, 2015 7:15PM",Washington Nationals at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-09-02 19:15:00 Wednesday Sep 02, 2015 7:15PM",Washington Nationals at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-09-04 19:15:00 Friday Sep 04, 2015 7:15PM",Pittsburgh Pirates at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-09-05 15:05:00 Saturday Sep 05, 2015 3:05PM",Pittsburgh Pirates at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-09-06 13:15:00 Sunday Sep 06, 2015 1:15PM",Pittsburgh Pirates at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-09-07 13:15:00 Monday Sep 07, 2015 1:15PM",Chicago Cubs at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-09-08 19:15:00 Tuesday Sep 08, 2015 7:15PM",Chicago Cubs at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-09-09 12:45:00 Wednesday Sep 09, 2015 12:45AM",Chicago Cubs at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-09-10 19:10:00 Thursday Sep 10, 2015 7:10PM",St. Louis Cardinals at Cincinnati Reds Great American Ball Park,Cincinnati OH,TICKETS»
"2015-09-11 19:10:00 Friday Sep 11, 2015 7:10PM",St. Louis Cardinals at Cincinnati Reds Great American Ball Park,Cincinnati OH,TICKETS»
"2015-09-12 13:05:00 Saturday Sep 12, 2015 1:05PM",St. Louis Cardinals at Cincinnati Reds Great American Ball Park,Cincinnati OH,TICKETS»
"2015-09-13 13:10:00 Sunday Sep 13, 2015 1:10PM",St. Louis Cardinals at Cincinnati Reds Great American Ball Park,Cincinnati OH,TICKETS»
"2015-09-15 19:10:00 Tuesday Sep 15, 2015 7:10PM",St. Louis Cardinals at Milwaukee Brewers Miller Park,Milwaukee WI,TICKETS»
"2015-09-16 19:10:00 Wednesday Sep 16, 2015 7:10PM",St. Louis Cardinals at Milwaukee Brewers Miller Park,Milwaukee WI,TICKETS»
"2015-09-17 19:10:00 Thursday Sep 17, 2015 7:10PM",St. Louis Cardinals at Milwaukee Brewers Miller Park,Milwaukee WI,TICKETS»
"2015-09-18 13:20:00 Friday Sep 18, 2015 1:20PM",St. Louis Cardinals at Chicago Cubs Wrigley Field,Chicago IL,TICKETS»
"2015-09-19 12:05:00 Saturday Sep 19, 2015 12:05AM",St. Louis Cardinals at Chicago Cubs Wrigley Field,Chicago IL,TICKETS»
"2015-09-20 00:00:00 Sunday Sep 20, 2015 TBD",St. Louis Cardinals at Chicago Cubs Wrigley Field,Chicago IL,TICKETS»
"2015-09-21 19:15:00 Monday Sep 21, 2015 7:15PM",Cincinnati Reds at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-09-22 19:15:00 Tuesday Sep 22, 2015 7:15PM",Cincinnati Reds at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-09-23 19:15:00 Wednesday Sep 23, 2015 7:15PM",Cincinnati Reds at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-09-24 18:15:00 Thursday Sep 24, 2015 6:15PM",Milwaukee Brewers at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-09-25 19:15:00 Friday Sep 25, 2015 7:15PM",Milwaukee Brewers at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-09-26 18:15:00 Saturday Sep 26, 2015 6:15PM",Milwaukee Brewers at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-09-27 13:15:00 Sunday Sep 27, 2015 1:15PM",Milwaukee Brewers at St. Louis Cardinals Busch Stadium,St Louis MO,TICKETS»
"2015-09-28 19:05:00 Monday Sep 28, 2015 7:05PM",St. Louis Cardinals at Pittsburgh Pirates PNC Park,Pittsburgh PA,TICKETS»
"2015-09-29 19:05:00 Tuesday Sep 29, 2015 7:05PM",St. Louis Cardinals at Pittsburgh Pirates PNC Park,Pittsburgh PA,TICKETS»
"2015-09-30 19:05:00 Wednesday Sep 30, 2015 7:05PM",St. Louis Cardinals at Pittsburgh Pirates PNC Park,Pittsburgh PA,TICKETS»
"2015-10-02 19:35:00 Friday Oct 02, 2015 7:35PM",St. Louis Cardinals at Atlanta Braves Turner Field,Atlanta GA,TICKETS»
"2015-10-03 19:10:00 Saturday Oct 03, 2015 7:10PM",St. Louis Cardinals at Atlanta Braves Turner Field,Atlanta GA,TICKETS»
"2015-10-04 15:05:00 Sunday Oct 04, 2015 3:05PM",St. Louis Cardinals at Atlanta Braves Turner Field,Atlanta GA,TICKETS»
