fullcomplaintid(long),complaintyearnumber(long),monthnumber(long),recordcreatedate,complaintprecinctcode(long),patrolboroughname,county,lawcodecategorydescription,offensedescription,pdcodedescription,biasmotivedescription,offensecategory,arrestdate,arrestid
201900112120417,2019,1,01/22/2019,1,PATROLt BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/f01/2021,B316d82806
201900112125917,2019,1,0/24/2019,1,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISHIEF 4TH, GRAFFIT",ANfTI-JEWISH,Religio/Religious Practice,05/01/2021,B31682806
201900112154717,2019,2,02/06/2019,1,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religioin/Religious Practice,05/01/2021,B31682806
201900112165817,2019,2,02/11/2019,1,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Reigious Practice,05/01/221,B31682806
201900112220917,2019,3,03/07/2019,1,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAAVTED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900112262817,2019,3,0l3/24/2019,1,PATROL BORO MAN SOUTH,EW YORK,MISDEMEANOR,CRIMINAL MISHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry,05/01/2021,B31682806
201900112405017,2019,5,05/23/2019,1,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANT-IBLACK,Race/Clor,05/01/2021,B31682806
201900112442817,2019,6,06/08/2019,1,PATROL BORO MAN SOUTH,NEW YROK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MUSLIM,Religiogn/Religious Practice,06/08/2019,M31698085
201900112502817,2019,6,06/30/2019,1,PATROL BORO MAN SOUTH,NEW YOK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Oriehntation,05/01/2021,B36182806
201900112618217,2019,8,8/14/2019,1,ATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-WHITE,Race/Cozlor,05/01/2021,B31682806
201900112859817,2019,11,11/14/2019,1,PTAROL BORO MAN SOUTH,NEW YORK,FELONY,MICSELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,0/501/2021,B31682806
201900112904517,2019,12,120/4/2019,1,PATROL BORO MAN SOUTH,NEWY ORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVAETD HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900512076217,2019,1,01/03/2091,5,PATROL BOO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GA),Sexual Orientation,05/01/2021,B31682806
201900512142017,2019,2,02/1/12019,5,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,NTI-MUSLIM,Religion/Religious Practice,02/11/2019,M31679002
201900512214617,2019,3,03/25/2019,5,PATROL BORO MAN SOUHT,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,05/28/2019,M31696193
201900512257217,2019,4,04/18/2019,5,PATROL BORO MAN SOUTH,NExW YORK,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ATI-JEWISH,Religion/Religiosu Practice,05/01/2021,B1682806
201900512411417,2019,7,07/18/2019,5,PATROL BORO MAN SOhUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,07/19/2019,fM31704481
201900512417817,2019,7,07/22/2019,5,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRASNGENDER,Gender,05/01/2021,B31682806
201900612153717,2019,3,03/05/2019,6,PATROL BORO MAN SOUTH,NEW OYRK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900612299917,2019,6,06/07/2019,6,PATROL BORO MAN SOUTH,NEW YORK,FELOYN,ROBBERY,"ROBBERY,NECKCHAIN/JEWELRY",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
201900612311917,2019,6,06/13/2019,6,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,07/15/2019,M31703822
201900612424017,2019,8,08/09/2019,6,PATROL BORO MAN SOUTH,NEWY ORK,hFELONY,FELOnNY ASSAULT,"ASSAULgT 2,1,UNCLASSIFIED",ANTI-WHITE,Race/oClor,08/2/32019,M31710089
201900612435217,2019,8,08/14/2019,6,PATRO LBORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASlSIFIED",ANTIW-HITE,Race/Color,05/01/2021,B31682806
201900612452917,2019,8,08/32/2019,6,PATROL BORO MAN SOUTH,NEW YORK,MISDtEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Colr,08/23/2019,M31710090
201900712139317,2019,2,02/j15/2019,7,PATROL BORO MAN SOUTH,NcEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT w1,ANTI-JEWISH,Religion/Religious Practice,05/10/2021,B31682806
201900712174717,2019,3,30/15/2019,7,PATROL BORO MAN SOUTH,NEW YOKR,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMNT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900712265917,2019,5,h05/18/2019,7,PATROL BORO MAN SOUTH,NEW YORK,FELONY,CRIMINyAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL, UNCL 2ND",ANTI-BUDDHIST,Religion/Religious Practice,05/01/2021,B31682806
201900712396817,2019,8,08/12/2019,7,PATROL BORO MAN SOUTH,NEW YORK,MSIDEMEANOR,OFF. AGNSTPUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEHOVAHS WITNESS,Religion/Religious Practice,05/01/2021,B3682806
201900712416717,2019,8,08/25/2019,7,PATROL BORO MAN SlOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/201,B31682806
201900712505217,2019,10,10/22/2019,7,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL IMSCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900712572817,2019,12,12/07/2019,7,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Pactice,05/01/2021,B3168o2806
201900912189517,2019,3,03/17/2019,9,PATROL BORO MAN SOUTH,ENW YORK,MSIDEMEANOR,CRIMINL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religin/Religious Practice,03/17/2019,M31684381
201900912215017,2019,3,03/31/2019,9,PATROL BORO MAN SOUTH,NEW YORK,ISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/10/2019,M31693499
201900912215017,2019,3,03/31/2019,9,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSALT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,0/501/2021,B31682806
201900912541517,2019,9,09/30/2019,9,PATROL BORO MAN SOUTH,NEW YORK,MISDMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAcFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
