X,Y,LATDD,LONDD,TREETAG,COM_NAME,SCI_NAME,SEC_CNT,DBH_INCHES,TREE_SHAPE,CROWN_POS,CROWN_CON,COUNT_DATE,POINT,VEG_PLOT,OBJECTID
-13492739.7573,4717761.1543,38.9726901,-121.2073303,1,Valley Oak,Quercus lobata,0,45,M,O,20,2005/09/11 00:00:00+00,3,1,1
-13492399.3736,4718169.0293,38.9755386,-121.2042725,10,Interior Live Oak,Quercus wislizenii,0,9.1,V,U,30,2005/09/12 00:00:00+00,4,1,2
-13492408.9282,4718142.9125,38.9753562,-121.2043584,11,Blue Oak,Quercus douglasii,0,14.1,M,O,20,2005/09/12 00:00:00+00,4,1,3
-13492442.9667,4718171.3338,38.9755547,-121.2046641,12,Blue Oak,Quercus douglasii,0,17.5,M,O,0,2005/09/12 00:00:00+00,4,1,4
-13492432.2177,4718133.6948,38.9752918,-121.2045676,13,Interior Live Oak,Quercus wislizenii,0,6.7,V,O,40,2005/09/12 00:00:00+00,4,3,5
-13492429.829,4718116.7958,38.9751738,-121.2045461,14,Interior Live Oak,Quercus wislizenii,28,11.3,V,O,10,2005/09/12 00:00:00+00,4,3,6
-13492442.3695,4718126.0135,38.9752382,-121.2046588,15,Blue Oak,Quercus douglasii,0,5.8,C,O,10,2005/09/12 00:00:00+00,4,3,7
-13491996.2876,4717351.7598,38.9698308,-121.2006516,16,Interior Live Oak,Quercus wislizenii,0,6.7,C,U,30,2005/09/12 00:00:00+00,5,1,8
-13491996.8847,4717347.1512,38.9697986,-121.2006569,17,Interior Live Oak,Quercus wislizenii,3,7.8,V,O,30,2005/09/12 00:00:00+00,5,1,9
-13491963.4435,4717300.2985,38.9694714,-121.2003565,18,Blue Oak,Quercus douglasii,0,7.4,V,O,10,2005/09/12 00:00:00+00,5,1,10
-13491981.3585,4717334.0939,38.9697074,-121.2005174,19,Interior Live Oak,Quercus wislizenii,48,10.4,V,O,20,2005/09/12 00:00:00+00,5,2,11
-13492729.6055,4717761.1543,38.9726901,-121.2072391,2,Interior Live Oak,Quercus wislizenii,0,9.3,V,U,40,2005/09/11 00:00:00+00,3,1,12
-13491992.7046,4717335.6301,38.9697182,-121.2006194,20,Interior Live Oak,Quercus wislizenii,7,8.6,V,O,20,2005/09/12 00:00:00+00,5,2,13
-13492029.1316,4717323.3408,38.9696323,-121.2009466,21,Blue Oak,Quercus douglasii,22,15.3,V,O,20,2005/09/12 00:00:00+00,5,2,14
-13492054.2125,4717350.9917,38.9698255,-121.2011719,22,Interior Live Oak,Quercus wislizenii,11,8.9,V,O,30,2005/09/12 00:00:00+00,5,3,15
-13492032.1174,4717345.615,38.9697879,-121.2009734,23,Interior Live Oak,Quercus wislizenii,0,8.8,C,O,30,2005/09/12 00:00:00+00,5,3,16
-13492045.2551,4717347.1512,38.9697986,-121.2010914,24,Interior Live Oak,Quercus wislizenii,5,8,V,O,50,2005/09/12 00:00:00+00,5,3,17
-13491568.1207,4716612.8941,38.9646703,-121.1968053,25,Blue Oak,Quercus douglasii,0,10.9,C,O,0,2005/09/12 00:00:00+00,6,1,18
-13491574.6895,4716592.1575,38.9645254,-121.1968643,26,Interior Live Oak,Quercus wislizenii,6,8.1,V,O,40,2005/09/12 00:00:00+00,6,1,19
-13491583.0497,4716616.7342,38.9646971,-121.1969394,27,Interior Live Oak,Quercus wislizenii,33,9.9,V,O,40,2005/09/12 00:00:00+00,6,1,20
-13491621.2683,4716556.0606,38.9642733,-121.1972827,28,Interior Live Oak,Quercus wislizenii,28,12.3,V,O,20,2005/09/12 00:00:00+00,6,2,21
-13491624.8512,4716541.4682,38.9641714,-121.1973149,29,Valley Oak,Quercus lobata,0,15,V,O,30,2005/09/12 00:00:00+00,6,2,22
-13492755.8807,4717761.9225,38.9726954,-121.2074751,3,Interior Live Oak,Quercus wislizenii,0,6.1,C,U,40,2005/09/11 00:00:00+00,3,1,23
-13491633.8087,4716541.4682,38.9641714,-121.1973954,30,Blue Oak,Quercus douglasii,0,14.2,C,U,50,2005/09/12 00:00:00+00,6,2,24
-13491672.0272,4716559.9007,38.9643001,-121.1977387,31,Blue Oak,Quercus douglasii,0,6.8,M,O,0,2005/09/12 00:00:00+00,6,3,25
-13491573.4953,4717334.8621,38.9697128,-121.1968536,32,Valley Oak,Quercus lobata,0,17.4,M,O,0,2005/09/12 00:00:00+00,7,1,26
-13491626.0456,4717275.7201,38.9692997,-121.1973256,33,Interior Live Oak,Quercus wislizenii,0,11.8,V,O,40,2005/09/12 00:00:00+00,7,2,27
-13491612.9081,4717254.9822,38.9691549,-121.1972076,34,Interior Live Oak,Quercus wislizenii,1,6.6,V,O,40,2005/09/12 00:00:00+00,7,2,28
-13491615.8938,4717280.3287,38.9693319,-121.1972344,35,Interior Live Oak,Quercus wislizenii,0,8.5,V,O,50,2005/09/12 00:00:00+00,7,2,29
-13491674.416,4717339.4705,38.969745,-121.1977601,36,Interior Live Oak,Quercus wislizenii,0,5,V,U,40,2005/09/12 00:00:00+00,7,3,30
-13491670.833,4717340.2386,38.9697504,-121.197728,37,Interior Live Oak,Quercus wislizenii,0,5.9,V,U,50,2005/09/12 00:00:00+00,7,3,31
-13491682.1791,4717327.9494,38.9696645,-121.1978299,38,Interior Live Oak,Quercus wislizenii,4,7.8,V,O,40,2005/09/12 00:00:00+00,7,3,32
-13491193.1015,4717761.1544,38.9726901,-121.1934364,39,Interior Live Oak,Quercus wislizenii,0,16.9,V,O,10,2005/09/13 00:00:00+00,8,1,33
-13492838.2894,4717641.3297,38.9718532,-121.2082154,4,Blue Oak,Quercus douglasii,0,8.8,C,O,30,2005/09/11 00:00:00+00,3,2,34
-13491195.4902,4717770.3719,38.9727544,-121.1934579,40,Interior Live Oak,Quercus wislizenii,0,9.9,V,U,40,2005/09/13 00:00:00+00,8,1,35
-13491198.476,4717791.1108,38.9728993,-121.1934847,41,Interior Live Oak,Quercus wislizenii,17,11.7,V,O,20,2005/09/13 00:00:00+00,8,1,36
-13491258.7897,4717673.5903,38.9720785,-121.1940265,42,Interior Live Oak,Quercus wislizenii,0,5.8,V,U,50,2005/09/13 00:00:00+00,8,2,37
-13491263.5669,4717660.5325,38.9719873,-121.1940694,43,Interior Live Oak,Quercus wislizenii,4,7,V,O,30,2005/09/13 00:00:00+00,8,2,38
-13491263.5669,4717670.5178,38.9720571,-121.1940694,44,Interior Live Oak,Quercus wislizenii,1,7.7,V,O,10,2005/09/13 00:00:00+00,8,2,39
-13491292.2308,4717761.9226,38.9726954,-121.1943269,45,Interior Live Oak,Quercus wislizenii,60,7.1,V,O,10,2005/09/13 00:00:00+00,8,3,40
-13491286.2591,4717757.3139,38.9726632,-121.1942733,46,Interior Live Oak,Quercus wislizenii,0,7,V,U,20,2005/09/13 00:00:00+00,8,3,41
-13491308.3543,4717758.8501,38.972674,-121.1944718,47,Interior Live Oak,Quercus wislizenii,39,19.4,M,O,30,2005/09/13 00:00:00+00,8,3,42
-13490818.6794,4717420.1192,38.9703083,-121.1900729,48,Interior Live Oak,Quercus wislizenii,29,5.9,V,O,40,2005/09/13 00:00:00+00,9,1,43
-13490822.8596,4717431.6405,38.9703887,-121.1901105,49,Interior Live Oak,Quercus wislizenii,62,4.6,V,O,20,2005/09/13 00:00:00+00,9,1,44
-13492847.844,4717639.7935,38.9718425,-121.2083012,5,Blue Oak,Quercus douglasii,0,5.9,C,O,30,2005/09/11 00:00:00+00,3,2,45
-13490838.3858,4717318.7324,38.9696002,-121.19025,51,Blue Oak,Quercus douglasii,0,8.2,V,O,30,2005/09/13 00:00:00+00,9,2,46
-13490836.5943,4717316.4283,38.9695841,-121.1902339,52,Interior Live Oak,Quercus wislizenii,0,7.8,V,O,40,2005/09/13 00:00:00+00,9,2,47
-13490856.8885,4717304.9071,38.9695036,-121.1904162,53,Blue Oak,Quercus douglasii,0,4.9,V,O,10,2005/09/13 00:00:00+00,9,2,48
-13490893.9222,4717426.2639,38.9703512,-121.1907488,54,Interior Live Oak,Quercus wislizenii,7,8.2,V,O,10,2005/09/13 00:00:00+00,9,3,49
-13490901.6853,4717415.5107,38.9702761,-121.1908186,55,Interior Live Oak,Quercus wislizenii,34,5.7,V,O,10,2005/09/13 00:00:00+00,9,3,50
-13490898.6995,4717435.4809,38.9704155,-121.1907918,56,Interior Live Oak,Quercus wislizenii,15,6.8,V,O,30,2005/09/13 00:00:00+00,9,3,51
-13490425.7452,4716680.4805,38.9651423,-121.1865431,57,Blue Oak,Quercus douglasii,0,20.3,M,O,0,2005/09/13 00:00:00+00,10,1,52
-13490436.4941,4716678.1765,38.9651262,-121.1866397,58,Blue Oak,Quercus douglasii,0,6.5,C,O,0,2005/09/13 00:00:00+00,10,1,53
-13490433.5083,4716669.7282,38.9650672,-121.1866129,59,Blue Oak,Quercus douglasii,0,16.7,M,O,10,2005/09/13 00:00:00+00,10,1,54
-13492853.8156,4717641.3298,38.9718532,-121.2083549,6,Interior Live Oak,Quercus wislizenii,3,7,V,U,60,2005/09/11 00:00:00+00,3,2,55
-13490514.1255,4716690.4649,38.9652121,-121.1873371,60,Blue Oak,Quercus douglasii,20,14.6,V,O,20,2005/09/13 00:00:00+00,10,3,56
-13490511.7368,4716689.6969,38.9652067,-121.1873156,61,Interior Live Oak,Quercus wislizenii,14,6.1,V,U,50,2005/09/13 00:00:00+00,10,3,57
-13490525.4717,4716673.5682,38.965094,-121.187439,62,Blue Oak,Quercus douglasii,0,12.8,M,O,20,2005/09/13 00:00:00+00,10,3,58
-13490082.3757,4717052.2133,38.9677387,-121.1834586,63,Interior Live Oak,Quercus wislizenii,0,5.3,C,U,10,2005/09/14 00:00:00+00,11,1,59
-13490091.9304,4717052.2133,38.9677387,-121.1835444,64,Interior Live Oak,Quercus wislizenii,4,5,V,U,10,2005/09/14 00:00:00+00,11,1,60
-13490099.6935,4717056.0536,38.9677655,-121.1836142,65,Interior Live Oak,Quercus wislizenii,33,11.7,V,O,0,2005/09/14 00:00:00+00,11,1,61
-13490097.3048,4716982.3204,38.9672505,-121.1835927,66,Blue Oak,Quercus douglasii,0,4.6,C,U,20,2005/09/14 00:00:00+00,11,2,62
-13490117.0112,4716943.9179,38.9669823,-121.1837697,67,Interior Live Oak,Quercus wislizenii,0,18.2,V,O,20,2005/09/14 00:00:00+00,11,2,63
-13490093.1247,4716961.5829,38.9671057,-121.1835552,68,Interior Live Oak,Quercus wislizenii,14,9.5,V,U,40,2005/09/14 00:00:00+00,11,2,64
-13489378.3189,4717344.8472,38.9697825,-121.177134,69,Interior Live Oak,Quercus wislizenii,14,8.8,V,O,0,2005/09/14 00:00:00+00,12,1,65
-13492835.3035,4717801.8643,38.9729744,-121.2081886,7,Valley Oak,Quercus lobata,0,15.1,C,O,30,2005/09/11 00:00:00+00,3,3,66
-13489379.5133,4717341.775,38.9697611,-121.1771447,70,Interior Live Oak,Quercus wislizenii,0,11.5,V,O,10,2005/09/14 00:00:00+00,12,1,67
-13489394.4424,4717349.4557,38.9698147,-121.1772788,71,Interior Live Oak,Quercus wislizenii,8,9.8,V,O,10,2005/09/14 00:00:00+00,12,1,68
-13489395.0395,4717339.4707,38.969745,-121.1772842,72,Interior Live Oak,Quercus wislizenii,2,9.8,V,O,30,2005/09/14 00:00:00+00,12,2,69
-13489347.8636,4717323.3411,38.9696323,-121.1768604,73,Blue Oak,Quercus douglasii,3,8.8,V,O,20,2005/09/14 00:00:00+00,12,2,70
-13489355.6267,4717311.82,38.9695519,-121.1769301,74,Blue Oak,Quercus douglasii,0,10.7,M,O,20,2005/09/14 00:00:00+00,12,2,71
-13489446.9929,4717333.3261,38.9697021,-121.1777509,75,Interior Live Oak,Quercus wislizenii,1,9.7,V,O,20,2005/09/14 00:00:00+00,12,3,72
-13489408.7744,4717331.79,38.9696913,-121.1774075,76,Interior Live Oak,Quercus wislizenii,65,10.7,V,O,0,2005/09/14 00:00:00+00,12,3,73
-13489411.163,4717324.1092,38.9696377,-121.177429,77,Interior Live Oak,Quercus wislizenii,0,5.2,V,U,0,2005/09/14 00:00:00+00,12,3,74
-13490134.9262,4716982.3204,38.9672505,-121.1839307,78,Blue Oak,Quercus douglasii,0,24.2,M,O,0,2005/09/13 00:00:00+00,11,3,75
-13488831.9135,4716627.4868,38.9647722,-121.1722255,79,Interior Live Oak,Quercus wislizenii,0,10.4,V,O,10,2005/09/14 00:00:00+00,13,1,76
-13492849.6355,4717791.1108,38.9728993,-121.2083173,8,Valley Oak,Quercus lobata,0,15.3,V,U,30,2005/09/11 00:00:00+00,3,3,77
-13488826.5389,4716625.9508,38.9647614,-121.1721772,80,Interior Live Oak,Quercus wislizenii,0,5.4,V,U,30,2005/09/14 00:00:00+00,13,1,78
-13488833.1077,4716612.1263,38.9646649,-121.1722362,81,Interior Live Oak,Quercus wislizenii,51,10.6,V,O,10,2005/09/14 00:00:00+00,13,1,79
-13488985.3848,4716711.2019,38.9653569,-121.1736042,82,Interior Live Oak,Quercus wislizenii,21,24.2,M,O,0,2005/09/14 00:00:00+00,13,3,80
-13488987.1762,4716684.3208,38.9651691,-121.1736203,83,Interior Live Oak,Quercus wislizenii,15,9.7,C,O,0,2005/09/14 00:00:00+00,13,3,81
-13488990.7592,4716685.0889,38.9651745,-121.1736524,84,Interior Live Oak,Quercus wislizenii,0,5,V,U,30,2005/09/14 00:00:00+00,13,3,82
-13488490.9326,4716636.7032,38.9648365,-121.1691624,85,Valley Oak,Quercus lobata,0,25.8,M,O,0,2005/09/14 00:00:00+00,14,1,83
-13488496.9042,4716628.255,38.9647775,-121.1692161,86,Valley Oak,Quercus lobata,0,21.8,M,O,10,2005/09/14 00:00:00+00,14,1,84
-13488495.1127,4716645.1515,38.9648956,-121.1692,87,Valley Oak,Quercus lobata,0,10.9,V,U,30,2005/09/14 00:00:00+00,14,1,85
-13488609.7683,4716645.1515,38.9648956,-121.1702299,88,Valley Oak,Quercus lobata,0,14.7,V,O,0,2005/09/14 00:00:00+00,14,3,86
-13488593.6449,4716644.3834,38.9648902,-121.1700851,89,Valley Oak,Quercus lobata,0,22,M,O,10,2005/09/14 00:00:00+00,14,3,87
-13492847.844,4717794.1831,38.9729207,-121.2083012,9,Valley Oak,Quercus lobata,0,23,M,O,30,2005/09/12 00:00:00+00,3,3,88
-13488569.1611,4716629.791,38.9647883,-121.1698652,90,Valley Oak,Quercus lobata,0,22.4,M,O,10,2005/09/14 00:00:00+00,14,3,89
-13488131.4397,4717007.6663,38.9674276,-121.165933,91,Blue Oak,Quercus douglasii,0,7.6,V,O,0,2005/09/14 00:00:00+00,16,1,90
-13488142.1886,4716998.4497,38.9673632,-121.1660296,92,Blue Oak,Quercus douglasii,0,6.5,V,O,10,2005/09/14 00:00:00+00,16,1,91
-13488138.0085,4716998.4496,38.9673632,-121.1659921,93,Blue Oak,Quercus douglasii,0,8.8,V,O,10,2005/09/14 00:00:00+00,16,1,92
-13488198.3221,4716980.7845,38.9672398,-121.1665339,94,Blue Oak,Quercus douglasii,0,9.7,M,O,10,2005/09/14 00:00:00+00,16,2,93
-13488209.0711,4716959.2791,38.9670896,-121.1666304,95,Interior Live Oak,Quercus wislizenii,29,10,V,O,0,2005/09/14 00:00:00+00,16,2,94
-13488216.8341,4716960.0471,38.967095,-121.1667002,96,Blue Oak,Quercus douglasii,0,14,V,O,10,2005/09/14 00:00:00+00,16,2,95
-13488200.7108,4717030.708,38.9675885,-121.1665553,97,Interior Live Oak,Quercus wislizenii,8,9.2,V,O,20,2005/09/14 00:00:00+00,16,3,96
-13488210.8626,4717030.7079,38.9675885,-121.1666465,98,Interior Live Oak,Quercus wislizenii,19,6,V,O,30,2005/09/14 00:00:00+00,16,3,97
-13488213.2512,4717032.244,38.9675992,-121.166668,99,Blue Oak,Quercus douglasii,0,9.4,V,O,20,2005/09/14 00:00:00+00,16,3,98
