characteristic,sex,raceethnicity,yearvalue,earnings,standarderroronearnings,noteonearnings,countinthousands,standarderroroncountinthousands,noteoncount
Total,Female,"American Indian/Alaska Native, non-Hispanic",2000,20800.0,248.0,Reporting standards not met (too few cases for a reliable estimate).,4095.0,98.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,19450.0,234.0,Reporting standards not met (too few cases for a reliable estimate).,4117.0,80.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,19910.0,258.0,Reporting standards not met (too few cases for a reliable estimate).,3955.0,78.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,19970.0,220.0,Reporting standards not met (too few cases for a reliable estimate).,3971.0,79.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,19070.0,363.0,Reporting standards not met (too few cases for a reliable estimate).,4042.0,95.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,19010.0,813.0,Reporting standards not met (too few cases for a reliable estimate).,3927.0,81.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,20070.0,558.0,Reporting standards not met (too few cases for a reliable estimate).,3939.0,91.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,19830.0,332.0,Reporting standards not met (too few cases for a reliable estimate).,3940.0,101.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,17370.0,845.0,Reporting standards not met (too few cases for a reliable estimate).,3831.0,93.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,17040.0,618.0,Reporting standards not met (too few cases for a reliable estimate).,3690.0,88.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,15790.0,39.0,Reporting standards not met (too few cases for a reliable estimate).,3597.0,99.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,16310.0,375.0,Reporting standards not met (too few cases for a reliable estimate).,3413.0,94.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,15930.0,398.0,Reporting standards not met (too few cases for a reliable estimate).,3488.0,86.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,24000.0,490.0,Reporting standards not met (too few cases for a reliable estimate).,2379.0,75.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,22040.0,299.0,Reporting standards not met (too few cases for a reliable estimate).,2399.0,61.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,21700.0,372.0,Reporting standards not met (too few cases for a reliable estimate).,2377.0,61.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,21220.0,340.0,Reporting standards not met (too few cases for a reliable estimate).,2387.0,61.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,21880.0,722.0,Reporting standards not met (too few cases for a reliable estimate).,2465.0,69.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,21170.0,620.0,Reporting standards not met (too few cases for a reliable estimate).,2372.0,63.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,21400.0,843.0,Reporting standards not met (too few cases for a reliable estimate).,2406.0,60.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,20880.0,510.0,Reporting standards not met (too few cases for a reliable estimate).,2460.0,65.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,20140.0,923.0,Reporting standards not met (too few cases for a reliable estimate).,2373.0,76.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,19970.0,917.0,Reporting standards not met (too few cases for a reliable estimate).,2254.0,63.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,17830.0,381.0,Reporting standards not met (too few cases for a reliable estimate).,2222.0,75.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,18200.0,509.0,Reporting standards not met (too few cases for a reliable estimate).,2064.0,67.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,17960.0,346.0,Reporting standards not met (too few cases for a reliable estimate).,2177.0,69.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,18400.0,524.0,Reporting standards not met (too few cases for a reliable estimate).,1716.0,64.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,16860.0,553.0,Reporting standards not met (too few cases for a reliable estimate).,1718.0,52.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,18510.0,494.0,Reporting standards not met (too few cases for a reliable estimate).,1578.0,50.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,17470.0,710.0,Reporting standards not met (too few cases for a reliable estimate).,1585.0,50.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,15810.0,879.0,Reporting standards not met (too few cases for a reliable estimate).,1577.0,60.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,15280.0,916.0,Reporting standards not met (too few cases for a reliable estimate).,1555.0,49.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,17070.0,103.0,Reporting standards not met (too few cases for a reliable estimate).,1533.0,59.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,17280.0,709.0,Reporting standards not met (too few cases for a reliable estimate).,1480.0,65.0,Reporting standards not met (too few cases for a reliable estimate).
