objectid,cyclevalue,assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize,units,ctlakeid,nhdbasin,classid,useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_usename,ct_two_zero_two_zero_dw_use_attainment,impaired,shape_length,shape_area
1.0,2020,CT3600-00-3-L6_01,Glasgo Pond (Griswold/Voluntown),"Impoundment of Pachaug River, near Griswold/Voluntown border, begining on west side of Sheldon Road Crossing, and DS to east side of Route 201 crossing (Includes portion south of Route 165 crossing). Doaneville Pond portion NOT included.","LAKE, FRESHWATER",104.29,Acres,1019.0,1100001,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,22397.4939411983,4543021.89705898
2.0,2020,CT2104-00-1-L2_01,Long Pond (Ledyard/North Stonington),Ledyard/North Stonington border.,"LAKE, FRESHWATER",111.31,Acres,1683.0,1100003,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,24895.6327730097,4848731.4187925
3.0,2020,CT3206-00-1-L1_01,Morey Pond (Union/Ashford),Straddles Ashford - Union line and is split by Rte 84.,"LAKE, FRESHWATER",47.22,Acres,1909.0,1100002,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,12386.9198670979,2056898.25825571
4.0,2020,CT3600-00-3-L7_01,Pachaug Pond (Griswold),"Impoundment of Pachaug River, eastern Griswold.","LAKE, FRESHWATER",836.92,Acres,2134.0,1100001,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,77824.1758830208,36456081.6141571
5.0,2020,CT3400-00-2-L11_01,Quaddick Reservoir (Thompson),Impoundment of Fivemile River in Southeast corner of Thompson. Includes CT DEEP State swimming area in Quaddick State Park.,"LAKE, FRESHWATER",391.3,Acres,2337.0,1100001,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,65539.5657708328,17045110.406563
6.0,2020,CT3203-00-1-L1_01,Mashapaug Lake (Union),Northeastern Union near MA border.,"LAKE, FRESHWATER",297.92,Acres,1779.0,1100002,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,38090.2159112425,12977340.2934508
7.0,2020,CT7103-00-2-L5_01,Pembroke Lakes (Bridgeport),"Just upstream of Yellow Mill Channel, US side of RailRoad crossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)","LAKE, FRESHWATER",2.74,Acres,2381.0,1100006,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,3245.84224242884,119447.385118331
8.0,2020,CT8104-00-2-L5_01,Mamanasco Lake (Ridgefield),Northwest Ridgefield.,"LAKE, FRESHWATER",85.9,Acres,1756.0,2030101,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,Yes,11258.4021938634,3741697.38323461
9.0,2020,CT7409-00-1-L3_01,Putnam Lake Reservoir (Greenwich),"Impoundment of Horseneck Brook, just south of Rt. 15, Greenwich.","LAKE, FRESHWATER",95.56,Acres,2334.0,1100006,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Fully Supporting,Yes,14645.9219289448,4162510.79053793
10.0,2020,CT7105-10-1-L2_01,Forest Lake (Bridgeport),"Headwaters of Island Brook, a tributary to the Pequonnock River, Bpt.","LAKE, FRESHWATER",66.58,Acres,1501.0,1100006,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,13890.2632894758,2900470.57259109
