OBJECTID,TRACT,YEAR,EDG,Shape__Area,Shape__Length
2026,2500,2006,0,0.000117916550607333,0.0520502475018142
2027,2600,2006,0,0.000149118681747495,0.0507144599457063
2028,5600,2006,0,0.000357275615897379,0.102853186284302
2029,6800,2006,0,8.59462111293396e-05,0.038414197937941
2030,6000,2006,0,0.00015723495016573,0.0668395886457784
2031,5900,2006,0,0.000217008214349335,0.0786079093182879
2032,5700,2006,0,0.000595616721057013,0.153638446361827
2033,4900,2006,0,0.000131139368932054,0.0493550995412475
2034,5801,2006,0,0.00021803737126902,0.0881675850806519
2035,4800,2006,0,0.000160054485149885,0.0598933251189305
2036,4700,2006,1,0.000237890633343341,0.0756371247149321
2037,3200,2006,0,0.000247349756591575,0.114694686413892
2038,3500,2006,0,0.000153872611463157,0.053705450860666
2039,3400,2006,0,9.42779070101096e-05,0.0409841882038762
2040,3300,2006,0,0.000155273106884124,0.0581723390273726
2041,2800,2006,0,0.000117806075650151,0.0430440189281107
2042,2900,2006,0,0.000118143551844696,0.0436513780231625
2043,3000,2006,0,0.00017888558568302,0.054577084508621
2044,3100,2006,0,0.000257302393947612,0.0826069506232273
2045,1701,2006,0,0.000106972941466665,0.0557614796728038
2046,1702,2006,0,0.00015339873107223,0.059178155427237
2047,1600,2006,0,0.000231202849136025,0.0793844119564369
2048,1500,2006,0,0.000137318093948124,0.0467847134067514
2049,200,2006,0,0.000393998005165486,0.0837630669814513
2050,2700,2006,0,0.000190933996691456,0.0825740377831476
2051,2200,2006,0,0.000331308734075719,0.0974503104342816
2052,2400,2006,0,0.000117176468847902,0.0481586156788466
2053,2000,2006,0,0.000135632391447871,0.0512680672445529
2054,2100,2006,0,0.000163608778166235,0.054882709796404
2055,1900,2006,0,0.000199293836431025,0.0688837627496096
2056,1800,2006,0,0.000112983199414884,0.0493728725199169
2057,900,2006,0,0.000113850000161619,0.0651236808652226
2058,1300,2006,1,0.000141883711876289,0.0515105657505454
2059,1100,2006,0,0.000127085785607051,0.0469252614199373
2060,1000,2006,0,0.000114386455152271,0.0436458647824782
2061,1200,2006,0,0.000219803349409631,0.0713584200303691
2062,800,2006,0,0.000136825452955236,0.0492117330716874
2063,600,2006,0,0.000460058188764378,0.107713250183703
2064,700,2006,0,0.00015518679856541,0.0589745228581218
2065,100,2006,4,0.000221706090542284,0.0660422136234774
2066,300,2006,0,0.000145139423693763,0.0607851498101049
2067,4100,2006,0,0.000381802093215811,0.120917266196308
2068,5200,2006,1,0.000115522557734948,0.0454452002984051
2069,5100,2006,0,0.000105572425582068,0.0423061595079253
2070,5301,2006,0,6.50778824820009e-05,0.0382727388180878
2071,5000,2006,0,9.06897430468234e-05,0.0388500891304593
2072,4200,2006,0,0.000295094519060513,0.0849624818321201
2073,4301,2006,0,0.000117288412639027,0.0558367111152466
2074,4302,2006,1,3.96030541196524e-05,0.0256630969758588
2075,4000,2006,0,0.000297413282169146,0.096876024090113
2076,4400,2006,0,0.000118553204174532,0.043564896452133
2077,4500,2006,0,8.03577163424052e-05,0.037821995954508
2078,4600,2006,0,0.000185272743692622,0.137534403753179
2079,3600,2006,1,0.000143309114264412,0.0606068017155192
2080,3900,2006,0,0.000116645677735505,0.0466195359795243
