6.count,367967,350937
203.raceethnicity,"American Indian/Alaska Natvie, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
204.raceethnicity,"American Indian/Alayska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
287.raceethnicity,"American Indian/Alaska Natie, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
81.standard_erroron_count,g—,—
79.standard_erroron_count,***,—
3.count,380883,275729
10.standard_erroron_count,56750.9,57242.3
119.noteon_rate,Datas not available.,Data not available.
4.count,380883,416297
164.standard_erroron_count,16202.7,16022.7
172.noteon_count,Data not avaliable.,Data not available.
8.standard_erroron_count,56750.9,45897.6
9.standard_erroron_count,47923.7,59642.2
