characteristic,sex,raceethnicity,year,rateper_one_zero_zero_zero,standard_erroron_rate,noteon_rate,count,standard_erroron_count,noteon_count
Total,NULL,NULL,2000,15.3,2.38,NULL,367967,59229.6,NULL
Total,NULL,NULL,2001,15.7,2.27,NULL,380883,56750.9,NULL
Total,NULL,NULL,2002,11.1,2.01,NULL,380883,51377,NULL
Total,NULL,NULL,2003,16.5,2.49,NULL,380883,65031.8,NULL
Total,NULL,NULL,2004,11.9,1.85,NULL,299738,47923.7,NULL
Total,NULL,NULL,2005,13.8,2.25,NULL,367967,58842.3,NULL
Total,NULL,NULL,2006,15.2,2.32,NULL,388254,60899.7,NULL
Total,NULL,NULL,2007,10.2,1.74,NULL,259796,56750.9,NULL
Total,NULL,NULL,2008,12.5,2.32,NULL,311837,47923.7,NULL
Total,NULL,NULL,2009,11.1,2.26,NULL,272833,56750.9,NULL
Total,NULL,NULL,2010,7.2,1.58,NULL,174790,39648.1,NULL
Total,NULL,NULL,2011,8.5,1.63,NULL,206783,40708.4,NULL
Total,NULL,NULL,2012,5.9,1.27,NULL,147120,32285.5,NULL
Total - Male,Male,NULL,2000,21.0,3.61,NULL,258058,46495.3,NULL
Total - Male,Male,NULL,2001,20.8,3.4,NULL,257074,43852.4,NULL
Total - Male,Male,NULL,2002,12.9,2.72,NULL,164623,35980,NULL
Total - Male,Male,NULL,2003,21.8,3.7,NULL,281019,49902.7,NULL
Total - Male,Male,NULL,2004,15.6,2.79,NULL,201837,37241.1,NULL
Total - Male,Male,NULL,2005,18.5,3.4,NULL,239794,45815.5,NULL
Total - Male,Male,NULL,2006,14.3,2.81,NULL,187123,37899,NULL
Total - Male,Male,NULL,2007,15.6,2.81,NULL,203362,38352.5,NULL
Total - Male,Male,NULL,2008,16.6,3.55,NULL,212091,46791.1,NULL
Total - Male,Male,NULL,2009,14.9,3.41,NULL,186456,44418.7,NULL
Total - Male,Male,NULL,2010,9.0,2.27,NULL,111677,29157.2,NULL
Total - Male,Male,NULL,2011,9.6,2.21,NULL,120278,28367.6,NULL
Total - Male,Male,NULL,2012,7.7,1.96,NULL,98819,25384.8,NULL
Total - Female,Female,NULL,2000,9.4,2.18,NULL,109909,26236.9,NULL
Total - Female,Female,NULL,2001,10.5,2.26,NULL,123809,27431.8,NULL
Total - Female,Female,NULL,2002,9.2,2.22,NULL,111106,27510.3,NULL
Total - Female,Female,NULL,2003,11.0,2.43,NULL,135277,30758.1,NULL
Total - Female,Female,NULL,2004,7.9,1.89,NULL,97900,23733.8,NULL
