characteristic,sex,raceethnicity,year,percentage,standard_erroron_percentage,noteon_percentage,countinthousands,standard_erroron_countinthousands,noteon_count
Total,NULL,NULL,2000,13.9%,0.3,NULL,3677.0,83.9,NULL
Total,NULL,NULL,2001,14.9%,0.4,NULL,3983.0,90.0,NULL
Total,NULL,NULL,2002,16.1%,0.4,NULL,4384.0,92.1,NULL
Total,NULL,NULL,2003,16%,0.4,NULL,4398.0,92.2,NULL
Total,NULL,NULL,2004,15.5%,0.4,NULL,4303.0,91.7,NULL
Total,NULL,NULL,2005,16.1%,0.4,NULL,4511.0,111.5,NULL
Total,NULL,NULL,2006,15.2%,0.3,NULL,4250.0,95.9,NULL
Total,NULL,NULL,2007,14.9%,0.3,NULL,4225.0,88.4,NULL
Total,NULL,NULL,2008,15.4%,0.3,NULL,4364.0,89.3,NULL
Total,NULL,NULL,2009,18.2%,0.4,NULL,5214.0,112.4,NULL
Total,NULL,NULL,2010,19.2%,0.4,NULL,5624.0,117.4,NULL
Total,NULL,NULL,2011,17.9%,0.3,NULL,5304.0,100.1,NULL
Total,NULL,NULL,2012,16.8%,0.4,NULL,5068.0,107.3,NULL
Total,NULL,NULL,2013,17.3%,0.4,NULL,5181.0,120.9,NULL
Total - Male,Male,NULL,2000,10.7%,0.4,NULL,1417.0,57.1,NULL
Total - Male,Male,NULL,2001,12.2%,0.5,NULL,1644.0,65.4,NULL
Total - Male,Male,NULL,2002,13.8%,0.5,NULL,1890.0,69.3,NULL
Total - Male,Male,NULL,2003,13.8%,0.5,NULL,1903.0,69.5,NULL
Total - Male,Male,NULL,2004,13%,0.5,NULL,1846.0,68.7,NULL
Total - Male,Male,NULL,2005,13.7%,0.5,NULL,1925.0,71.9,NULL
Total - Male,Male,NULL,2006,12.5%,0.4,NULL,1759.0,58.9,NULL
Total - Male,Male,NULL,2007,12.3%,0.4,NULL,1777.0,58.3,NULL
Total - Male,Male,NULL,2008,12.7%,0.4,NULL,1831.0,56.1,NULL
Total - Male,Male,NULL,2009,18%,0.5,NULL,2612.0,76.1,NULL
Total - Male,Male,NULL,2010,18.6%,0.5,NULL,2754.0,80.7,NULL
Total - Male,Male,NULL,2011,17.4%,0.5,NULL,2618.0,71.1,NULL
Total - Male,Male,NULL,2012,15.7%,0.5,NULL,2385.0,73.5,NULL
Total - Male,Male,NULL,2013,16.6%,0.5,NULL,2517.0,78.6,NULL
Total - Female,Female,NULL,2000,17.1%,0.5,NULL,2260.0,69.8,NULL
Total - Female,Female,NULL,2001,17.5%,0.6,NULL,2339.0,75.5,NULL
Total - Female,Female,NULL,2002,18.3%,0.6,NULL,2494.0,77.3,NULL
Total - Female,Female,NULL,2003,18.3%,0.6,NULL,2496.0,77.3,NULL
Total - Female,Female,NULL,2004,18%,0.6,NULL,2458.0,76.9,NULL
Total - Female,Female,NULL,2005,18.6%,0.6,NULL,2587.0,79.2,NULL
Total - Female,Female,NULL,2006,18%,0.5,NULL,2491.0,70.4,NULL
Total - Female,Female,NULL,2007,17.5%,0.5,NULL,2448.0,69.1,NULL
Total - Female,Female,NULL,2008,18.1%,0.5,NULL,2532.0,67.4,NULL
Total - Female,Female,NULL,2009,18.4%,0.5,NULL,2602.0,69.1,NULL
Total - Female,Female,NULL,2010,19.8%,0.5,NULL,2870.0,77.4,NULL
Total - Female,Female,NULL,2011,18.4%,0.5,NULL,2686.0,72.2,NULL
Total - Female,Female,NULL,2012,17.9%,0.5,NULL,2682.0,76.6,NULL
Total - Female,Female,NULL,2013,17.9%,0.5,NULL,2664.0,80.4,NULL
Total,NULL,"White, non-Hispanic",2000,10%,0.4,NULL,1725.0,61.6,NULL
Total - Male,NULL,"White, non-Hispanic",2001,11.3%,0.4,NULL,1890.0,69.3,NULL
Total - Female,NULL,"White, non-Hispanic",2002,12.7%,0.4,NULL,2163.0,73.2,NULL
Total - Male,NULL,"White, non-Hispanic",2003,12.3%,0.4,NULL,2102.0,72.4,NULL
Total,NULL,"White, non-Hispanic",2004,12%,0.4,NULL,2089.0,72.2,NULL
Total - Male,NULL,"White, non-Hispanic",2005,12.6%,0.5,NULL,2181.0,83.3,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2006,12.1%,0.4,NULL,2110.0,61.8,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2007,11.9%,0.4,NULL,2079.0,77.1,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2008,12%,0.4,NULL,2106.0,68.1,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2009,15.5%,0.5,NULL,2749.0,87.2,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2010,15.5%,0.5,NULL,2754.0,80.5,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2011,15.2%,0.5,NULL,2662.0,87.7,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2012,13.5%,0.4,NULL,2299.0,69.9,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2013,14.3%,0.5,NULL,2381.0,83.5,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2000,23.9%,1.2,NULL,921.0,40.2,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2001,24.2%,1.3,NULL,899.0,41.5,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2002,24.9%,1.3,NULL,947.0,41.8,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2003,25.6%,1.3,NULL,949.0,41.8,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2004,25.2%,1.3,NULL,922.0,41.7,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2005,25.1%,1.1,NULL,958.0,43.0,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2006,23.3%,1.0,NULL,907.0,40.0,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2007,22.8%,1.0,NULL,888.0,40.6,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2008,23.2%,1.0,NULL,911.0,41.0,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2009,25.3%,1.2,NULL,1013.0,48.0,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2010,28.8%,1.2,NULL,1175.0,50.0,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2011,24.1%,1.1,NULL,1015.0,44.7,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2012,24.2%,1.1,NULL,1036.0,47.6,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2013,24.4%,1.1,NULL,1067.0,50.0,NULL
Total - Hispanic,NULL,Hispanic,2000,21.9%,1.3,NULL,867.0,56.8,NULL
Total - Hispanic,NULL,Hispanic,2001,20.6%,1.1,NULL,988.0,38.4,NULL
Total - Hispanic,NULL,Hispanic,2002,21.5%,1.1,NULL,1048.0,38.1,NULL
Total - Hispanic,NULL,Hispanic,2003,22.2%,1.1,NULL,1069.0,38.0,NULL
Total - Hispanic,NULL,Hispanic,2004,20.6%,1.0,NULL,1024.0,38.3,NULL
Total - Hispanic,NULL,Hispanic,2005,22%,0.7,NULL,1094.0,37.3,NULL
Total - Hispanic,NULL,Hispanic,2006,19.5%,0.7,NULL,950.0,36.3,NULL
Total - Hispanic,NULL,Hispanic,2007,19.6%,0.8,NULL,995.0,40.7,NULL
Total - Hispanic,NULL,Hispanic,2008,21.4%,0.8,NULL,1074.0,38.9,NULL
Total - Hispanic,NULL,Hispanic,2009,22.8%,0.8,NULL,1158.0,39.7,NULL
Total - Hispanic,NULL,Hispanic,2010,24.4%,0.7,NULL,1333.0,41.4,NULL
Total - Hispanic,NULL,Hispanic,2011,22.7%,0.7,NULL,1310.0,40.6,NULL
Total - Hispanic,NULL,Hispanic,2012,21.2%,0.8,NULL,1322.0,47.8,NULL
Total - Hispanic,NULL,Hispanic,2013,20.8%,0.7,NULL,1310.0,47.3,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2000,9.6%,1.5,NULL,112.0,18.1,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2001,10.5%,1.6,NULL,136.0,20.9,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2002,10.8%,1.5,NULL,144.0,21.5,NULL
