retailer,name,street,city,state,zip,quick_draw,latitude,longitude,georeference
80245,PIT STOP,140 58TH ST,BROOKLYN,NY,11220,,40.645362,-74.022922,POINT (-74.022922 40.645362)
59170,MARYANS,4921 BROADWAY,DEPEW,NY,14043,Y,42.901697,-78.692845,POINT (-78.692845 42.901697)
101076,FRED'S,22 WATER ST,FREDONIA,NY,14063,Y,42.439685,-79.330354,POINT (-79.330354 42.439685)
104071,76 GAS,494 N MAIN ST,BREWSTER,NY,10509,,41.397821,-73.619307,POINT (-73.619307 41.397821)
110105,KITCHENS ON THE RIDGE,6968 RIDGE RD,SODUS,NY,14551,Y,43.23483,-77.05223,POINT (-77.05223 43.23483)
40103,MIRABITO #25-OXFORD,10 N CANAL ST,OXFORD,NY,13830,Y,42.442855,-75.596863,POINT (-75.596863 42.442855)
79643,2001 GOURMET DELI,2001 CLINTON AVE,BRONX,NY,10457,Y,40.846322,-73.888885,POINT (-73.888885 40.846322)
111842,117-17 GUY R BREWER BLVD LIQUO,11701 GUY R BREWER BLVD,JAMAICA,NY,11434,,40.684174,-73.7827,POINT (-73.7827 40.684174)
109275,SHUN LE INC,47 CATHERINE ST,NEW YORK,NY,10038,,40.712804,-73.997116,POINT (-73.997116 40.712804)
112440,FRONT STREET FARMERS MARKET IN,1275 FRONT ST,UNIONDALE,NY,11553,,40.711512,-73.58336,POINT (-73.58336 40.711512)
110570,MORLEYS AMERICAN GRILL,240 E ORVIS ST,MASSENA,NY,13662,Y,44.93228,-74.87906,POINT (-74.87906 44.93228)
106276,7-ELEVEN #25160B,660 MONTAUK HWY,WEST BABYLON,NY,11704,Y,40.685486,-73.346432,POINT (-73.346432 40.685486)
88698,LONE STAR NEWS INC,501 E 86TH ST,NEW YORK,NY,10028,,40.775892,-73.947077,POINT (-73.947077 40.775892)
48451,DARI-DEL INC,2000 BLEECKER ST,UTICA,NY,13501,Y,43.091739,-75.196488,POINT (-75.196488 43.091739)
96402,RITE AID #2612,344 AVE X,BROOKLYN,NY,11223,Y,40.590452,-73.970338,POINT (-73.970338 40.590452)
89444,DAN'S SUPREME SUPERMARKETS INC,540 WEST 235TH ST,BRONX,NY,10463,Y,40.885488,-73.909084,POINT (-73.909084 40.885488)
102117,THE TAVERN,114 ELM ST,PENN YAN,NY,14527,Y,42.660803,-77.054424,POINT (-77.054424 42.660803)
112784,GRAND UNION OF SHERILL,87 E. STATE ST.,SHERRILL,NY,13461,Y,43.0755,-75.5947,POINT (-75.5947 43.0755)
106284,7 ELEVEN STORE #35154A,3725 SOUTH PARK AVE,BUFFALO,NY,14219,Y,42.79719,-78.823866,POINT (-78.823866 42.79719)
40684,WEGMANS #30,6789 E GENESEE ST,FAYETTEVILLE,NY,13066,Y,43.031205,-76.052536,POINT (-76.052536 43.031205)
98044,ROOSEVELT CANDY GROCERY CORP,75-08 ROOSEVELT AVE,JACKSON HEIGHTS,NY,11372,Y,40.746951,-73.890424,POINT (-73.890424 40.746951)
15577,GREENPOINT WINE & LIQUORS,89 NASSAU AVE,BROOKLYN,NY,11222,Y,40.723825,-73.950621,POINT (-73.950621 40.723825)
108668,DANNY'S PHARMACY II,110 WEST END AVE,NEW YORK,NY,10023,,40.77483,-73.98784,POINT (-73.98784 40.77483)
76774,MALCHO'S 480 PLANK ROAD,480 PLANK RD,WEBSTER,NY,14580,,43.18246,-77.505738,POINT (-77.505738 43.18246)
89242,DITMAS GAS & REPAIR INC,852 CONEY ISLAND AVE,BROOKLYN,NY,11218,Y,40.636657,-73.968114,POINT (-73.968114 40.636657)
113156,BROADWAY EXOTICS & SMOKE CORP,3633 BROADWAY,NEW YORK,NY,10031,,40.829482,-73.948577,POINT (-73.948577 40.829482)
11727,BALLARD PHARMACY,226 PROSPECT PARK WEST,BROOKLYN,NY,11215,Y,40.659832,-73.980843,POINT (-73.980843 40.659832)
38094,SIRAJCO FOOD MART,199 COLUMBIA ST,COHOES,NY,12047,,42.771997,-73.712286,POINT (-73.712286 42.771997)
89530,Q & Q DISCOUNT,80-02 37TH AVE,JACKSON HEIGHTS,NY,11372,Y,40.749555,-73.886133,POINT (-73.886133 40.749555)
112676,LUCKY MOON CONVIENCE INC,872 JAY ST,ROCHESTER,NY,14611,,43.159607,-77.644259,POINT (-77.644259 43.159607)
102036,TOPS MARKETS #435,6179 RT 96,FARMINGTON,NY,14425,Y,42.974354,-77.362598,POINT (-77.362598 42.974354)
12969,SHOREVIEW CARDS & GIFTS,2086 ROCKAWAY PKWY,BROOKLYN,NY,11236,Y,40.632245,-73.888099,POINT (-73.888099 40.632245)
96334,ATN CHECK CASHING,122-11 GUY R BREWER BLVD,JAMAICA,NY,11434,,40.679142,-73.77982,POINT (-73.77982 40.679142)
102078,226 JIMMY DELI GROCERY CORP,226 VAN DUZER ST,STATEN ISLAND,NY,10301,,40.632478,-74.077266,POINT (-74.077266 40.632478)
78304,SULAI MINIMART INC,1737 2ND AVE,NEW YORK,NY,10128,,40.780361,-73.950151,POINT (-73.950151 40.780361)
