OBJECTID,ADDRESS,CITY,STATE,ZIP,MAIN_PHONE,ADM_UNIT_C
1,2300 River Frontage Road,Silt,Colorado,81652,970-876-9000,COG02000
2,2103 E. Park Ave.,Kremmling,Colorado,80459,970-724-3000,CON02000
3,455 Emerson St.,Craig,Colorado,81625,970-826-5000,CON01000
4,220 E. Market St.,Meeker,Colorado,81641,970-878-3800,CON05000
5,29211 Highway 184,Dolores,Colorado,81323,970-882-7296,COS01000
6,2465 S. Townsend Ave.,Montrose,Colorado,81401,970-240-5300,COS05000
7,2815 H Road,Grand Junction,Colorado,81506,970-244-3000,COG01000
8,1313 U.S. Highway 160,Monte Vista,Colorado,81144,719-852-7074,COF03000
9,3028 E. Main St.,Canon City,Colorado,81212,719-269-8500,COF02000
10,2500 E. New York Ave.,Gunnison,Colorado,81230,970-642-4940,COS06000
