2346.countytwo,Cualebra Municipio,Culebra Municipio
2065.statecounty,OH_Clargk,OH_Clark
1415.countytwo,Bentn ,Benton 
1767.county,Bensnon ,Benson 
1184.statevalue,AM,MA
996.statevalue,S,KS
406.county,Bvrooks ,Brooks 
822.statevalue,NI,IN
833.fipstwo,1f8061,f18061
94.county,Washnigton ,Washington 
425.statecounty,GA_oCbb,GA_Cobb
1081.statevalue,YK,KY
213.fipstwo,cf06043,f06043
475.countytwo,Johnpson ,Johnson 
1345.countytwo,Goodhuec ,Goodhue 
954.statevalue,KhS,KS
2700.fipstwo,fm48177,f48177
1615.fipstwo,hf30013,f30013
3182.county,Marcshall ,Marshall 
746.statecounty,IL_Kakakee,IL_Kankakee
910.statecounty,KS_Cofey,KS_Coffey
842.statevalue,N,IN
171.statevalue,R,AR
2129.statecounty,OHStark,OH_Stark
1050.fipstwo,21101,f21101
3065.statevalue,WzA,WA
363.fipstwo,12077,f12077
168.fipstwo,0f5143,f05143
1012.statevalue,dKY,KY
293.statevalue,O,CO
1837.county,Cming ,Cuming 
1124.county,Avyoelles Parish,Avoyelles Parish
1864.statevalue,EN,NE
2224.fipstwo,f4101g1,f41011
1671.county,Beauforte ,Beaufort 
1173.countytwo,Tenass ,Tensas 
469.countytwo,rIwin ,Irwin 
948.statevalue,KmS,KS
1965.fipstwo,f35054,f35045
1199.fipstwo,f2k4003,f24003
1801.statecounty,ND_Ranosm,ND_Ransom
396.county,Bake r,Baker 
394.countytwo,Atkinso ,Atkinson 
2512.fipstwo,f41625,f46125
3028.countytwo,Wyteh ,Wythe 
1718.countytwo,enoir ,Lenoir 
3059.fipstwo,f53052,f53025
2284.fipstwo,f420w59,f42059
352.statevalue,LF,FL
1555.county,Itawmaba ,Itawamba 
3103.statevalue,IW,WI
964.county,Oage ,Osage 
214.statecounty,CAM_endocino,CA_Mendocino
321.county,Windbham ,Windham 
1048.statevalue,KwY,KY
3072.countytwo,PendO reille ,Pend Oreille 
272.statevalue,O,CO
33.fipstwo,f01070,f01007
2083.statevalue,HO,OH
1825.countytwo,Boy d,Boyd 
2230.statevalue,RO,OR
1282.fipstwo,f6089,f26089
793.fipstwo,yf17185,f17185
2395.county,Vega Baja Municikpio,Vega Baja Municipio
583.fipstwo,1f9051,f19051
209.countytwo,Lssen ,Lassen 
388.statevalue,FoL,FL
1189.countytwo,Fanklin ,Franklin 
903.statevalue,SK,KS
3213.fipstwo,56001,f56001
1617.fipstwo,f03017,f30017
2607.county,Waye ,Wayne 
1120.county,Acadia Prish,Acadia Parish
1368.statecounty,MN_Mille Lcs,MN_Mille Lacs
2689.statecounty,TX_oard,TX_Foard
2660.countytwo,ooke ,Cooke 
