17.fda_name_product_name,"Metopolol Tartrate, 50mg 1000","Metoprolol Tartrate, 50mg 1000"
16.market_date,v09/09/2021,09/09/2021
17.date_transferred_fromddrtomdr,11/01/z2021,11/01/2021
21.date_transferred_fromddrtomdr,11/01/202m1,11/01/2021
1.unit_type,E ,EA 
9.tec_code,P,AP
6.unit_type,M L,ML 
12.fda_name_product_name,meopenem 500mg 10 x 20ml vial,meropenem 500mg 10 x 20ml vial
2.tec_code,P,AP
7.market_date,20/12/2021,02/12/2021
10.market_date,10/92/2021,10/29/2021
6.date_transferred_fromddrtomdr,11/01/l2021,11/01/2021
5.drug_category,***,N
9.market_date,09/5/2020,09/25/2020
14.fda_name_product_name,"Docetaxel Injection, USP 80gm/8mL - 1 x 8mL","Docetaxel Injection, USP 80mg/8mL - 1 x 8mL"
13.drug_category,,N
7.drug_category,dN,N
22.fda_approval_date,12/2m9/2020,12/29/2020
13.date_transferred_fromddrtomdr,110/1/2021,11/01/2021
6.tec_code,PA,AP
10.tec_code,iAB,AB
