ndc_one,ndc_two,ndc_three,ndc_one_one,fda_name_product_name,cod_status,fda_application_number_otc_monograph_number,drug_category,drug_type,unit_type,upps,tec_code,fda_approval_date,market_date,date_transferred_fromddrtomdr
143,9428,1,143942801,FOSAPREPITANT 150mg/10mL NOVA+ x 1,1,213106,N,1,EA,1.0,AP,09/08/2020,10/12/2020,11/01/2021
264,4204,52,264420452,MAGNESIUM SULFATE IN WATER FOR INJECTION,1,207967,N,1,ML,50.0,AP,04/26/2021,10/04/2021,11/01/2021
264,4205,52,264420552,MAGNESIUM SULFATE IN WATER FOR INJECTION,1,207967,N,1,ML,50.0,AP,04/26/2021,10/04/2021,11/01/2021
264,4206,54,264420654,MAGNESIUM SULFATE IN WATER FOR INJECTION,1,207967,N,1,ML,100.0,AP,04/26/2021,10/04/2021,11/01/2021
50383,312,84,50383031284,"Oxcarbazepine Oral Suspension, USP",1,211420,N,1,ML,250.0,AB,07/09/2021,09/02/2021,11/01/2021
60505,6119,0,60505611900,Micafungin 50mg,1,208366,N,1,ML,1.0,AP,11/05/2020,02/12/2021,11/01/2021
60505,6120,0,60505612000,Micafungin 100mg,1,208366,N,1,ML,1.0,AP,11/05/2020,02/12/2021,11/01/2021
66794,234,44,66794023444,Dexmedetomidine Hydrochloride 200mcg/50ml,1,209307,N,1,ML,50.0,AP,06/03/2020,09/24/2020,11/01/2021
66794,235,41,66794023541,Dexmedetomidine Hydrochloride 400mcg/100ml,1,209307,N,1,ML,100.0,AP,06/03/2020,09/25/2020,11/01/2021
68462,135,8,68462013508,"Abiraterone Acetate Tablets USP, 250 mg",1,209227,N,1,TAB,1.0,AB,10/16/2019,10/29/2021,11/01/2021
70594,75,1,70594007501,meropenem 500mg 20ml vial,1,206141,N,1,EA,1.0,NR,06/28/2021,09/07/2021,11/01/2021
70594,75,2,70594007502,meropenem 500mg 10 x 20ml vial,1,206141,N,1,EA,1.0,NR,06/28/2021,09/07/2021,11/01/2021
70700,174,22,70700017422,"Docetaxel Injection, USP 20mg/2mL - 1 x 2mL",1,213510,N,1,ML,2.0,AP,07/01/2021,09/30/2021,11/01/2021
70700,175,22,70700017522,"Docetaxel Injection, USP 80mg/8mL - 1 x 8mL",1,213510,N,1,ML,8.0,AP,07/01/2021,09/30/2021,11/01/2021
70700,176,22,70700017622,"Docetaxel Injection, USP 160mg/16mL - 1 x 16mL",1,213510,N,1,ML,16.0,AP,07/01/2021,09/30/2021,11/01/2021
72485,113,10,72485011310,Isoproterenol HCI INJ USP,1,210845,N,1,ML,50.0,AP,02/16/2021,09/09/2021,11/01/2021
72888,5,0,72888000500,"Metoprolol Tartrate, 50mg 1000",1,200981,N,1,TAB,1000.0,AB,10/28/2014,09/07/2021,11/01/2021
72888,10,1,72888001001,"Baclofen, 10mg 100's",1,209102,N,1,TAB,100.0,AB,11/28/2017,08/11/2021,11/01/2021
72888,22,1,72888002201,"Metoprolol Tartrate, 37.5mg 100",1,200981,N,1,TAB,100.0,AB,10/28/2014,09/03/2021,11/01/2021
72888,23,1,72888002301,"Metoprolol Tartrate, 75mg 100",1,200981,N,1,TAB,100.0,AB,10/28/2014,09/07/2021,11/01/2021
72888,62,5,72888006205,"Buspirone HCl, 5mg 500",1,75521,N,1,TAB,500.0,AB,12/29/2020,09/22/2021,11/01/2021
72888,64,5,72888006405,"Buspirone HCl, 10mg 500",1,75521,N,1,TAB,500.0,AB,12/29/2020,09/15/2021,11/01/2021
