Citing Patent,Filing date,Publication date,Applicant,Title
US6599310,"Jun 29, 2001","Jul 29, 2003","Quill Medical, Inc.",Suture method
US6848152,"Aug 31, 2001","Feb 1, 2005","Quill Medical, Inc.",Method of forming barbs on a suture and apparatus for performing same
US6911037,"Mar 6, 2002","Jun 28, 2005","Ev3, Inc.",Retrievable septal defect closure device
US7021316 *,"Aug 7, 2003","Apr 4, 2006","Tools For Surgery, Llc",Device and method for tacking a prosthetic screen
US7279612,"Apr 20, 2000","Oct 9, 2007","Kci Licensing, Inc.",Wound treatment apparatus employing reduced pressure
US7326213 *,"Dec 8, 2000","Feb 5, 2008",Benderev Theodore V,"Systems for securing sutures, grafts and soft tissue to bone and periosteum"
US7371253,"Aug 9, 2004","May 13, 2008","Quill Medical, Inc.",Suture anchor and method
US7381211 *,"Aug 21, 2002","Jun 3, 2008","Kci Licensing, Inc.",Medical closure screen device and method
US7455681,"Sep 13, 2004","Nov 25, 2008","Wound Care Technologies, Llc",Wound closure product
US7491541,"Sep 20, 2007","Feb 17, 2009","Kci Licensing, Inc.",Method for quantitation of collagen in tissue
US7510566,"Apr 17, 2003","Mar 31, 2009","Coapt Systems, Inc.","Multi-point tissue tension distribution device and method, a chin lift variation"
US7540848,"Oct 10, 2006","Jun 2, 2009","Kci Licensing, Inc.",Negative pressure treatment system with heating and cooling provision
US7547326,"Jan 3, 2006","Jun 16, 2009",Jmea Corporation,Disc annulus repair system
US7553306,"Oct 13, 1999","Jun 30, 2009","Kci Licensing, Inc.",Negative pressure therapy using wall suction
US7582103 *,"Nov 30, 2006","Sep 1, 2009","Ev3 Endovascular, Inc.",Tissue opening occluder
US7601164,"May 21, 2004","Oct 13, 2009",Tze Liang Woffles Wu,Surgical thread
US7608108,"Apr 24, 2006","Oct 27, 2009",Jmea Corporation,Tissue repair system
US7611500,"Oct 16, 1997","Nov 3, 2009","Kci Licensing, Inc.",Wound therapy device and related methods
US7632313,"Apr 29, 2005","Dec 15, 2009",Jmea Corporation,Disc repair system
US7645269,"Sep 19, 2006","Jan 12, 2010","Kci Licensing, Inc.",Gradient wound treatment system and method
US7678102,"Nov 8, 2000","Mar 16, 2010","Kci Licensing, Inc.",Wound suction device with multi lumen connector
US7713743,"Feb 9, 2009","May 11, 2010","Kci Licensing, Inc.",Method for quantitation of collagen in tissue
US7749249 *,"May 19, 2006","Jul 6, 2010",Kardium Inc.,Method and device for closing holes in tissue
US7754936,"Oct 5, 2007","Jul 13, 2010",Keith Patrick Heaton,Wound treatment apparatus employing reduced pressure
US7759538,"Jul 17, 2006","Jul 20, 2010",Wilhelm Fleischmann,Process and device for application of active substances to a wound surface
US7770855,"Sep 19, 2007","Aug 10, 2010","Kci Licensing, Inc",Hanging apparatus for fixing a medical device to a substantially horizontal or substantially vertical support structure
US7794438,,"Sep 14, 2010",Alan Wayne Henley,Wound treatment apparatus
US7799004,"Mar 4, 2002","Sep 21, 2010","Kci Licensing, Inc.",Negative pressure wound treatment apparatus and infection identification system and method
US7811269,"Feb 28, 2006","Oct 12, 2010","Kci Licensing, Inc.",Negative pressure assisted tissue treatment system
US7837610,"Aug 2, 2006","Nov 23, 2010",Kardium Inc.,System for improving diastolic dysfunction
US7837706,"May 31, 2006","Nov 23, 2010","Boston Scientific Scimed, Inc.","Tissue attachment device, system, and method"
US7850700 *,"May 19, 2004","Dec 14, 2010",Sakura Chester Y,Tissue lifting device and method
US7850894,"May 2, 2007","Dec 14, 2010","Ethicon, Inc.",Tissue holding devices and methods for making the same
US7891062 *,"Mar 7, 2006","Feb 22, 2011",Darryl William Harper,Lip closure device for use with human remains and method of forming same
US7909851,,"Mar 22, 2011","Biomet Sports Medicine, Llc",Soft tissue repair device and associated methods
US7927352,"Jul 3, 2008","Apr 19, 2011","Wound Care Technologies, Llc",Method of closing a wound using a wound closure product
US7951065,"Jun 18, 2007","May 31, 2011",Cook Medical Technologies Llc,Tension free pelvic floor repair
US7967841,"Jun 2, 2008","Jun 28, 2011","Ethicon, Inc.",Methods for using looped tissue-grasping devices
US7972347,"Sep 27, 2006","Jul 5, 2011","Surgical Security, Llc","Device for surgical repair, closure, and reconstruction"
US7972362,"Jul 3, 2008","Jul 5, 2011","Wound Care Technologies, Llc",Wound closure product
US7976520,"Jul 11, 2006","Jul 12, 2011",Nulens Ltd.,Eye wall anchored fixtures
US7981668,"Jan 17, 2007","Jul 19, 2011",Kci Licensing Inc.,System and method for applying reduced pressure to cell culture
US8000777,"Sep 18, 2007","Aug 16, 2011","Kci Licensing, Inc.",System and method for tracking healing progress of tissue
US8002313,"Apr 24, 2007","Aug 23, 2011","Kci Licensing, Inc.",Inline swivel connection for multi-lumen tubing
US8057449,,"Nov 15, 2011",Kci Licensing Inc.,Apparatus and method for administering reduced pressure treatment to a tissue site
US8061360,"Sep 18, 2007","Nov 22, 2011","Kci Licensing, Inc.",System and method for locating fluid leaks at a drape of a reduced pressure delivery system
US8070818,"Mar 27, 2009","Dec 6, 2011",Jmea Corporation,Disc annulus repair system
US8079991,"May 30, 2007","Dec 20, 2011",Kci Licensing Inc.,Wound suction peg apparatus
US8096515,"Jul 12, 2010","Jan 17, 2012","Kci Licensing, Inc.",Hanging apparatus for fixing a medical device to a substantially horizontal or substantially vertical support structure
US8100873,"Feb 27, 2009","Jan 24, 2012","Kci Licensing, Inc.",System and method for collecting exudates
US8100940 *,"Sep 30, 2002","Jan 24, 2012","Quill Medical, Inc.",Barb configurations for barbed sutures
US8110216,"Nov 9, 2007","Feb 7, 2012","Kci Licensing, Inc.",Methods of making porous bioresorbable dressing comprising casing comprising microspheres
US8118834,"Dec 19, 2008","Feb 21, 2012","Angiotech Pharmaceuticals, Inc.",Composite self-retaining sutures and method
US8150499,"Nov 19, 2010","Apr 3, 2012",Kardium Inc.,Automatic atherectomy system
US8152783,"Jun 26, 2008","Apr 10, 2012","Kci Licensing, Inc.",Activation of bone and cartilage formation
