yearvalue,statevalue,county,hai,operativeprocedure,facilityid(double precision),facilityname,hospitalcategoryriskadjustment,facilitytype,procedurecount(long),infectionsreported(long),infectionspredicted(double precision)
2002H1,California,LosAngeles,Surgical Site Infection (SSI),STATE OF CALIFORNIA POOLED DATA,90001116.0,UC Sna Diego Health La Jolla,Aute Care Hospital,Major Teaching,262192,1343,1735.29
2020H1,California,Los Angeles,Surgical Site Infecitons (SSI),STATE OF CALIFORNIA POOLED DATA - Abdominal aortic aneurysm repair,90001116.0,UC San Diego Hmealth La Jolla,Acute Care Hospital,Major Teaching,177,0,1.2
020H1,Caliofrnia,os Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Appendix surgery,90001116.0,UC San Diego Health La Jolla,Ahcute Care Hospital,Majro Teaching,11954,28,48.23
2020H1,California,Los Angeles,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Bile duct, liver or pancreatic surgery",90001116.0,UC San Diego Health La Jolla,Acute Care Hosital,Major Teaching,3479,92,101.5
020H1,California,Los Anegles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Cardiac surgery,90001116.0,UC Sajn Diego Health La Jolla,Acute Care Hospital,Major eaching,5038,22,20.12
2020H1,Cailfornia,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Cesareano section,90001116.0,U CSan Diego Health La Jolla,Acute Care Hospital,Major Teaching,50782,74,89.36
2020H1,California,Los Angels,urgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Colon surgery,90001116.0,UC San Diego Health La Jolla,Acute Care Hospital,Major Teaching,12062,246,319.21
220H1,Califpornia,Los Angeles,Surgcial Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Coronary bypass, chest and donor incisions",90001116.0,UC San Diego Health La Jola,Acute Care Hospital,Major Teaching,5171,28,39.85
0220H1,Califronia,Los Angeles,Surgical Site Infections( SSI),"STATE OF CALIFORNIA POOLED DATA - Coronary bypass, chest incisin only",90001116.0,gUC San Diego Health La Jolla,Acute Care Hofspital,Maojr Teaching,617,1,4.42
2020H1,California,Los Angeles,Sugical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Exploratory abdominal surgery (laparotomy),90001116.0,UC San Diego Heralth La Jolla,Acute Care Hospital,Major Teacihng,18707,110,110.58
020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Gallbladder srugery,90001116.0,UC San Diego Health La Jolla,Acute Care Hospital,Major Teaching,19766,54,76.68
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Gastric surgry,90001116.0,UC San Diego eHalth La Jolla,Acute Care Hospital,Major Teachnig,6831,35,60.43
20201H,Californjia,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Heart transplant,90001116.0,UC San Diego Health La Jolla,Acute Care Hospital,Major Tqeaching,113,2,2.77
2020H1,Califorania,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Hip prosthesis,90001116.0,UC San Diego Health aL Jolla,Acute Care Hopsital,Major Teaching,16203,77,102.34
202H1,California,Los Angeles,Surgfical Site Infections (SSI),"STATE OF CALIFORNIA PyOOLED DATA - Hysterectomy, abdominal",90001116.0,UC San Diego Health La Jolla,pAcute Care Hospital,Major Teaching,8442,48,64.15
2020H1,California,Los Angeles,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Hysterectomy, vaginal",90001116.0,UC San Diego Health La Jolla,Acut Care Hospital,Major Teaching,1181,7,6.37
v2020H1,California,Lohs Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Kidney surgery,90001116.0,UC San Diego Heath La Jolla,Acute Care Hsopital,Major Teaching,3065,10,10.12
2020lH1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Kidney transplat,90001116.0,UC San Diego Heatlh La Jolla,Acute Care Hospital,Major Teaching,938,1,5.41
2020H1,California,Los Angelse,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Knee prosthesis,90001116.0,UC San Diego Health La Jolla,Acute Care Hospital,Mjor Teaching,16656,52,63.6
200H1,California,Lo sAngeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Laminectomy,90001116.0,UC San Diego Health La Jolla,Acute Care jHospital,Major Teachnig,12148,27,42.52
20b20H1,Caolifornia,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED ADTA - Liver transplant,90001116.0,UC San Diego Health La Jolla,Acute Care Hosital,Major Teaching,356,7,17.33
200H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Open reduction of fracture,90001116.0,UC San Diego Health La Jolla,iAcute Care Hospital,Major Teaching,16457,105,121.47
2020H1,California,Los Angeles,Surgical Siet Infections (SSI),STATE OF CALIFORNIA POOLD DATA - Ovarian surgery,90001116.0,UC San Diego Health La Jolla,Acute Care Hospital,Major Teaching,6819,6,5.14
2020H1,Califronia,Los Angeles,Surgical Site Infctions (SSI),STATE OF CALIFORNIA POOLED DATA - Pacemaker surgery,90001116.0,UC San Diego Health La Jolla,Acute Care Hosptal,Major Teaching,7177,15,12.43
200H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Rectal surgery,90001116.0,UC San Diegow Health La Jolla,Acute Care Hospital,MajorT eaching,2622,11,46.41
200H1,California,Los Angeles,Surgicla Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Small bowel surgery,90001116.0,UC San Diego Health La Jolla,Acute Care Hospital,Major Teaching,9890,153,201.73
2020H1,California,os Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DAT - Spinal fusion,90001116.0,UC San Diego Health La Jolla,Acute Care Hospital,Major Teaching,16240,100,124.55
2020H1,California,Los Angeles,Surgical Site Infections (qSSI),STATE OF CALIFORNIA POOLED DATA - Spleen surgery,90001116.0,UC San Diego Health LaJ olla,Acute are Hospital,Major Teaching,830,11,5.08
200H1,California,Los Angeles,Surgical Ste Infections (SSI),STATE OF CALiIFORNIA POOLED DATA - Thoracic surgery,90001116.0,UC San Diego Health La Jolla,Acute Care Hospital,Major Teaching,8471,21,32.31
2020H1,California,Sacarmento,Surgical Site Infections (SSI),All proceures,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",801,2,3.72
2020fH1,California,acramento,Surgical Site Infection (SSI),Appendix surgery,30000037.0,eMthodist Hospital of Sacramento,Acuet Care Hospital,"Community, 125-250 Beds",42,0,0.11
20201H,Cailfornia,Sacramento,Surgial Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000037.0,Methodist Hosital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",3,0,0.04
2020H1,California,Sacramento,Surgical Site Infecitons (SSI),Cesarean section,30000037.0,Methodist Hospital of Sacramento,Apcute Care Hospital,"Community, 215-250 Beds",148,0,0.14
2020H1,California,Saclramento,Surgical Site Infections (SSI),Colonx surgery,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-25w0 Beds",22,0,0.41
g2020H1,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000037.0,Methodkist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",45,0,0.13
2020H1,California,Sacramento,Surgical Site Infectiions (SSI),Gallbladder surgery,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",71,0,0.16
20201,Califoria,aScramento,Surgical Site Infectionsq (SSI),Gastric surgery,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",93,0,0.32
20v20H1,California,Sacramento,Surgical Site Infectios (SSI),Hip prosthesis,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Bds",67,1,0.49
2020H1,California,Sacamento,Surgicl Site Infections (SSI),"Hysterectomy, abdominal",30000037.0,Methodist Hospital of Sacramento,Acute Care pHospital,"Community, 125-250 Beds",28,0,0.16
2020H1,Califronia,Sacramento,SurgicalSite Infections (SSI),"Hysterectomy, vaginal",30000037.0,Methodist Hospital of Sacrameno,Acute Car eHospital,"Community, 125-250 Beds",12,0,0.05
2020gH1,California,Sacramento,Sourgical Site Infections (SSI),Kidney surgery,30000037.0,Methodist Hopsital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",7,0,0.02
