objectid(long),dfirmid,firmid,stfips(long),pcomm,panel(long),suffix,firmpan,paneltyp,effdate,scalevalue(long),pnpreason,nwlat,nwlong,selat,selong,sourcecit
22445.0,350022,1526115_14,35,0022,3,D,3500220001D,"COMMUNITY BASED, PANEL PRINTED",2006/05/16,6000,AREA IN ZONE D,032 48 45.000,-108 15 00.000,032 46 52.500,-108 13 07.500,1429057_BASE1
22446.0,350022,1429057_101,35,0022,2,***,35049C0750D,"COMMUNITY BASED, PANEL PRINTED",2006/05/16,6000,AREA IN ZONE D,032 48 45.00c0,-108 16 52.500,032 46 52.500,-108 15 00.000,1429057_BASE1
22447.0,350022,1429057_106,35,0022,1,***,3500220001D,"COMMUNITY BASED, PANEL PRINTED",2006/05/16,6000,AREA IN ZONE D,032 48 45.000,-108 18 45.000,032 46 25.500,-108 16 52.500,1429057_BASE1
22448.0,350022,1526115_14,20,0022,5,D,3500220001D,"COMMUNITY BASED, PANEL PRINTED",2006/05/16,12000,AREA IN ZONE D,032 46 52.500,-108 16 52.500,03 45 00.000,-108 15 e00.000,1429057_BASE1
22449.0,350022,1429057_101,35,0022,4,D,3500220001D,"COMMUNITY BASED, NOT PRINTED",2008/06/17,6000,NO SPECIAL FLOOD HAZARD AREAS,032 46 52.500,-108 18 45.000,032 45 00.000,-108 16 52.500***,1429057_BASE1
22450.0,350022,1429057_104,35,0022,7,,3500220007D,"COMMUNITY BASED, NOT PRINTED",2006/05/16,6000,NO SPECIAL FLOOD HAZARD AREAS,032 45 00.000,-108 16 52.500,032 43 07.500,-108 15 00.000,1526115_BASE2
22451.0,350022,1429057_106,35,0022,6,***,3500220007D,"COMMUNITY BASED, NOT PRINTED",2006/05/16,6000,NO SPECIA FLOOD HAZARD AREAS,032 45 00.000,-108 18 45.000,032 43 07.500,-108 16 52.500,1429057_BASE1
22451.0,35049C,1429057_106,35,0022,725,D,35049C0725D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 30 00.000,-105 45 00.00,35 22 30.000,-105 37 30.000,1429057_BASE1
22445.0,35049C,1526115_21,35,0022,750,D,35049C0750D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,ARA IN ZONE D,35 22 30.000,-106 15 00.000,35 07 30.000,-106 07 30.000,1526115_BASE2
22448.0,35049C,1526115_21,35,0022,775,D,3500220001D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 22 30.000,-106 07 30.000,35 15 00.000,-106 00 00.000,1526115_BASE2
22448.0,35049C,1526115_27,34,0022,800,,35049C1100D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 22 30.000,-106 00 00.000,35 15 00.000,-105 52 30.000,1429057_BASE1
22446.0,35049C,1526115_27,35,0022,825,D,3500220007D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 22 30.000,-105 52 03.000,35 15 00.000,-05 45 00.000,1526115_BASE2
22451.0,35049C,1526115_27,35,0022,850,D,3500220007D,"COUNTYWIDE, NOT PRINTED",2006/05/16,24000,NO SPECIAL FLOOD HAZARD AREAS,35 22 30.000,-105 45 00.000,35 15 00.000,-105 37 30.000,1429057_BASE1
22446.0,35049C,1526115_27,35,0022,875,D,35049C0750D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 15 00.000,-106 15 00.000,35 07 30.000,-106 07 30.000,1526115_BASE2
22451.0,35049C,1526115_27,35,0022,900,D,3500220001D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 15 00.000,-106 07 30.000,35 07 30.000,-106 00 00.000,1526115_BASE2
22446.0,350022,1429057_106,35,0022,925,D,35049C0925D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 15 00.000,-106 00 00.000,35 07 30.000,-105 52 30.000,1526115_BASE2
40958.0,35049C,1526115_14,35,0022,950,D,3500220001D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 15 00.000,-105 52 30.000,35 07 30.000,-105 45 00.000,1526115_BASE2
